SKU,Description,Size,imgurl1,productname
 D 13,"
                        	Knee Immobilizer 14″
                            Code: D 13
                            Sizes Available: S  /  M  /  L  /  XL  /  XXL
                            Knee immobilizer 14” is an excellent brace to immobilize, support and protect the injured or operated knee while it recuperates.

Light weight.
Anatomically shaped back splints.
Side splints with relief at knee joint
Soft and comfortable body.
Perfect immobilization
Additional patellar strapping

 
Salient feature

Anatomically contoured Aluminum back splints

Ensure perfect immobilization
Perfect grip of the product to the leg
Enhanced comfort.
Light in weight


Aluminum side splints with relief

Ensure perfect immobilization
Ensures no hot spots on knee protrusions
Light in weight


Body of PUF fused fabric

Ensures proper cushioning,
Enhanced comfort
Long life
Anti slip properties.


Extra Patellar strap

Improves immobilsation
Offers extra protection to the knee
Removable when not required



						", S  ;  M  ;  L  ;  XL  ;  XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/D-13.jpg,Knee Immobilizer 14″
 D 17,"
                        	Foot Drop Splint Right/Left
                            Code: D 17
                            Sizes Available: S  /  M  /  L  /  XL
                            						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/Foot-Drop-Splint.jpg,Foot Drop Splint Right/Left
 D 11,"
                        	Knee Immobilizer 19″
                            Code: D 11
                            Sizes Available: S  /  M  /  L  /  XL  /  XXL
                            Knee immobilizer 19” is an excellent brace to immobilize, support and protect the injured or operated knee while it recuperates.

Extremely light weight construction.
Anatomically shaped back splints.
Side splints with relief at knee joint
Soft and comfortable body.
Perfect immobilization
Additional patellar strapping

 
Salient feature

Anatomically contoured Aluminum back splints

Ensure perfect immobilization
Light in weight


Aluminum side splints with relief

Ensure perfect immobilization
Ensures no hot spots on knee protrusions
Light in weight


Body of PUF fused fabric

Ensures proper cushioning,
Enhanced comfort
Long life
Anti slip properties.


Extra Patellar strap

Improves immobilsation
Offers extra protection to the knee
Removable when not required



						", S  ;  M  ;  L  ;  XL  ;  XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/knee-immobilizer-19-22.jpg,Knee Immobilizer 19″
 D 25,"
                        	Anklet Comfeel
                            Code: D 25
                            Sizes Available: S  /  M  /  L  /  XL
                            Anklet comfeel is a next generation product, to provide mild compression, warmth and support to the ankle joint. It is used to allay pain and inflammation, generally associated with old age, arthritis or injury. Knitted on 3 dimensional computer controlled circular looms, it conforms to the complex anatomy of the ankle with exactness.

Closed heel
Anatomic shape
Four way stretch
Uniform compression
Simple pull on application

 
Salient feature

Anatomically shaped and reduced compression on patella

Better compression and grip
Easy knee movement
Perfect conformance to the complex anatomy of the ankle
Improved comfort


Bi-layered, cotton on the inside , a dermophillic interphase

Enhanced comfort
Better sweat absorption
Better patient compliance.


Bilayered, nylon on the outside

Ensures long life
Excellent aesthetics
Color fastness.


Four-way stretchable fabric

Effective compression
Enhanced comfort.


Two layered with interwoven air space

Retains body heat effectively.
Speeds up healing
Allays pain



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/02/D-25.jpg,Anklet Comfeel
 D 23,"
                        	Knee Cap Comfeel (Single)
                            Code: D 23
                            Sizes Available: S  /  M  /  L  /  XL
                            Knee cap comfeel is a next generation tubular product knitted on a 3 dimensional computer controlled circular looms to provide mild compression, warmth and support to the knee joint. It is used to allay pain and inflammation, generally associated with old age, arthritis or injury.

Soft Patella
Fine grip at the edges
Four way stretch
Uniform compression
Simple pull on application

 
Salient feature

Anatomically shaped and reduced compression on patella

No Chondromalacia on prolonged use
Better compression and grip
Easy knee movement
Improved comfort


Bi-layered, cotton on the inside , a dermophillic interphase

Enhanced comfort
Better sweat absorption
Better patient compliance.


Bilayered, nylon on the outside

Ensures long life
Excellent aesthetics
Color fastness.


Four-way stretchable fabric

Effective compression
Enhanced comfort.


Two layered with interwoven air space

Retains body heat effectively.
Speeds up healing
Allays pain



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/02/D-23.jpg,Knee Cap Comfeel (Single)
 D 19,"
                        	Pattelar Support
                            Code: D 19
                            Sizes Available: Universal
                            Patellar support is designed to lift the patella and alleviate symptoms of pain, inflammation and discomfort associated with knee degeneration, without restricting circulation.


Anatomically shaped Pad
Enhanced Propioception
Skin-friendly materials
Customized compression.


 
Salient feature

Anatomical pad design

Lifts and positions the patella properly
Optimal compression of the patellar tendon
Ensures strong grip of the product


Silicon material of pad.

Absorbs all the vibrations around the patella and the patellar tendon.
Provides comfortable compression to the patellar tendon.
Support the patella.


Nodular surface

Propioception
Provides good massage
Enhances blood circulation to the area
Enhances healing


Reverse buckle design

One size fits all
Provides customized compression
Easy to wear.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/01/D-19.jpg,Pattelar Support
 D 20,"
                        	Knee Cap (with Flexi Hinge)
                            Code: D 20
                            Sizes Available: S  /  M  /  L  /  XL
                            Knee Cap (with Flexi Hinge) a versatile device which offers the advantage of compression around the knee, side support and springiness to the knee, while allowing its normal flexion.

Extra strap for secured fitting
Side splinting with free flexion movement
Double layered and four way stretch fabric
Hinge, mimics the motion of natural knee joint

 
Salient feature

Bi-layered—cotton on the inside

Ensures dermophillic interphase with the skin
More comfort
Better patient compliance.


Bi-layered—nylon on the outside

Long life
Excellent aesthetics
Color fastness.
Better comfort.


Flat Flexi Hinges

Poly axial hinge movement
Lateral support to weak knees
No rolling down of the product.
Free flexion movement.


Two layered

Enclosed air space, retains body heat effectively.
Provides therapeutic warmth.
Rubberized over lock covering
Provides clean edge of the product
Ensures no vaso constriction.



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/knee-cap-with-flexi-hinge.jpg,Knee Cap (with Flexi Hinge)
 D 32,"
                        	Walker Boot
                            Code: D 32
                            Sizes Available: Universal
                            Tynor Walker Boot is designed for rehabilitation after injury, fracture , sprains or surgery of foot, ankle or lower leg. The boots provide support to the ankle and leg without inhibiting mobility. They can be a substitute for cast or can be used in case of early cast removal. With a wider rocker bottom, these boots promote a natural gait, reduced plantar pressure, enhanced stability and comfort to the lower leg.

Light weight.
Sturdy Support.
Enhanced mobility.
Maintains normal gait.

 
Salient feature

Moulded foot

Improves gait
Rocker sole—helps in easy ambulation
Offers stabilization of the foot ankle and the lower leg
Comfortable positioning and protection of the foot


Aluminum lateral bars

Rigid support–Improved immobilization of the ankle and the lower leg
Malleable, shape can be customized for better fitting and support


Foam liner and Pad set

Ensure extreme comfort
Ensure perfect fit of the leg in the orthosis.


Hook Loop system

Easy removal and application of the product
Allows wound inspection
Allows personal hygiene
Perfect fitting of the product
Improved stabilization



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/02/D-24.jpg,Walker Boot
 D 28,"
                        	Knee immobilizer 22”
                            Code: D 28
                            Sizes Available: S / M / L / XL / XXL 
                            Knee immobilizer 22” is an excellent brace to immobilize, support and protect the injured or operated knee while it recuperates.

Extremely light weight construction.
Anatomically shaped back splints.
Side splints with relief at knee joint
Soft and comfortable body.
Perfect immobilization
Additional patellar strapping

 
Salient feature

Anatomically contoured Aluminum back splints

Ensure perfect immobilization
Perfect grip of the product to the leg
Enhanced comfort.
Light in weight


Aluminum side splints with relief

Ensure perfect immobilization
Ensures no hot spots on knee protrusions
Light in weight


Body of PUF fused fabric

Ensures proper cushioning,
Enhanced comfort
Long life
Anti slip properties.


Extra Patellar strap

Improves immobilsation
Offers extra protection to the knee
Removable when not required



						", S ; M ; L ; XL ; XXL ,http://www.tynorindia.com/wp-content/uploads/2012/02/D-11.jpg,Knee immobilizer 22”
 D 10,"
                        	R.O.M Knee Brace
                            Code: D 10
                            Sizes Available: Universal
                            Prefabricated, custom adjusted R.O.M. Knee Brace controls and restrict flexion/extension of the knee joint through a multi-point joint fixation system to allow a range of motion or immobilization to the knee. Universal design allows it to be used on quite a big range of population and for a multiple orthopedic problems associated with knee joint.

Immobilization at any angle
Controlled motion between any two angles
Easy adjustment by changing the pin position
Quick and easy application and removal

 
Salient feature

Range of motion

0 to 135 degree flexion.
0 to 75 degree hyper extention
Interval of 7.5 degrees


Lock disc with easy pin insertion

Motion between any two angles possible
Immobilization at any angle possible.
Easy to use
Universally acceptable design.
Pin locking with transparent disk for safety


Ergonomic design.

Easy to use, less time to apply
Universal design, one size fits all


Neoprene bonded liner

High cushioning coefficient, more comfort
Provides good grip of the product to the leg.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/02/D-10.jpg,R.O.M Knee Brace
 G 09,"
                        	Pelvic Traction Kit
                            Code: G 09
                            Sizes Available: S  /  M  /  L  /  XL  /  XXL
                            Pelvic traction Set is a traction system intended to apply uniform and controlled traction to the lumbar, sacral and thoracic areas of the vertebral column. Pelvic traction belt , like a halter  holds the pelvic area. Pelvic traction belt through its   straps on the two sides get attached to the spreader bar, and the traction pulley system.

Easy to use home kit
Adaptable  to most beds
Controlled and uniform traction
Accurate focus of the traction force

  Salient feature

Ergonomic design and materials 

Can be conveniently used at homes or hospitals.
Sturdy design for a long life and multiple use.
Large hook loop area provides customized compression and flexibility in sizing. 
Oblique traction straps ensure the vector of the tractional force on
        to the LS vertebras. 




A complete solution 

Kit includes P.T belt, Spreader bar, Traction pulley and traction cord
      



						", S  ;  M  ;  L  ;  XL  ;  XXL,http://www.tynorindia.com/wp-content/uploads/2012/02/G-09.jpg,Pelvic Traction Kit
 D 26,"
                        	Ankle Splint
                            Code: D 26
                            Sizes Available: Universal
                            Ankle Splint is designed to immobilize, support and stabilize the ankle joint in injury, or offer protection to people prone to ankle injuries. Rigid exoskeleton shell design gives better protection and control of the inversion or aversion of the ankle.

Rigid immobilization
Foam cushioning
One size, that fits all
Anatomical
Easy to clean

Salient feature

Unique figure of eight gripping

Effective control on inversion &amp; eversion movement of ankle
Most effective gripping around ankle.
Enhances comfort and walking pleasure


Large enough room for ankle 

Unconventional, swollen or distorted ankles can be accommodated
No compression hot spots on the ankle , so enhances comfort to injured
ankle
Reduces chances of sports related injuries in recurrent ankle problems
Quick healing and better recovery of the fully immobilized ankle


Molded Ethafoam Foam Pad 

Provides optimal compression and pressure
Good cushioning , enhances comfort
 Skin friendly


Ergonomic design

Light in weight – enhance compliance
Bilateral symmetry – can be used for either ankle
Neoprene sleeves – good cushioning ,reduce pressure of gripping
straps
One size fits all


Molded splint with perfect anatomy

Pleasing aesthetics
Sleek can be used inside the shoe
Effective immobilization



 
						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/07/D-26.jpg,Ankle Splint
 G 13,"
                        	Cervical Traction Kit (Sitting) With Weight Bag
                            Code: G 13
                            Sizes Available: Universal
                            Cervical Traction Kit is a complete apparatus designed to provide traction to the cervical and upper dorsal vertebras. It relieves pressure by stretching the musculature and connective tissue components of the cervical spine. It expands the intervertebral joint space and relieves pressure on the anterior vertebral bodies.

Convenient home use
Controlled continuous traction
Easy removal and application
Reduced frictional losses

Salient feature

Ergonomic design and materials 

Can be conveniently used at homes or hospitals.
Sturdy design for a long life and multiple use.
Pulley is ergonomically designed to fit any door side.
Soft padded head halter provides a comfortable interface for the traction.




A complete solution 

Kit includes Cervical Traction Overdoor Pulley, Cervical Traction Head
Halter ,Cervical Traction Spreader Bar , Traction Cord 10 ft., Traction
Weight Bag.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/02/G-13.jpg,Cervical Traction Kit (Sitting) With Weight Bag
 G 01,"
                        	Skin Traction Set (PUF Liner)
                            Code: G 01
                            Sizes Available: CH / AD
                            Skin traction Set (PUF liner) is used for providing indirect traction to leg or the arm to reduce fractures, skeletal deformities, muscle contractures, muscle spasms, pressure on nerves or regain normal length and alignment of involved bone.

Hypoallergenic
Extra porous
Controlled adhesion and friction
Extra comfortable

Salient feature

Available as Complete Kit 

Convenient for emergencies
Cost effective
High performance
Inbuilt cord, Quick to apply


Foam liner and Bandage 

High performance crepe bandage for extra security
Enhanced skin friction of the foam liner
Easy application and removal



						", CH ; AD,http://www.tynorindia.com/wp-content/uploads/2012/02/G-01.jpg,Skin Traction Set (PUF Liner)
 J 01,"
                        	Knee Support Hinged (Neoprene)
                            Code: J 01
                            Sizes Available: S  /  M  /  L  /  XL
                            Knee support Hinged (Neoprene) is a versatile knee support which offers the advantage of controlled compression around the knee and the rigid side support of a splint. It allows normal flexion and free movement of the knee joint.

Silicon buttress along the patella opening
Biaxial hinge
Anti tourniquet effect
Four way compression.
Neoprene provides therapeutic warmth

Salient feature

Neoprene layer bonded with nylon fabric on both sides

Four way stretch ability gives a controlled and comfortable compression
in various positions of the knee.
Ensures longer life.
Appealing aesthetics with color fastness.
Better body heat retention
Faster pain relief and healing.


Anatomical shape

Relieves patellar pressure.
Holds the patella in position
Can be used for Patello femoral diseases


Bi axial heavy duty aluminum hinge

Mimics the natural knee joint
Ensures full weight bearing.
Allows free flexion movement


Ergonomic design

Anti tourniquet effect — ensures no constriction to blood flow
Better grip of the product to the body.
Anatomic construction— Better functionality and Snug fit.



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/02/J-011.jpg,Knee Support Hinged (Neoprene)
 D 24,"
                        	Foot Raiser
                            Code: D 24
                            Sizes Available: UN
                            Foot raiser is designed to lift, support and stabilize the ankle in the dorsiflexion position for patients with foot drop. It is a versatile device which is equally suitable, to act as a night splint or as a day splint.  Maintenance of the foot in functional position in day as well as night speeds up the healing process. Tynor foot raiser can be worn with normal sized shoe or without a shoe.  It provides 85-90 degree standard position, with extra10-15 degree adjustment.

 Can be used with or without  shoes 
 Can be used as a day or night support 
 Extremely comfortable 
 Easy to wear 

Salient feature

 Ergonomic design, soft materials.

 Can be used as a night splint and as well as a day splint. 
 Easy to wear and remove. 
 Can be used on a shoe as well. 
 Most comfortable — enhances compliance. 
 Bilateral symmetry — can be used for either foot. 


 Integrated molded polymer body.

 High lifting capability.
 Anatomical design.
 Better grip.
 Better comfort.


 Lace mechanism with steel hook.

 Easy to engage &amp; disengage.
 Provides customized lift.
 Convenient single pull  tightening.


 Wrap around wearing.

 Ensure easy application and removal.
 Customized compression and grip.
 Better sizing flexibility.
 Better fitting &amp; support.
 No venous constriction.



						", UN,http://www.tynorindia.com/wp-content/uploads/2013/07/foot-raiser.jpg,Foot Raiser
 J 09,"
                        	Knee Support Sportif (Neoprene)
                            Code: J 09
                            Sizes Available: S  /  M  /   L  /  XL
                            Knee Support Sportif (Neoprene) is a designer support to provide firm compression, mild support and warmth to the knee joint, to allay pain and inflammation, generally associated with old age, arthritis. It is widely used during sports and for sports related injuries.

Open patella
Four way stretch.
Controlled compression
Therapeutic warmth
Ideal for sporting activity

Salient feature

Aesthetically designed

Double colored
Pleasing looks
Used for sporting activity
Can be worn fashionably


Perforated at the rear

Ventilation improves patient comfort
No bunching on knee bending.
Trendy


Top and bottom bands

Allow a controlled compression
Better grip of the product to the body.
Easier slide while wearing.


Neoprene layer bonded with nylon fabric on both sides

Four way stretch ability and compression.
Ensures longer life.
Appealing aesthetics with color fastness.
Better body heat retention
Faster pain relief and healing.


Anatomical shape

Ensures good grip around the knee
No bunching on knee bending.


Anterior patellar opening

Relieves patellar pressure.
Positions patella in patellar dislocations



						", S  ;  M  ;   L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/03/J-09.jpg,Knee Support Sportif (Neoprene)
 J 05,"
                        	Knee Wrap (Neoprene)
                            Code: J 05
                            Sizes Available: Universal
                            Knee Wrap (Neoprene) is an open design which offers an advantage of easy application on swollen or asymmetric knees and to geriatrics. It allows customized compression, not possible in tubular products. Neoprene fabric provides firm compression, warmth &amp; support to the knee to allay pain and inflammation, generally associated with old age, arthritis, sports injury etc.

Customized compression
Patellar padded buttress
Four way stretch
Therapeutic warmth

 
Salient feature

Neoprene layer bonded with nylon fabric on both sides

Four way strechability and compression.
Ensures longer life.
Appealing aesthetics with color fastness.


Open design and triple hook-loop closing system

Ensure easy application and removal
Customized compression and grip
Better sizing flexibility
Better fitting


Top layer with unbroken loops

Offers a versatile closing system
Firm grip.


Anterior patellar opening

Relieves patellar pressure.
Positions patella in patellar dislocations


Silicon patellar padding

Propioception
Massaging, increased blood flow, quick healing


Thicker neoprene

Better body heat retention
Increase blood circulation Faster healing.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/03/J-05.jpg,Knee Wrap (Neoprene)
 J 14,"
                        	Shoulder Support (Neoprene)
                            Code: J 14
                            Sizes Available: Universal
                            Shoulder Support is designed to provide protection and support to the injured or ailing shoulder joint, It keeps the shoulder joint warm and flexible, and aids in quick healing.

Comfortable
Easy to wear
Smart and sleek
High quality neoprene fabric
Controlled compression.

 
Salient feature

Neoprene bonded nylon fabric( Four way stretch ability)

More compression
More comfort
Better grip
Better durability.


Neoprene bonded nylon fabric (Better heat retention)

Faster healing
Better pain relieving


3” wide stretchable shoulder band

Strong grip of the shoulder
Universal size
Easy to wear


Anatomical shape

Ensures good grip around the shoulder
Perfect fitting
Better immobilization


Good aesthetics

Pleasing looks
Can be worn inconspicuously under clothing.


Anatomical shape

Ensures good grip around the knee.
No bunching on knee bending.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/03/J-14.jpg,Shoulder Support (Neoprene)
 J 08,"
                        	OA Knee Support (Neoprene)
                            Code: J 08
                            Sizes Available: S / M / L / XL
                            OA Knee Support (Neoprene) is scientificaly designed to provide counter force to correct varus or valgus thrust along with some offloading action. It helps to allay pain within a few weeks of use. It can also correct mild to medium varus/ valgus deformity of the knee with a prolonged use.

Easy application.
Perfect lateral splinting.
Controlled four way compression
Simple mechanism for counterforce
Neoprene provides therapeutic warmth

 
Salient feature

Lateral Elasticized band

Provides counter force to correct varus or valgus thrust
Allay’s pain in osteoarthritis of knee.
Corects mild to medium vaurs or valgus deformity on prolonged use


Rigid Bi axial hinge

Good offloading action.
Free flexion movement.
Mimics the natural knee joint
Support the cruciate ligament at all flexion angels.


Neoprene layer bonded with nylon fabric on both sides

Four way stretch ability and compression.
Appealing aesthetics with color fastness.
Better body heat retention.
Faster pain relief and healing.


Anterior opening design.

Easy application and removal.
Good for even swollen or asymmetric knees.
Easy for geriatric patients.
It allows customized compression, not possible in tubular products.


Anti tourniquet bands

Ensures no construction to blood flow
Better grip of the product to the body.


Anatomical shape

Ensures good grip around the knee.
No bunching on knee bending.



						", S ; M ; L ; XL,http://www.tynorindia.com/wp-content/uploads/2012/03/J-08.jpg,OA Knee Support (Neoprene)
 J 04,"
                        	Wrist Wrap (Neoprene)
                            Code: J 04
                            Sizes Available: Universal
                            Wrist Wrap (Neoprene) is designed to support, protect and partially immobilize the wrist. It compresses the area and retains the body heat to allay local pain and inflammation.

Extra grip.
Versatile closing system
Optimal therapeutic warmth
Easy application.
Four way compression

 
Salient feature

Neoprene layer bonded with nylon fabric on both sides

Four way strechability and compression.
Ensures longer life.
Appealing aesthetics with color fastness.


Wrap around design and UBL closing system

Ensure easy application and removal
Customized compression and fitting
Better fitting
Better support and wrist stabilization


Thicker neoprene

Better body heat retention.
Increase blood circulation.
Faster healing.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/03/J-04.jpg,Wrist Wrap (Neoprene)
 B07,"
                        	Cervical Collar Soft
                            Code: B07
                            Sizes Available: S  /  M  /  L
                            Cervical collar soft is used for supporting the neck and protecting it against jerks impacts and vibrations. Recommended where a partial or controlled immobilization of the cervical region is required.

Ultimate comfort.
Partial immobilization.
Optimal support.
Excellent aesthetics.
Absorbs impact.

 
Salient feature

Soft polyurethane

Provides unmatched comfort, used as prophylactic collar, reduces pain and provides comfortable support during traveling.


Covered with hypoallergenic cotton stockinet.

Better patient comfort, no allergy or rash even to sensitive skin, better compliance


No hard, bony reinforcement

Improves patient comfort, particularly recommended for geriatric patients,  excellent for prolonged use.


Anatomical design

Uniform support to the mandible, effective action and better fit, better comfort.


Perforated collar body

Improved ventilation, more patient comfort, better compliance.



						", S  ;  M  ;  L,http://www.tynorindia.com/wp-content/uploads/2011/12/B-071.jpg,Cervical Collar Soft
 B01,"
                        	Cervical Collar Soft (Firm Density)
                            Code: B01
                            Sizes Available: S / M / L
                            Cervical Collar Soft (Firm Density) is used for supporting, immobilizing or adjusting the neck in the flexion, extension, or hyperextension position. Recommended where a partial or controlled immobilization of the cervical region is required.

Ultimate comfort
Effective immobilization
Strong support
Excellent aesthetics
Long life

 
Salient feature

Made of very high density (60 kg./m3) P.U. foam

High  immobilization, better support , quick relief, no  reinforcement,  more
comfortable, long life.


Anatomical design

Uniform support to the mandible, Better immobilization, Better comfort


Covered with hypoallergenic cotton stockinet

Better patient comfort, no allergy or rash even to sensitive skin.
Better compliance


Perforated collar body

Improved ventilation , more patient comfort, better compliance.


Fawn colored stockinette

Matches skin color, Better aesthetics.


Long hook-loop closure tape

Ensure snug fitting around neck, easy application and quick removal.



						", S ; M ; L,http://www.tynorindia.com/wp-content/uploads/2011/12/B-01.jpg,Cervical Collar Soft (Firm Density)
 J 03,"
                        	Wrist Brace with Thumb (Neoprene)
                            Code: J 03
                            Sizes Available: Universal
                            Wrist brace Thumb(Neoprene) supports, protects and partially immobilizes the wrist while allowing free and natural movement of the thumb and fingers. It compresses the area and retains the body heat to allay local pain and inflammation.

Versatile closing system.
Optimal therapeutic warmth.
Controlled four way compressions.
Anatomical thumb placement..

 
Salient feature

Neoprene layer bonded with nylon fabric on both sides

Four way strechability and compression.
Ensures longer life.
Appealing aesthetics with color fastness.


Wrap around design and UBL closing system

Ensure easy application and removal
Customized compression and fitting
Better sizing flexibility
Better grip and support


Anatomical thumb opening

Provides slight abduction for better comfort of the thumb.
Allows full finger dexterity but prevents wrist rotation.


Thicker neoprene

Better body heat retention
Increase blood circulation
Faster healing



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/03/J-03.jpg,Wrist Brace with Thumb (Neoprene)
 B 03,"
                        	Cervical Collar Hard Adjustable
                            Code: B 03
                            Sizes Available: S / M / L
                            Cervical Collar Hard Adjustable is used for supporting, immobilizing or adjusting the neck in the flexion, extension, or hyperextension position. Recommended where a rigid immobilization of the cervical region is required.

Anatomical shape.
Comfortable edge padding.
Adjustable height.
Slight weight.
Latex free.

 
Salient feature


Edge padding by ethafoam

Better cushioning and comfort
long functional life
Light in weight
No leaching no allergy
Better cushioning and comfort


Anatomically designed with height adjustment

Ensures perfect fitting
Improves immobilsation
Enhances comfort


Perforated

Better ventilation
Enhances comfort
Better patient compliance.


High quality PE Sheet

Ensures rigid support
Long life of the collar
Improves aesthetics




 
						", S ; M ; L,http://www.tynorindia.com/wp-content/uploads/2012/01/B-03.jpg,Cervical Collar Hard Adjustable
 B 02,"
                        	Cervical Collar Soft with Support
                            Code: B 02
                            Sizes Available: S  /  M  /  L  /  XL
                            Cervical Collar Soft with support is used for supporting, immobilizing or adjusting the neck in the flexion, extension, or hyperextension position. Recommended where a partial or controlled immobilization of the cervical region is required.

Anatomical shape
Well Ventilated
High density PU foam
Skin matching shades
Hypo-allergenic covering

 
Salient feature

High density PU foam 30 Kg/m3

Better support


Better immobilization
Improves functional life of the collar.
More cushioned and better comfort
Better patient compliance.


Poly propylene eyelets

Proper air ventilation
Enhanced patient comfort.
Rust proof eyelets.


Dermophillic cotton stockinet with high GSM

Treated to improve hypoallergenicity,
No rash , Improved comfort
Improves the overall life of the collar


Reinforced with LDPE sheet with thick round edges

Better immobilization.
Edge does’nt bite into the skin, more comfort
Edge does’nt bite into the foam , enhanced life. 



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/B-02.jpg,Cervical Collar Soft with Support
 B 10,"
                        	Cervical Orthosis (Philadlphia) Plastazote
                            Code: B 10
                            Sizes Available: S  /  M  /  L  /  XL
                            Cervical orthosis plastazote is an advanced collar with scientific design which ensures complete immobilization on one hand and perfect comfort on the other, It is called as a gold standard in cervical immobilization.

Ultimate comfort
Perfect immobilisation
Anatomically moulded
Minimal contact surface
Hypoallergenic

 
Salient feature

Pre-formed chin

Provides rest to the chin, ensures comfort, improves immobilization.


Anatomical and balloon design

Offers perfect immobilization, minimal contact of the neck, allows use in burn or trauma patients.


Plastazote

Light weight, better patient compliance.
Non absorbent ensures easy cleaning and maintenance
Hypoallergenic, Ensures no rash or allergy even to old age patients
Eco friendly manufacturing process
Better patient compliance


Tracheotomy opening

Compatible to use of endo tracheal tube, improves air ventilation.
Improves patient comfort and compliance.


Two piece design

Easy application, firm occipital support, option for varying rigidity.
Better immobilization



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/B-10.jpg,Cervical Orthosis (Philadlphia) Plastazote
 A 12,"
                        	Ash Brace (Hyper Extension Brace)
                            Code: A 12
                            Sizes Available: S  /  L
                            Ash brace is designed to immobilize the vertebral column and maintain it in its neutral or hyper extension position. It provides extension and stabilization of the spine in the sagittal plane, at the same time it encourages sternal and symphytic lordosis thus relieving pressure on the anterior parts of the vertebral bodies. Designed to act on three point pressure principle by exerting pressure against sternum and pubis on ventral and the lumbar region on the dorsal.

Lightweight
Easy to apply
Customizable
Appealing aesthetics
Anatomical sternal and pubic pads

Salient feature

Aluminum body

Corrosion resistant, improved durability, dependable sturdiness, appealing aesthetics


Etha foam covered pads

Better impact absorption, enhanced comfort, reduced pressure on pubis and chest


Anatomical and rigid back pad

Better support from the back, relieves the load on the anterior vertebra.


Customizable

Easy to fit using easy slide and screw adjustment mechanism.
better immobilization and comfort, malleable horizontal bar, ensures close contoured fitting and effective immobilization.



						", S  ;  L,http://www.tynorindia.com/wp-content/uploads/2012/01/ash-brace.jpg,Ash Brace (Hyper Extension Brace)
 A 05,"
                        	Lumbo Sacral Belt
                            Code: A 05
                            Sizes Available: S  /  M  /  L  /  XL  /  XXL / XXXL
                            
Long life
Extra porous
Flexi back splinting

Salient feature

Flexible back splinting on application takes the body shape for excellent Immobilization.
Highly porous elastic webbing improves ventilation and patient comfort.
Heat resistant rubber with high modulus of elasticity improves life of the belt.
Double pull mechanism ensures strong fastening for secure fitting around the waist and better immobilization.
Comfortable immobilization provided by the belt makes it an ideal belt for every day use in mild back ache.

						", S  ;  M  ;  L  ;  XL  ;  XXL ; XXXL,http://www.tynorindia.com/wp-content/uploads/2012/01/Lumbo-Sacred-Belt.jpg,Lumbo Sacral Belt
 A 09,"
                        	Rib Belt
                            Code: A 09
                            Sizes Available: S /  M  /  L  /  XL  /  XXL
                            Rib belt is applied to the thoracic and upper abdominal region to compress and bind the rib cage during rib fractures and postoperative care, while allowing sufficient flexibility for comfortable breathing.

Extra porous
With splinting pad
No buckling or rolling over
Controlled compression

Salient feature

Light weight and thin construction, does not peep through the clothes
improves patient compliance.
Extra porous webbing improves ventilation and comfort of the patient.
Broad hook and loop tape panel offers better holding and size adjustability.
Optimal compression, tones up abdominal muscles following surgery, CS or delivery.
Special nylon reeves prevent rolling over of belt.

						", S ;  M  ;  L  ;  XL  ;  XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/Rib-Belt.jpg,Rib Belt
