Category,,Page Title,Product Image File - 3,Product Image File - 2,Product ID,Brand Name,Product Image File - 4,Product Description,Price,Product Image Sort - 2,Product Name,Product Image Sort-5, Product Image File - 6 ,Product Image Sort-6,Free Shipping,Current Stock Level,Option Set,Track Inventory,Product Image File - 1,Sort Order,Product Image Description - 1,Retail Price,Product Availability,Meta Description,Sale Price,Product Code/SKU,Product Image File - 5 ,Item Type,Product Image Sort - 1,Product Image Is Thumbnail - 1,Product Image Sort - 3,Bin Picking Number,Product Image Sort - 4
,,,,,216059,,,,,,[S]Size=UK 12,,,,,100,,,,,,,,,,s Court ShoesUK12,,SKU,,,,ACTIVINSTINCT,
,,,,,215894,,,,,,[S]Size=UK 10.5,,,,,100,,,,,,,,,,asUK10.5,,SKU,,,,ACTIVINSTINCT,
,,,,,215892,,,,,,[S]Size=UK 6.5,,,,,100,,,,,,,,,,asUK6.5,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Lower body protection,,Buy the GRYPHON Evo 3 Goalkeeping Legguards Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,http://products.activinstinct.com/y2014/m07/443118/54849151-b.jpg,91818,Gryphon,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>The Evo 3 range is the highest specification series of goalkeeping equipment that Gryphon produce good enough for professional use and every level below that.</p><p>Features:</p><ul><li>Extreme rebound high density foam with thermo-moulded seams</li><li>New shape lip at the base for a tighter fit to the kicker</li><li>Deep pre-mould and bolsters on the inner leg to give a better closer fit</li><li>Increased outer protective foam depth without an increase in weight</li><li>Smooth outer surface to help when sliding</li><li>Adjustable anchor strap fixes to kicker to help stop twisting</li></ul>								<br>								<p>Material</p><ul><li>Foam </li></ul>								</div>",48480.445,2,GRYPHON Evo 3 Goalkeeping Legguards*,5,,6,N,100,GRYPHON Evo 3 Goalkeeping Legguards,By Option,http://products.activinstinct.com/y2014/m07/443118/81011052-b.jpg,-240,Buy GRYPHON Evo 3 Goalkeeping Legguards Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,48480.445,12-17 Working Days,Get your hands on the GRYPHON Evo 3 Goalkeeping Legguards. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,44004.5255,443118ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215911,,,,,,[S]Size=Black,,,,,100,,,,,,,,,,443118Black,,SKU,,,,ACTIVINSTINCT,
,,,,,215912,,,,,,[S]Size=Red,,,,,100,,,,,,,,,,443118Red,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Lower body protection,,Buy the TK 1 Soft Goalkeeping Leg Guards Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91816,TK Hockey,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>Nowhere on the pitch is a player more dependent on their equipment than in goal and plenty of attention to detail is applied by TK in their goalkeeping range. Goalkeepers know their own mind and they demand the best. The range caters for different 								abilities preferences and budgets to support keepers in being the difference between winning and losing.</p><p>Features:</p><ul><li>Super soft and superlight foam outer section for extreme rebound performance</li><li>Wrap around soft inner section offers a comfortable personalised fit</li><li>Three strap fastening with quick release buckles</li><li>Mobility maximising lightness and extreme rebound performance</li></ul><br>																</div>",57865.4375,2,TK 1 Soft Goalkeeping Leg Guards*,5,,6,N,100,TK 1 Soft Goalkeeping Leg Guards,By Option,http://products.activinstinct.com/y2013/m07/370205/32287583-b.jpg,-240,Buy TK 1 Soft Goalkeeping Leg Guards Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,57865.4375,12-17 Working Days,Get your hands on the TK 1 Soft Goalkeeping Leg Guards. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,52451.01875,370205ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215908,,,,,,[S]Size=M,,,,,100,,,,,,,,,,370205M,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Lower body protection,,Buy the TK 1 Classic Goalkeeping Leg Guards Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91817,TK Hockey,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>Nowhere on the pitch is a player more dependent on their equipment than in goal and plenty of attention to detail is applied by TK in their goalkeeping range. Goalkeepers know their own mind and they demand the best. The range caters for different 								abilities preferences and budgets to support keepers in being the difference between winning and losing.</p><p>Features:</p><ul><li>Compact foam outer section for durability protection and controlled rebound</li><li>Wrap around soft inner section offers a comfortable personalised fit</li><li>Three strap fastening with quick release buckles</li><li>The perfect balance of rebound control and durability</li></ul><br>																</div>",57865.4375,2,TK 1 Classic Goalkeeping Leg Guards*,5,,6,N,100,TK 1 Classic Goalkeeping Leg Guards,By Option,http://products.activinstinct.com/y2013/m07/370209/31647027-b.jpg,-240,Buy TK 1 Classic Goalkeeping Leg Guards Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,57865.4375,12-17 Working Days,Get your hands on the TK 1 Classic Goalkeeping Leg Guards. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,44140.24693,370209ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215909,,,,,,[S]Size=M,,,,,100,,,,,,,,,,370209M,,SKU,,,,ACTIVINSTINCT,
,,,,,215910,,,,,,[S]Size=L,,,,,100,,,,,,,,,,370209L,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Lower body protection,,Buy the TK Goalkeeping Starter Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91819,TK Hockey,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>Nowhere on the pitch is a player more dependent on their equipment than in goal and plenty of attention to detail is applied by TK in their goalkeeping range. Goalkeepers know their own mind and they demand the best. The range caters for different 								abilities preferences and budgets to support keepers in being the difference between winning and losing.</p><p>Features:</p><ul><li>All the essentials items to get started in a bag</li><li>Contains legguards kickers gloves padded shorts and upper body protector</li></ul><br>																</div>",60753.1275,2,TK Goalkeeping Starter Set*,5,,6,N,100,TK Goalkeeping Starter Set,By Option,http://products.activinstinct.com/y2013/m07/370794/70262340-b.jpg,-240,Buy TK Goalkeeping Starter Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,60753.1275,12-17 Working Days,Get your hands on the TK Goalkeeping Starter Set. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,53676.843155,370794ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215913,,,,,,[S]Size=S,,,,,100,,,,,,,,,,370794S,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Sticks,,Buy the GRAYS GX 8000 Scoop Dynabow Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,65297,Grays,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>The Grays GX 8000 Scoop Hockey Stick is designed to provide an extra level of control whilst dribbling with the added benefit of being able to lift the ball with ease when drag flicking.</p><p>The scooped out curve of 2mm shaped across the head allows 								players to feel extra ball control when moving at full stretch. The scoop cradles the ball when dribbling allowing you to beat players and unlock defences with supreme control whether you're hitting or flicking.</p><p>Positioned between the Megabow and Jumbow blade profile shapes it has been introduced at the request of top international players who were looking for that little bit extra control and stick handling.</p><p>An innovative more ""rounded"" lower handle shape helps players rotate the stick more freely. It has been especially shaped to ensure that it complies within the 25mm bow limit specified by the FIH.</p><p>Carbon X Edge protection allows for an extra level of durability.</p><p>Carbon and Aramid braided mix provide excellent power whilst the optimum weight to balance ratio ensures you keep control and revel in great feel every time you play.</p><p>Xtra Stiff power rating combined with maxi headshape for power and improved sweet spot.</p><p>The maxi shaped head provides greater surface area and an improved sweet spot which will suit players who enjoy drag flicking and using the reverse side of the stick.</p>								<p>Material</p><ul><li>Carbon </li></ul>								</div>",27543.248655,2,GRAYS GX 8000 Scoop Dynabow Hockey Stick*,5,,6,N,100,GRAYS GX 8000 Scoop Dynabow Hockey Stick,By Option,http://products.activinstinct.com/y2014/m08/446829/31349392-b.jpg,-240,Buy GRAYS GX 8000 Scoop Dynabow Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,27543.248655,12-17 Working Days,Get your hands on the GRAYS GX 8000 Scoop Dynabow Hockey Stick. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,25160.904405,446829ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215928,,,,,,[S]Size=36.5in L,,,,,100,,,,,,,,,,44682936.5in L,,SKU,,,,ACTIVINSTINCT,
,,,,,215929,,,,,,[S]Size=36.5in M,,,,,100,,,,,,,,,,44682936.5in M,,SKU,,,,ACTIVINSTINCT,
,,,,,215930,,,,,,[S]Size=37.5In L,,,,,100,,,,,,,,,,44682937.5In L,,SKU,,,,ACTIVINSTINCT,
,,,,,215931,,,,,,[S]Size=37.5in M,,,,,100,,,,,,,,,,44682937.5in M,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Upper body protection,,Buy the SLAZENGER Premium Academy Goalkeeping Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91825,Slazenger,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>The legguards kickers &amp; gauntlets are made from high density moulded foam for superb protection</p><p>The body armour &amp; padded shorts incorporate high density foam with nylon air flow material to give both protection &amp; comfort..</p><p>Set 								includes:</p><ul><li>Kickers</li><li>Legguards</li><li>Gloves</li><li>Protective shorts</li><li>Body armour</li><li>Lightweight holdall</li></ul><br>								<p>Material</p><ul><li>PU </li></ul>								</div>",51368.135,2,SLAZENGER Premium Academy Goalkeeping Set*,5,,6,N,100,SLAZENGER Premium Academy Goalkeeping Set,By Option,http://products.activinstinct.com/y2013/m09/383024/57474562-b.jpg,-240,Buy SLAZENGER Premium Academy Goalkeeping Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,51368.135,12-17 Working Days,Get your hands on the SLAZENGER Premium Academy Goalkeeping Set. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,46602.002655,383024ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215932,,,,,,[S]Size=Junior,,,,,100,,,,,,,,,,383024Junior,,SKU,,,,ACTIVINSTINCT,
,,,,,215933,,,,,,[S]Size=Senior,,,,,100,,,,,,,,,,383024Senior,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Sticks/Adult/Composite sticks,,Buy the TK Synergy S1 Plus Deluxe Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91887,TK Hockey,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>Delivering unparalleled performance every time TK Synergy sticks continue to lead the market in technology advancement. The performance reputation of TK Synergy models remains unrivalled.</p><p>Nano Technology enhances the mechanical strengths of 								the stick composite structure utilising a strong carbon to carbon covalent bond. This combines to produce extreme rigidtiy and durability during play.</p><p>The lowest placement of the 25mm bow possible to produce the ultimate in drag flick performance. The most concentrated level of assistance of any of TK stick profiles the Late Extreme bow shape is fully concentrated on maximising drag flick consistency and aerial pass skills. Late Extreme bow for the ultimate drag flick performance and carbon rich specification for excellent power potential.</p><p>Specification:</p><ul><li>NanoTechnology</li><li>Integrated Dampening System (IDS)</li><li>Late Extreme Bow</li><li>Matt/hi-gloss combination finish</li><li>100% Carbon</li></ul><br>																</div>",43426.9875,2,TK Synergy S1 Plus Deluxe Hockey Stick*,5,,6,N,100,TK Synergy S1 Plus Deluxe Hockey Stick,By Option,http://products.activinstinct.com/y2014/m07/444849/20902068-b.jpg,-240,Buy TK Synergy S1 Plus Deluxe Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,43426.9875,12-17 Working Days,Get your hands on the TK Synergy S1 Plus Deluxe Hockey Stick. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,39456.41375,444849ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,216253,,,,,,[S]Size=37.5In L,,,,,100,,,,,,,,,,44484937.5In L,,SKU,,,,ACTIVINSTINCT,
,,,,,216254,,,,,,[S]Size=37.5in M,,,,,100,,,,,,,,,,44484937.5in M,,SKU,,,,ACTIVINSTINCT,
,,,,,216250,,,,,,[S]Size=37.5in M,,,,,100,,,,,,,,,,37414437.5in M,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Sticks/Adult/Composite sticks,,Buy the TK Platinum P2 Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91882,TK Hockey,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>The Platinum series the highest specification stick that TK produce. Featuring fantastic technology this composite stick has a matt/gloss finish with a hand woven Italian fibre braid detailing.</p><p>Until now it had been an accepted compromise 								that extreme stiffness removed any natural absorption of shock that twisting and flexing brings resulting in less feel on the ball. Those days are gone thanks to Integrated Dampening System an anti-vibration measure. There is a piezo-electric fibre cell within the structure at the start of the handle which converts the vibration wave firstly to an undetectable electric signal and then heat energy.</p><p>DynanoTex Technology is a purification process for dry carbon fibre strands. A 24K carbon fibre strand is separated and precision tension rolled to achieve almost 80% alignment in the fibres. The result is an increase in the performance of each strand to near 100% of potential fibre strength thereby improving shear and tensile strength to reduce twisting and flexing on impact and increase the level of energy transfer through the ball.</p><p>The stick is evenly balanced with a 25mm bow the apex of which is moved towards the head to create greater drag force and sharper angles in the lower section of the stick. This shape principally aids dynamic ball control and multi-directional dribbling as well as drag flicking and aerial passing but still performs basic ball movement skills well.</p><p>Specification:</p><ul><li>DynanoTex Technology</li><li>Integrated Dampening System (IDS)</li><li>Late Bow</li><li>Matt/hi-gloss combination finish</li><li>80% Carbon 20% Aramid</li></ul><br>																</div>",47036.6,2,TK Platinum P2 Hockey Stick*,5,,6,N,100,TK Platinum P2 Hockey Stick,By Option,http://products.activinstinct.com/y2014/m07/444834/68453975-b.jpg,-240,Buy TK Platinum P2 Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,47036.6,12-17 Working Days,Get your hands on the TK Platinum P2 Hockey Stick. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,40104.700155,444834ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,216255,,,,,,[S]Size=36.5in L,,,,,100,,,,,,,,,,44483436.5in L,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Sticks,,Buy the GRAYS GX 5000 Goalkeeping Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91822,Grays,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>With the help of top international players Grays have developed a superior range of headshapes blade profiles reinforcements lengths and weights to enhance the key performance categories of Playability Performance and Durability that remain the 								three main criteria Grays concentrate on when developing the new GX range of composites. This high visibility composite goalie stick boasts a specially curved blade that gives maximum stopping area for penalty corner saves.</p><p>For 2011 Grays continue to elevate their sticks to new heights by introducing a range of hi tech finishes.</p><p>By tirelessly refining the optimal matrix fibre constructions Grays aim to equip every player with that all important feel and balance giving you everything you need to play at the best of your ability.</p><p>Key Features:</p><ul><li>Hi-visibility goalie stick</li><li>Specially curved blade gives maximum stopping area for penalty corner saves</li></ul><br>																</div>",13104.798655,2,GRAYS GX 5000 Goalkeeping Hockey Stick*,5,,6,N,100,GRAYS GX 5000 Goalkeeping Hockey Stick,By Option,http://products.activinstinct.com/y2013/m06/362735/41986845-b.jpg,-240,Buy GRAYS GX 5000 Goalkeeping Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,13104.798655,12-17 Working Days,Get your hands on the GRAYS GX 5000 Goalkeeping Hockey Stick. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,12166.299405,362735ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215923,,,,,,[S]Size=36.5in,,,,,100,,,,,,,,,,36273536.5in,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Helmets,,Buy the GRAYS G 6000 Helmet Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,http://products.activinstinct.com/y2010/m07/178504/41476096-b.jpg,91824,Grays,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>The Grays G600 Helmet is crafted for the international goalie boasting a hi-tech injection moulded helmet shell.</p><p>Unbeatable protection is complimented by optimal comfort courtesy of a high density moulded foam lining with a high visibility 								grille included. This helmet is finished with a fully adjustable chin strap combining a functional design with maximum comfort.</p>								<p>Material</p><ul><li>Nylon </li><li>ABS </li><li>EVA </li></ul>								</div>",21767.868655,2,GRAYS G 6000 Helmet*,5,,6,N,100,GRAYS G 6000 Helmet,By Option,http://products.activinstinct.com/y2010/m07/178504/57192576-b.jpg,-240,Buy GRAYS G 6000 Helmet Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,21767.868655,12-17 Working Days,Get your hands on the GRAYS G 6000 Helmet. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,18158.256155,178504ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215926,,,,,,[S]Size=Black,,,,,100,,,,,,,,,,178504Black,,SKU,,,,ACTIVINSTINCT,
,,,,,215927,,,,,,[S]Size=Silver,,,,,100,,,,,,,,,,178504Silver,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Upper body protection,,Buy the SLAZENGER Academy Goalkeeping Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91823,Slazenger,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>The legguards kickers Chest pad &amp; gauntlets are made from high density moulded foam for superb protection</p><p>Light weight and easy to play in.</p><p>Set includes:</p><ul><li>Kickers</li><li>Legguards</li><li>Gloves</li><li>Chestpad</li><li>Lightweight holdall</li></ul>								<br>								<p>Material</p><ul><li>PU </li></ul>								</div>",39817.375,2,SLAZENGER Academy Goalkeeping Set*,5,,6,N,100,SLAZENGER Academy Goalkeeping Set,By Option,http://products.activinstinct.com/y2013/m09/383021/27864693-b.jpg,-240,Buy SLAZENGER Academy Goalkeeping Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,39817.375,12-17 Working Days,Get your hands on the SLAZENGER Academy Goalkeeping Set. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,25378.925,383021ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215924,,,,,,[S]Size=Junior,,,,,100,,,,,,,,,,383021Junior,,SKU,,,,ACTIVINSTINCT,
,,,,,215925,,,,,,[S]Size=Senior,,,,,100,,,,,,,,,,383021Senior,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Upper body protection,,Buy the GRYPHON S4 Goalkeeping Hand Protectors Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,http://products.activinstinct.com/y2014/m07/443493/72543755-b.jpg,91809,Gryphon,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>The entry-level goalkeeping option from Gryphon offering excellent protection for relative newcomers to the game at a reasonable price bracket.</p><p>Features:</p><ul><li>Compressed soft foam outer to balance rebound protection and durability</li><li>LH features as simple blocker design with thicker internal finger housing</li><li>RH features European style for high angle saves</li></ul>								<br>								<p>Material</p><ul><li>Foam </li></ul>								</div>",32598.15,2,GRYPHON S4 Goalkeeping Hand Protectors*,5,,6,N,100,GRYPHON S4 Goalkeeping Hand Protectors,By Option,http://products.activinstinct.com/y2014/m07/443493/22821424-b.jpg,-240,Buy GRYPHON S4 Goalkeeping Hand Protectors Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,32598.15,12-17 Working Days,Get your hands on the GRYPHON S4 Goalkeeping Hand Protectors. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,29709.016155,443493ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215896,,,,,,[S]Size=Black,,,,,100,,,,,,,,,,443493Black,,SKU,,,,ACTIVINSTINCT,
,,,,,215897,,,,,,[S]Size=Red,,,,,100,,,,,,,,,,443493Red,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Lower body protection,,Buy the GRAYS G400 Goalkeeping Legguard  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,http://products.activinstinct.com/y2008/m12/20679/20679-2-b.jpg,91812,Grays,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>The Grays G400 Goalkeeping Legguard has been redesigned and features a supremely comfortable and effective foam construction with triple laminate protection with a streamlined knee and ankle area for enhanced performance. Excellent leg comfort and 								fit is further enhanced with a specially integrated instep design to fit the G400 Kicker.</p>								<p>Material</p><ul><li>PVC </li><li>High Density Foam </li></ul>								</div>",36206.318655,2,GRAYS G400 Goalkeeping Legguard *,5,,6,N,100,GRAYS G400 Goalkeeping Legguard ,By Option,http://products.activinstinct.com/y2008/m12/20679/20679-1-b.jpg,-240,Buy GRAYS G400 Goalkeeping Legguard  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,36206.318655,12-17 Working Days,Get your hands on the GRAYS G400 Goalkeeping Legguard . Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,32957.667405,20679ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215902,,,,,,[S]Size=M,,,,,100,,,,,,,,,,20679M,,SKU,,,,ACTIVINSTINCT,
,,,,,215903,,,,,,[S]Size=L,,,,,100,,,,,,,,,,20679L,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Clothing & accessories,,Buy the MERCIAN Plain GK Smock Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91821,Mercian,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>Mercian Plain Smock returns and retains it's impact.</p><p>Contrast trimmed smock made from breathable performance material available in two base colours with long sleeves.</p><p>Sizing:</p><p>S-43”-45”</p><p>M-47”-49”</p><p>L-50”-52”</p>								<p>XL-53”-55”</p><p>XXL-55”-57”</p>								<p>Material</p><ul><li>Cotton </li><li>Polyester </li></ul>								</div>",8051.341155,2,MERCIAN Plain GK Smock*,5,,6,N,100,MERCIAN Plain GK Smock,By Option,http://products.activinstinct.com/y2010/m07/177947/40749180-b.jpg,-240,Buy MERCIAN Plain GK Smock Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,8051.341155,12-17 Working Days,Get your hands on the MERCIAN Plain GK Smock. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,7618.187655,177947ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215915,,,,,,[S]Size=Black,,,,,100,,,,,,,,,,177947Black,,SKU,,,,ACTIVINSTINCT,
,,,,,215916,,,,,,[S]Size=Green,,,,,100,,,,,,,,,,177947Green,,SKU,,,,ACTIVINSTINCT,
,,,,,215917,,,,,,[S]Size=Orange,,,,,100,,,,,,,,,,177947Orange,,SKU,,,,ACTIVINSTINCT,
,,,,,215918,,,,,,[S]Size=Pink,,,,,100,,,,,,,,,,177947Pink,,SKU,,,,ACTIVINSTINCT,
,,,,,215919,,,,,,[S]Size=Purple,,,,,100,,,,,,,,,,177947Purple,,SKU,,,,ACTIVINSTINCT,
,,,,,215920,,,,,,[S]Size=Red,,,,,100,,,,,,,,,,177947Red,,SKU,,,,ACTIVINSTINCT,
,,,,,215921,,,,,,[S]Size=Royal Blue,,,,,100,,,,,,,,,,177947Royal Blue,,SKU,,,,ACTIVINSTINCT,
,,,,,215922,,,,,,[S]Size=Yellow,,,,,100,,,,,,,,,,177947Yellow,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Sticks/Adult/Composite sticks,,Buy the GRAYS GR 9000 Dynabow Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,65243,Grays,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>This range of sticks feature Graphene Enhanced Technology a high form of carbon which has microscopic thickness making it one of the thinnest yet strongest new generation materials. This creates a unique combination of powerful energy transfer when 								hitting and shock absorbing properties for added feel and response.</p><p>Graphene fibre matrix construction formulae with fully integrated carbon and aramid and graphene resin system. There is improved control by energy-absorbing basalt and excellent transfer when hitting.</p><p>Positioned between the Megabow and Jumbow blade profile shapes the Dynabow has been introduced at the request of top international players who were looking for that little bit extra control and stick handling.</p><ul><li>Power Rating: Xtra stiff</li><li>Head Face: Improved Feel area</li><li>Blade Profile: Jumbow</li><li>Reinforcement Materials: Carbon Aramid Fibreglass</li><li>Grip: Twintex Hi-Soft</li><li>Low Backhand Zone: PR Enhanced Edge Protection</li><li>Heel Protection: AR Zone</li></ul><br>																</div>",47035.156155,2,GRAYS GR 9000 Dynabow Hockey Stick*,5,,6,N,100,GRAYS GR 9000 Dynabow Hockey Stick,By Option,http://products.activinstinct.com/y2014/m07/446728/94144343-b.jpg,-240,Buy GRAYS GR 9000 Dynabow Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,47035.156155,12-17 Working Days,Get your hands on the GRAYS GR 9000 Dynabow Hockey Stick. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,42544.798205,446728ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,216283,,,,,,[S]Size=36.5in L,,,,,100,,,,,,,,,,44672836.5in L,,SKU,,,,ACTIVINSTINCT,
,,,,,216284,,,,,,[S]Size=36.5in M,,,,,100,,,,,,,,,,44672836.5in M,,SKU,,,,ACTIVINSTINCT,
,,,,,216285,,,,,,[S]Size=37.5In L,,,,,100,,,,,,,,,,44672837.5In L,,SKU,,,,ACTIVINSTINCT,
,,,,,216286,,,,,,[S]Size=37.5in M,,,,,100,,,,,,,,,,44672837.5in M,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Sticks/Adult/Composite sticks,,Buy the TK Platinum P1 Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91891,TK Hockey,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>The Platinum series the highest specification stick that TK produce. Featuring fantastic technology this composite stick has a matt/gloss finish with a hand woven Italian fibre braid detailing.</p><p>Until now it had been an accepted compromise 								that extreme stiffness removed any natural absorption of shock that twisting and flexing brings resulting in less feel on the ball. Those days are gone thanks to Integrated Dampening System an anti-vibration measure. There is a piezo-electric fibre cell within the structure at the start of the handle which converts the vibration wave firstly to an undetectable electric signal and then heat energy.</p><p>DynanoTex Technology is a purification process for dry carbon fibre strands. A 24K carbon fibre strand is separated and precision tension rolled to achieve almost 80% alignment in the fibres. The result is an increase in the performance of each strand to near 100% of potential fibre strength thereby improving shear and tensile strength to reduce twisting and flexing on impact and increase the level of energy transfer through the ball.</p><p>The stick is evenly balanced with a 25mm bow the apex of which is moved towards the head to create greater drag force and sharper angles in the lower section of the stick. This shape principally aids dynamic ball control and multi-directional dribbling as well as drag flicking and aerial passing but still performs basic ball movement skills well.</p><p>Specification:</p><ul><li>DynanoTex Technology</li><li>Integrated Dampening System (IDS)</li><li>Late Bow</li><li>Matt/hi-gloss combination finish</li><li>90% Carbon 10% Aramid</li></ul><br>																</div>",54255.825,2,TK Platinum P1 Hockey Stick*,5,,6,N,100,TK Platinum P1 Hockey Stick,By Option,http://products.activinstinct.com/y2014/m07/444820/98452617-b.jpg,-240,Buy TK Platinum P1 Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,54255.825,12-17 Working Days,Get your hands on the TK Platinum P1 Hockey Stick. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,49200.923655,444820ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
