stock,Video,description,SP,,imgurl,productname,imgurl2,imgurl3,imgurl4,imgurl5,imgurl6,imgurl7,imgurl8,imgurl9,imgurl10,
"In Stock,2014,
,
,
,
,
,
,
,
,
,i purhcase dart, same quantity as above hydrobak. in reality it is not of 1.5 litre. almost contain just only 1 litre or less. yes the bag quality is good enough but also the price as you see above. it is good for only almost 21 km of running in summers as drinking more than 20 oz per hour is very much. Dart is enough good for running. may this will enough helpful for any one, thankyou.",,"The minimalist pack for 1.5 hours in the saddle.
Includes the new 50 oz (1.5 L) Antidote™ Reservoir — the ultimate cure for dehydration.
Antidote features: Quick-seal cap, lightweight fillport, low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, PureFlow™ tube, easy-to-clean wide-mouth opening
BACK PANEL: Air Mesh
HARNESS: Lightweight Mesh
KEY FEATURES
• External fill
• Reflectivity
• Essentials pocket
• Short torso sits above jersey pockets
Designed to Carry: Multi-tool, wallet or keys
Fabric Specs: 210D Nylon &amp; 70D Diamond Clarus with DWR + 1000 mm PU
Torso Length: 13 in (33 cm)
","Rs.3,499",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/62203-IN_S14_V1.jpg?itok=m-Xespdw,Hydrobak™ 1.5L,,,,,,,,,,
"In Stock,2014,
,
,
,
,
,
,
,
,
,
,
,
",//www.youtube.com/embed/SMs_IRRG2UA?rel=0,"Technical full-day mountain bike pack with superior ventilation for rides in any weather.
Includes NEW 100 oz (3 L) Antidote™ Reservoir with Quick Link™ System — the ultimate cure for dehydration.
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
Hydration Capacity: 100 oz (3 L)
Total Capacity: 976 cu in / 16L + 3L Reservoir
Antidote features: Quick Link™ System, quick-seal cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, PureFlow™ tube, easy-to-clean wide-mouth opening.
TOTAL CAPACITY: 854 cu in / 14L + 3L Reservoir
PACK ONLY WEIGHT: 2 lbs 2oz (.95 kg)
BACK PANEL: NV
HARNESS: D-Fit Suspension™
BELT: Fixed 20 mm / .75” with cargo pockets
KEY FEATURES
• Helmet hook
• Four point compression
• Media pocket
• Dual waist belt pockets
• Dual bike tool organizer pockets
• Integrated rain cover
FABRIC SPECS: 70D Diamond Clarus &amp; 420 Nylon with DWR + 1000 mm PU
","Rs.10,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/62040-IN_S14_V1.jpg?itok=nb1PuMcs,H.A.W.G.® NV,,,,,,,,,,
"In Stock,
",,"FEATURES
• Strains out larger sediment particles prior to purification with All Clear™
• Protects bottle threads from untreated water
","Rs.1,199",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90785_S12_V1.jpg?itok=pRud9OoK,All Clear™ PRE-FILTER,http://www.camelbakindia.com/cbi/sites/default/files/90785_blue_sp.jpg,,,,,,,,,
"In Stock,2014,
,
,
,
,
,
,
",http://www.youtube.com/embed/WhmJSjCNKMA,"This reservoir with Thermal Control™ insulation turns any pack into an all-season hydration system.
Includes NEW 70 oz (2 L) Antidote™ Reservoir — the ultimate cure for dehydration.
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
Hydration Capacity: 70 oz (2 L)
Key Features: Fully insulated reservoir chamber with double the insulation of a summer pack, quick zip reservoir loading, includes 4 mm insulated tube cover and insulated bite valve cover
Designed to Carry: Water
Fabric Specs: 600D Poly with DWR &amp; 1000 mm PU coating
","Rs.3,499",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/61750_S12_V1.jpg?itok=mbqmuAuA,Stoaway™ 2L,,,,,,,,,,
"In Stock,2014,
,
,
,
,
,
,
,
,
,
,
,
,
",,"The answer for ultra-light backcountry adventures.
Includes NEW 100 oz (3 L) Antidote™ Reservoir with Quick Link™ System — the ultimate cure for dehydration.
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
Hydration Capacity: 100 oz (3 L)
Total Capacity: 763 cu in (25 L)
Antidote features: Quick Link™ System, quick-seal cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, PureFlow™ tube, easy-to-clean wide-mouth opening.
BACK PANEL: LV™ (Lightweight Ventilated)
HARNESS: Independent Suspension™ with perforated foam and Slider™ Sternum Strap
BELT: Load-bearing with cargo pocket
Key Features: Trekking pole and ice axe mounts, Sunglasses pocket, Ultra-Light materials, quick stash overflow pocket, four point compression straps, side stretch pockets
Designed to Carry: Suggested load range: 10-25 lbs. Extra layers, rain gear, food, head lamp, trail map, trekking poles, media, sunglasses
Suggested load range: 5-12 kgs
Fabric Specs: 70D Diamond Box Rip with DWR + 1000 mm PU
Torso Length: 19 in (48cm)
","Rs.7,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/62089-IN_S13_V1.jpg?itok=LFAuaRgW,Highwire 25™ 3L,,,,,,,,,,
"In Stock,
,
",,"More than just a reservoir, the Antidote™ is a specialized performance system connecting you to the hydration you need. Equipped with the Quick Link™ system, Antidote offers a wide range of technical accessories that simply click into place, so you can build the system you need to deliver the performance you want. Antidote is light, low-profile and perfectly equipped for any dose of adventure. It is the ultimate cure for dehydration.
ANTIDOTE FEATURES
- Quick-snap cap that tightens in just a quarter turn
- Low-profile fit for unmatched stability
- Air-light fillport cuts weight
- Integrated dryer system
- Made with BPA-Free materials
","Rs.2,699",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90762_S12_0000_V1_300.jpg?itok=5MGTgjI3,Antidote™ 2L Reservoir with Quick Link™ system,http://www.camelbakindia.com/cbi/sites/default/files/rec-accessories-antidote-cap-rotate-closeup_0.jpg,http://www.camelbakindia.com/cbi/sites/default/files/rec-accessories-antidote-dryer-arm-closeup_0.jpg,http://www.camelbakindia.com/cbi/sites/default/files/rec-accessories-antidote-quick-link-closeup_0.jpg,,,,,,,
"In Stock,2 Pack,
,
",,"Stock up on carbon filters for your CamelBak Groove®.
Includes two plant-based carbon filters, for up to 60 gallons (or four months) of use.
",Rs.999,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/S11_2pk_Replacement_Filter_0.jpg?itok=tj1nGnZ2,Groove® Replacement Filters,,,,,,,,,,
"In Stock,Blue,
,
,
,This Mud cap is a definite must have for the city and off road cyclists to avoid the dirt and pollution sticking to your podium cap (which by the way is a magnet for dirt!).
I have been using the mud cap for over a month now, its super easy to open and close during biking. You can operate it single handed.
I will admit that it took me quite a while to remove the stock cap out of my Podium Chill, but the mud cap fitted silky smooth without effort.

As far as the shipping is considered, I received the mud cap within 48 hrs of ordering it online. keep up the good work CamelBak.
",,"Kick up all the dirt you want, without eating it.
Fits all CamelBak Podium® family products.
NOTE: THE MUD CAP DOES NOT FIT ONTO THE NEW SPECIAL EDITION PODIUM BOTTLE
",Rs.399,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/mud_cap.jpg?itok=Ihhpwe-2,Podium Mud Cap,http://www.camelbakindia.com/cbi/sites/default/files/camelbak_podium_mudcap.jpg,,,,,,,,,
"In Stock,2014,
,
,
,
,
,
,
,
,
,
,
","http://www.youtube.com/embed/itdKIioc2jM,http://www.youtube.com/embed/ucWadHksqWA","Grab and go:- a pack with the right features for a quick out-and-back.
Includes NEW 70 oz (2 L) Antidote™ Reservoir with Quick Link™ System — the ultimate cure for dehydration.
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
Hydration Capacity: 70 oz (2 L)
Total Capacity: 975 cu in / 16L + 2L Reservoir
Antidote features: Quick Link™ System, quick-seal cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, PureFlow™ tube, easy-to-clean wide-mouth opening.
BACK PANEL: Air Channel™
HARNESS: Fixed Diamond Mesh with Slider™ Sternum Strap
BELT: N/A
Key Features:
• Hike essentials organizer pocket
• Compression straps
• Side pockets
Designed to Carry: Extra layers, food, trail maps, compass
Fabric Specs: 1100 NP Ladder &amp; 420 Nylon with DWR + 1000 mm PU
","Rs.4,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/62180-IN_S14_V1.jpg?itok=qQM1YXke,Cloud Walker™ 18,,,,,,,,,,
"In Stock,
,
",,"Pack of 8 Cleaning tablets. Fast-acting cleaner
FEATURES
- Periodic cleaning with CamelBak® Cleaning Tabs™ keeps reservoir and tube free from taste and odor
- CamelBak® Cleaning Tabs™ work in just 5 minutes for a thorough cleaning
",Rs.999,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/60061_S12_V1.jpg?itok=EERR-u9J,CLEANING TABS™,,,,,,,,,,
"6 - 12 Days,
,
,
,
,
,
",,"With two removable storage compartments, this low-profile, highly adjustable system goes above and beyond your expectations.
Includes the 102 oz (3.1 L) Low-Profile OMEGA® Water Beast™ Reservoir.
Cargo Volume: 793.3 cu in (13 L)
Total Volume: 982.4 cu in (16.1 L)
Reservoir Features: Easy-to-fill and clean wide-mouth OMEGA® opening, rugged and durable Water Beast™ material, leak-proof screw-cap, insulated PureFlow™ tube, patented Big Bite™ Valve, HydroLink™ Exit Port and Drink Port, HydroLock™ one-handed flow control
Additional Features: Smartly designed storage pockets include organizers and slat pockets, Air Channel back panel with removable frame sheet, Integrated MOLLE attachment system, Dual side pockets carry clips, ammo, or other necessities.
","Rs.14,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/gmi-packs-transformer-black-07-large-tiff_1.jpg?itok=Ijri_TO7,Transformer,,,,,,,,,,
"In Stock,0.65 L,
,
,
,
,
,
,
,I've been using it as a bike bottle and also while driving (Fits a regular cup holder perfectly) for about two weeks. Functions as advertised. The best bottle i've had the pleasure of using. ",http://www.youtube.com/embed/kxSshPDK4lI,"The Performance Bottle is 100% BPA-Free, so it's healthier from the very first sip.
Squeeze sides to increase flow. Perfect for runners or cross-trainers.
No Spills, No Spatters: Sip anytime without splashing as you run or ride. Twist the cap to shut off water flow on the way to your workout.
Sip It In Stride: Big Bite Valve and straw allow for easy drinking without taking your eyes off the road or trail.
Stay True to Taste: TruTaste™ -- a proprietary blend of polypropylene -- lets you taste your beverage, not your plastic bottle.
Gauge Your Intake: Fuel gauge makes easy to stay on top of hydration.
Lock In and Go: Fits securely in bike cages for on-road and off-road adventures.
",Rs.799,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/bottles-performance-bottle-22-oz-clear-2011-300.jpg?itok=yHe8hMxC,Performance™ Bottle,,,,,,,,,,
"In Stock,
,
",,"More than just a reservoir, the Antidote™ is a specialized performance system connecting you to the hydration you need. Equipped with the Quick Link™ system, Antidote offers a wide range of technical accessories that simply click into place, so you can build the system you need to deliver the performance you want. Antidote is light, low-profile and perfectly equipped for any dose of adventure. It is the ultimate cure for dehydration.
ANTIDOTE FEATURES
- Quick-snap cap that tightens in just a quarter turn
- Low-profile fit for unmatched stability
- Air-light fillport cuts weight
- Integrated dryer system
- Made with BPA-Free materials
","Rs.2,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90763_S12_0000_V1_300.jpg?itok=I_UrFouG,Antidote™ 3L Reservoir with Quick Link™ system,http://www.camelbakindia.com/cbi/sites/default/files/rec-accessories-antidote-cap-rotate-closeup.jpg,http://www.camelbakindia.com/cbi/sites/default/files/rec-accessories-antidote-dryer-arm-closeup.jpg,http://www.camelbakindia.com/cbi/sites/default/files/rec-accessories-antidote-quick-link-closeup.jpg,,,,,,,
"In Stock,2014,
,
,
,
,
,
,
,
,
,
,
",,"The expandable cargo pack for 2+ hours in the saddle.
Includes NEW 70 oz (2 L) Antidote™ Reservoir with Quick Link™ System — the ultimate cure for dehydration.
Antidote features: Quick Link™ System, quick-seal cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, PureFlow™ tube, easy-to-clean wide-mouth opening.
Hydration Capacity: 70 oz (2 L)
Total Capacity:
Open: 1100 cu in / 18L + 2L Reservoir
Closed: 670 cu in / 11L + 2L Reservoir
DIMENSIONS
OPEN: 19 x 9 x 10 in (49 x 23 x 24 cm)
CLOSE: 19 x 9 x 7.25 (49 x 22.5 x 18.5)
BACK PANEL: Air Channel
HARNESS: Air Mesh™ with Slider™ Sternum Strap
BELT: Removable 25 mm / 1” stability
KEY FEATURES
• Expandable zip panel for extra gear
• Front and back reflectivity
• Media pocket • B linker tab
• Bike tool organizer pocket
FABRIC SPECS
210D Nylon, 70D Diamond Clarus &amp; 600D Poly with DWR + 1000 mm PU
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
","Rs.5,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/62170-IN_S14_V1.jpg?itok=cJ6YFaMh,BLOWFISH™,,,,,,,,,,
"In Stock,2014,
,
,
,
,
,
,
,
,
,
,
,
",,"Perfect for lightweight and minimalistic trail running or cycling.
Includes the new Antidote™ Reservoir with Quick Link™ System  — the ultimate cure for dehydration.
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
Hydration Capacity: 100 oz (3 L)
Total Capacity: 210 cu in / 3.5L + 3L Reservoir
Antidote features: Quick Link™ System, quick-seal cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, PureFlow™ tube, easy-to-clean wide-mouth opening.
BACK PANELBACK PANEL: Air Mesh
HARNESS: Ultra-light 3-D Mesh with integrated GPS &amp; gel pocket and Slider™ Sternum Strap
BELT: Fixed 25 mm / 1” with cargo pockets
KEY FEATURES
• Ultra-light materials
• Safety whistle
• Essentials pocket
• Front and back reflectivity
Designed to Carry: Extra layers, ultra-light weather protection, trail maps, energy bars
Fabric Specs: 70D Diamond Box Rip with DWR + 1000 mm PU
Torso Length: 17 in (43 cm)
","Rs.5,499",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/62229-IN_S14_V1.jpg?itok=Fb1XeXtP,Octane™ XCT 3L,,,,,,,,,,
"In Stock,
,
,
",,"Two replacement Bottle Bite Valves: one-piece, silicone design self-seals to prevent leaks
Two replacement straws enable sipping without tipping
Fits CamelBak® Eddy Kids Bottle™
",Rs.999,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90747_S12_V1.jpg?itok=tS6FUs2C,Kids’ Bottle Bite Valve and Straw,,,,,,,,,,
"In Stock,0.4 L,
,
,
,
,
",http://www.youtube.com/embed/rAw0_245_ec,"The Kids' Bottle is 100% BPA-Free, so it's healthier and worry-free from the very first sip.
Easy Sipping, No Spilling: Our patented Bite Valve is still the very best way to drink what you need. And it won't spill if it's left open.
One-Hand Usage: Flip, bite and sip. No tipping required (though possible: just remove the straw).
Fun To Use: The drinking spout pops up at the touch of a button, so it's fun and easy for kids to use.
Easy To Clean: Each durable bottle is stain-resistant and easy to clean.
",Rs.999,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/53373_S12_7500_V1.jpg?itok=fd-oMqhK,Kids' Bottle - 100% BPA & Phthalate Free,http://www.camelbakindia.com/cbi/sites/default/files/53376_S12_9000_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/53447_S13_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/53448_S13_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/53450_S13_V1.jpg,,,,,,
"In Stock,2014,
,
,
,
,
,
,
,
,
,
",http://www.youtube.com/embed/IgQqZBISQtU,"The hydration system that is fully-integrated into a full-zip base layer garment.
Includes NEW 70 oz (2 L) Antidote™ Reservoir.
CamelBak® Got Your Bak™ Guarantee:  If we built it, we'll Bak it™ with our lifetime guarantee
Hydration Capacity: 70 oz (2 L)
Cargo Capacity: N/A
Antidote features: Quick-seal cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, PureFlow™ tube, easy-to-clean wide-mouth opening.
KEY FEATURESHYDROPOUCH™ Innovative, integrated reservoir compartment encapsulates the 70 oz (2L) reservoir to support and stabilize water weight on your back. Air mesh back panel insert keeps
your back cool while insulating the water in your reservoir.
QUICKFIT™ Plush compression fabric self-adjusts to comfortably hold and stabilize 70 oz (2L) of water while conforming to your body.
QUICKWICK™ Lightweight and breathable fabric with integrated stretch delivers moisture management and a performance fit.
Fabric Specs:
Body: 100% polyester
Mesh: 75% polymide, 25% elastane
Sizing
61574 Medium: 38-41 inches (97-104 cm)
61575 Large: 41-44 inches (104-112 cm)
","Rs.7,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/61573_S12_V1.jpg?itok=4FHO8a8p,RaceBak™ Men's,http://www.camelbakindia.com/cbi/sites/default/files/s11-intl-outdoor-wkbk-p17-hydropouch-300.jpg,http://www.camelbakindia.com/cbi/sites/default/files/DSC_2272.jpg,,,,,,,,
"In Stock,
,
",,"FEATURES
• One-piece bite valve is spill-proof, child safe and easy to clean
• Top-rack dishwasher safe
",Rs.999,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90836_S12_V1.jpg?itok=DmmWZfv2,Kids’ Bottle Bite Valve Multi-pack,,,,,,,,,,
"In Stock,0.5L,
,
",,"KEY FEATURES
• Double-Wall vacuum insulation keeps water cold for up to 2 days !! 
• Flip, Bite and Sip. No tipping required (though possible: just remove the straw). Redesigned cap and bite valve provide faster flow and enhanced durability. New, redesigned bottle shape. 
• Durable, BPA-Free easy to carry and spill proof. 
• Naturally 100% BPA-Free, taste-free stainless steel. No inner liners or plastic coatings that aluminum bottles require. 
• Wide-mouth opening is easy to fill with ice and water and a breeze to clean. 
DRINK INTERFACE
Big Bite™ ValveBOTTLE MATERIAL
BPA-Free 302 Stainless Steel
","Rs.2,499",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/53387_S12_7900_V1.jpg?itok=g_T9okgz,EDDY™ STAINLESS STEEL INSULATED,,,,,,,,,,
"In Stock,0.7 L,
,
,
,
,
,
,
,
",,"The Eddy Steel is naturally 100% BPA-Free and taste-free, so it's healthier from the very first sip.
Flip &amp; Sip: Sip with ease, flip shut for storage and no spills with the patented CamelBak Big Bite Valve. Redesigned cap and bite valve provide faster flow and enhanced durability. New, redesigned bottle shape.
Simple to Carry: The integrated handle makes it easy to clip a carabiner or carry with the crook of a finger.
Keep It Fresh: Our wide-mouth opening is easy to fill with ice and water and a breeze to clean.
The Perfect Size: Cap fits most other bottles, bottle attaches to most water filters, fits most cup holders.
Dishwasher Safe: Disassemble the parts and your bottle is safe to clean in the top rack of your dishwasher.
Spill-Proof: Our bottle won't spill even if it is left in the open position.
Bottle Material: BPA-Free food grade 302 Stainless Steel
","Rs.1,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/53381_S12_7900_V1.jpg?itok=mGLkGWzY,Eddy™ Stainless Steel,,,,,,,,,,
"In Stock,0.6L,
,
,
,
,
,
","http://www.youtube.com/embed/2M8RxndFGz8,http://www.youtube.com/embed/zWFrAj8w644,http://www.youtube.com/embed/jtQy3fo5Srw,http://www.youtube.com/embed/MNAjn-tcit8","Hydration Capacity: 20 oz (.6 L)
100% BPA-Free
CamelBak® Got Your Bak Lifetime Guarantee™
Easy to refill and easy to use bottle with a filter built into the straw. Turn potable (drinkable) tap water into fresh, great-tasting water anywhere you go. Certified to remove chlorine, cadmium, lead, mercury and copper from your water.
Durable, easy to carry and spill-proof.
Flip &amp; Sip: Sip with ease, flip shut for storage and no spills with the patented CamelBak Big Bite™ Valve.
Dishwasher safe. (See cleaning tips for more information.)
","Rs.1,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/53285_S12_6300_V1.jpg?itok=SBx8ocGR,Groove™,http://www.camelbakindia.com/cbi/sites/default/files/53284_S12_5900_V1.jpg,,,,,,,,,
