SKU,Description,CP,SP,productname,Size,Brand,imgurl,
253206-W346,"
							The Bikila is the first model designed specifically to promote a more natural, healthier and more efficient forefoot strike. The Bikila features a Dri-Lex covered 3mm polyurethane insole, and this is at its thickest under the ball, as well as a 4mm anatomical pod outsole design. It is the combination of these two that ensures superior plating protection and distributes forefoot impact without compromising essential ground feedback.

The Bikila upper is constructed of Coconut Active Carbon for natural breathability. This shoe has the durability to handle the road thanks to an athletic padded collar and topline, 3M reflective surfaces for greater visibility, and abrasion resistant PU toe protection. The defining feature of the Bikila LS is its closed quick lace system assuring a custom fit for a wider range of foot types.


Upper: Stretch Polyaminde with TPU toe caps for protection
Sole: Anatomical Pods TC-1 Rubber
Footbed: 3mm Polyurethane with Dri-Lex Sockliner
Machine washable. Air dry.MaterialPolyurethane 15%TPU 15%Vibram Tc1 Rubber 35%Stretch Polyamide 35%						",11400,13338,VIBRAM Fivefingers Ladies Bikila Running Shoes,UK3.5;UK5.5;UK6.5,VIBRAM,http://products.activinstinct.com/y2011/m10/253206/79435467-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
330289-W1080PL3,"
							The 1080v3 provides neutral runners comfort and protection in a lightweight frame. It features N2 cushioning, and ABZORB crash pad and a thin, light, arch-securing FantomFit quarter. This is a shoe that can keep up, mile after mile.

ABZORB is a superior blend of cushioning and compression, made with isoprene rubber, to provide the ultimate ride.

N2 is a new bottom unit cushioning system. It is responsive, durable and sustainable, all with low profile execution. It delivers on all these qualities while keeping the foot close to the ground.

FantomFit is a skeletally engineered upper that provides ultra-light support and fit. It is created by fusing two extremely thin materials with a no-sew process.

The shoe also features an 8mm drop, blown rubber outsole and synthetic/mesh upper.MaterialRubber Synthetic Material 						",8500,9945,NEW BALANCE 1080v3 Ladies Running Shoes,UK3.5;UK5.5;UK7.5;UK8;UK8.5;UK9;UK10;Width B;Width D,NEW BALANCE,http://products.activinstinct.com/y2012/m12/330289/39287752-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
399496-1201491B834,"
							The Ravenna 5 is perfectly tuned to your needs, with just enough support and anatomical Brooks DNA to adapt to each step you take, for customized cushioning and energy return.

This updated version of the Ravenna 4 has a little more cushion, a bit more flex and a sleeker design. The midfoot has been honed and the engineered saddle envelopes the foot with an adjustable band.

The 3D adjustable arch saddle conforms to your foot for an ideal instep wrap and a caterpillar crash pad smoothes out the landing zone, moving your foot efficiently through heel strike. Lace up and optimise your every stride.

The midsole features anatomical Brooks DNA, Full-Length BiMoGo, Diagonal Rollbar (DRB), DRB Accel, Full-length S-257 Cushsole and a Universal Contoured Platform.

More precisely, its midsole construction features rearfoot and forefoot HydroFlow, which uses viscous fluid units to attenuate shock and dampen impact. The full length BioMoGo cushioning is non-toxic and more environmentally friendly and the S-257 Cushsole is a durable and energy-efficient midsole compound that utilises an insole board for even more cushioning and flexibility.

The tri-density PDRB midsole (Progressive Diagonal Rollbar) is biomechanically engineered to allow for progressive pronation control and create smoother transitions from the midstance phase to the propulsion phase.

The outsole features HPR plus, forefoot stable pod construction and a blown rubber forefoot.

The Upper features a profile sockliner, air mesh technology, synthetic overlay materials, and moisture-management element linings.MaterialRubber Synthetic Material 						",10949,12810.33,BROOKS Ravenna 5 Ladies Running Shoes,UK3.5;UK6;UK7;UK7.5;UK8.5,BROOKS,http://products.activinstinct.com/y2013/m12/399496/70980998-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
330669-W890DP3,"
							Built to meet the demands of world-class runners, the 890v3 brings peak performance to every run. It features a REVlite midsole and an ABZORB crash pad, plus a comfortable, seamless upper. This stays lightweight and fast, mile after mile.

ABZORB is a superior blend of cushioning and compression, made with isoprene rubber, to provide the ultimate ride.

REVlite is an innovative foam compound that provides the same responsiveness and durability of foams that are 30% heavier. REVlite offers a lightweight ride, without minimising construction or sacrificing underfoot cushioning or stability.

The shoe features an 8mm drop, no-sew overlays, thin TPU welds and a blown rubber outsole.MaterialRubber Synthetic Material 						",8699,10177.83,NEW BALANCE 890v3 Ladies Running Shoes,UK3.5;UK6.5;UK8,NEW BALANCE,http://products.activinstinct.com/y2012/m12/330669/19841209-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
362356-WT10BB2,"
							With a natural foot position, a lightweight, flexible upper and a rugged, Vibram outsole, the Trail 10 is designed to endure the demands of the outdoors, while providing a near-barefoot experience.

The shoe has a barefoot-friendly construction, with only a 4mm drop and flexible overlays in optimal areas. While the Vibram outsole provides the protection and durability, the lightweight mesh and EVA support ensures a brilliant fit, with high levels of comfort.

Features:

4mm drop
Vibram outsole
Barefoot friendly internal construction
Flexible overlays in optimal areas
Lightweight mesh upper with EVA supportMaterialRubber Synthetic Material 						",8299,9709.83,NEW BALANCE MT10v2 Minimus Ladies Trail Shoe,UK4;UK4.5;UK5,NEW BALANCE,http://products.activinstinct.com/y2013/m06/362356/99252145-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
358977-10197-4,"
							The Kinvara 4 is a perfect synthesis of celebrated design elements form previous versions. The redesigned upper continues to utilise FlexFilm for a lightweight, seamless feel. Those who love the Kinvara will appreciate the upgrade from ProGrid to PowerGrid in the heel landing zone for even smoother transitions and an improved overall ride.

A minimalist approach to shoe design has brought about this excellent running shoe; lightweight and responsive, it aids the foot in moving through the gait cycle as smoothly as possible while offering an incredible fit.

After studying patterns on thousands of test shoes, the Kinvara 4 now features XT-900 rubber strategically added to parts of the outsole for better durability; the outsole has also been bevelled to achieve even smoother transition. There is Flexfilm technology in the upper to secure the foot on the platform throughout the gait cycle and a 4mm heel-to-toe offset encourages a more balanced running form.

One reason for this impressive fit is the strategically placed memory foam in the heel which provides a heel pocket, thus contributing to the comfort. In addition to this, the shoe's Hydrator lining provides next-to-skin comfort while wicking away moisture.

The midsole consists of high abrasion EVA; lightweight with excellent cushioning and durability.

With free Run Lounge &amp; High5 taster pack which includes:
•Six-months VIP membership to RunLounge worth £60
•High5 nutrition pack worth £8 containing 1x Energy Bar Bite Size, 3x Energy Gel, 6x ZERO sachets, 1x Protein RecoveryMaterialRubber Synthetic Material 						",7499,8773.83,SAUCONY Kinvara 4 Ladies Running Shoes,UK4;UK4.5;UK5;UK5.5,SAUCONY,http://products.activinstinct.com/y2013/m05/358977/31455534-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
376235-5050973215,"
							The Inov-8 f-lite 230 Mountain Racing Flat is designed to go max speed with a superlight, elite racing design. Designed specifically for rocky trails and dried out paths, the F-Lite 230 features a low profile foot position for maximum stability and sticky rubber sole for enhanced grip.

Whether you're running 1k or to the horizon, this is the shoe for personal bests. The F-Lite 230, with its light and natural feel is quickly building a reputation as a race winning shoe.

Features:


2 Arrow Shoc Zone
6mm Differential / 3mm Footbed
Performance Fit
F-Lite Flat Outsole
Sticky Rubber
230gMaterialRubber Synthetic Material 						",10499,12283.83,INOV8 F-Lite 230 Unisex Trail Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7,INOV8,http://products.activinstinct.com/y2013/m08/376235/24265252-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
399852-1201531B545,"
							The Cascadia 9 is designed from the gritty, wet, and uneven ground up. Engineered to adapt to the surface and your foot, this versatile piece of equipment runs an ultra-marathon and then asks for more. Brooks have swapped out the midsole for BioMoGo DNA to create a super cohesive transition and improved the Segmented Crash Pad on the lateral side to smooth that heel-to-toe even more. The suede geometric pattern on the upper is a homage to Cascadia designs but also serves the function of wrapping the foot for a close fit.

The long-lasting cushioning of the MoGo has been made more environmentally friendly, with this; BioMoGo. A non-toxic, natural additive in the compound encourages anaerobic microbes to munch away 50 times faster for brilliant overall comfort.

Brooks DNA is a ground-breaking cushioning material that provides a customised ride for runners of all sizes and speeds. Working with BioMoGo, Brooks DNA responds to your every step, dispersing impact and providing ideal comfort and protection as the pace changes.MaterialRubber Synthetic Material 						",10949,12810.33,BROOKS Cascadia 9 Ladies Trail Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK10,BROOKS,http://products.activinstinct.com/y2013/m12/399852/59525826-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
431596-S394N-2590,"
							Comfortable and supportive training shoes, great for fitness sessions and the gym.

The forefoot GEL cushioning system attenuates shock during impact and toe-off phases and allows for movement in multiple planes as the foot transitions through the gait cycle.

A great value training shoe that is lightweight and flexible.MaterialRubber Synthetic Material 						",5549,6492.33,ASICS AYAMi-Shine Ladies Training Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,ASICS,http://products.activinstinct.com/y2014/m05/431596/13541147-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
431092-T4D6N-9099,"
							Delivering comfort and cushioning on your recreational runs.

The synthetic leather and mesh upper is lightweight, comfortable and breathable, enhancing performance and fit. There is now an open air mesh upper and California Slip Lasting.

The removable EVA sockliner can be removed to accommodate a medical orthotic. AHAR high abrasion rubber is placed in critical areas of the outsole for exceptional durability.MaterialRubber Synthetic Material 						",5549,6492.33,ASICS Patriot 7 Ladies Running Shoe,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,ASICS,http://products.activinstinct.com/y2014/m05/431092/64604637-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
431065-T4C9N-0100,"
							A Asics Cushioning range shoe that has now been updated.

This features a synthetic leather and mesh upper to make it lightweight, comfortable and breathable, enhancing performance and fit. There is now an open air mesh upper and California Slip Lasting.

Rearfoot GEL provides cushioning in all directions absorbs impact forces and helps to stabilise the foot during heel contact.

Featuring Rubberised trusstic in the mid foot area provides stability whilst working in combination with the contoured midsole to help control torsion.MaterialRubber Synthetic Material 						",6449,7545.33,ASICS Gel-Pursuit 2 Ladies Running Shoe,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,ASICS,http://products.activinstinct.com/y2014/m05/431065/31889757-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
431053-T472N-2293,"
							The Asics Gel-Oberon 8 builds on its predecessors whilst still being ideal for runners who do not run particularly high mileage with a focus particularly on providing superb heel cushioning through Asics cutting edge technologies.

The compression moulded EVA midsole provides enhanced cushioning and stability and it is California lasted with a compression moulded EVA sockliner for comfort and cushioning.

ASICS GEL is a silicone-based cushioning system designed to meet the needs of both professional and recreational athletes. Rearfoot GEL provides cushioning in all directions absorbs impact forces and helps to stabilise the foot during heel contact.

Featuring Rubberised trusstic in the mid foot area provides stability whilst working in combination with the contoured midsole to help control torsion.

AHAR+ on the outsole is placed in the heel to reduce wear and increase durability for those who do high mileage. Also the solid rubber outsole provides great longevity and durability.MaterialRubber Synthetic Material 						",7349,8598.33,ASICS Gel-Oberon 8 Ladies Running Shoe,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,ASICS,http://products.activinstinct.com/y2014/m05/431053/11606010-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
412424-J06306,"
							For distance runners or those new on the path to barefoot running, this Bare Access 3 zero drop running shoes give you a barefoot feel by letting your feet land flat, while offering more toe to heel cushioning The easy-wash breathable mesh upper hugs your feet and keeps them cool and fresh. Reflective details keep you seen on the streets.

Long-lasting M-Select FRESH naturally eliminates sweat and its odour-causing bacteria with reactive, friendly microbes that break down perspiration on contact with natural enzymes.

This shoe features a Vibram outsole, with a lug pattern that provides stability in all conditions, with no lugs placed under the arch, so your foot flexes more naturally for greater comfort. The rubber compound ensures traction on both wet and dry surfaces in even the most extreme temperatures.

Features:

Mesh and TPU upper
Protective toecap
Reflective details for increased visibility in low light
Wash as needed in cold water (gentle cycle) air dry
0mm Drop / 8mm cushion / 13.5mm stack heightMaterialRubber Synthetic Material 						",7400,8658,MERRELL Bare Access Arc 3 Ladies Trail Running Shoe,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,MERRELL,http://products.activinstinct.com/y2014/m02/412424/72531505-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
311374-12839,"
							The Ultra Kane 3.0 is a running shoe designed for the runners who require additional stability and maximum cushioning; those who have a heavier stride. Extremely light and incredibly comfortable, this covers all the boundaries.

It utilises Z-bound technology in the midsole. This consists of a lightweight and resilient compound, responsible for the responsive ride. Z-bound has a very high-energy return and so the result is less weight and great response

The CarbonSpan Plus shank is lighter, stronger, and tuned to your running. It provides a smooth powerful toe off in the way that plastic would fail to do so.

To add to all this, the Zoot Ultra Fit Upper is a compression-like upper used on all Zoot footwear, and this is no different. It gives the shoes an extremely comfortable fit that hugs your foot, meaning less clutter, a better fit, and more comfortable feet.MaterialMesh Rubber Synthetic 						",7499,8773.83,ZOOT Ultra Kane 3.0 Ladies Running Shoe,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,ZOOT,http://products.activinstinct.com/y2012/m09/311374/84542712-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
400421-WT10GP2,"
							A minimal trail running shoe that delivers the benefits of barefoot running with the protection of a lightweight trainer.

The shoe is made with a synthetic and mesh upper for a combination of comfort and breathability, keeping your foot cool and comfortable throughout. The Acteva midsole is 12% lighter than standard midsole foam and features DuPont Engage for exceptional durability.

A Vibram outsole produces with three objectives, guaranteeing the best performance, the maximum level of comfort and long lasting quality. The shoes have been given a antimicrobial treatment to reduce odour and keep your feet in better condition while you run.MaterialRubber Synthetic Material 						",7600,8892,NEW BALANCE WT10 Ladies Trail Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,NEW BALANCE,http://products.activinstinct.com/y2013/m12/400421/60020730-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
430784-T4D5N-0100,"
							A shoe designed to deliver structured cushioning to recreational runners.

This updated version now features an open air mesh upper.

The Guidance Trusstic integrates Guidance Line construction for enhanced gait efficiency while providing midfoot structural integrity.

With rearfoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle.

DuoMax is an ASICS proprietary system consisting of two or more different density midsole materials, designed to help correct the degree and velocity of pronation.MaterialRubber Synthetic Material 						",7799,9124.83,ASICS Gel-Trounce 2 Ladies Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,ASICS,http://products.activinstinct.com/y2014/m05/430784/87445424-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
393473-10217-2,"
							The Jazz is back with bright colours and a clean look combined with the performance to bring you even more speed on the roads. New mesh promotes breathability while a lateral TPU weld secures the foot onto the platform giving it a premium fit. The Jazz 17 continues to prove itself as a great shoe for the neutral runner who wants a balanced, light and cushioned ride.

Upper:

TPU Lateral weld for stability
HydraMAX Collar Lining: Collar lining material combines superior moisture wicking properties with a plush feel for comfort
ComfortLite Sockliner: Moulded sockliner contoured to cradle the heel, support the arch and reduce peak pressures in the forefoot. Built from premium EVA for an exceptional responsive feel
HRC+ Strobel Board: Saucony's strobel board is covered with an additional 3mm of foam to deliver an incredibly plush ride

Midsole:

Heel ProGrid: 20% more responsive than EVA, ProGrid provides incredible cushioning in a lightweight package
Impulse EVA
SRC Impact Zone: Super Rebound Compound provides durable shock absorption in the heel crashpad to help reduce torque and allow for a smooth transition into the midfoot

Outsole:

XT-900: Premium carbon rubber outsole material that offers exceptional traction and high-wear properties
Blown RubberMaterialRubber Synthetic Material 						",7999,9358.83,SAUCONY Jazz 17 Ladies Running Shoe,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,SAUCONY,http://products.activinstinct.com/y2013/m11/393473/31981356-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
400401-WR00WW2,"
							Aptly named, there is nothing more minimal than the Zerov2. This Minimus classic features the ultra-light support and flexibility of a one-piece FantomFit upper, the responsive cushioning of a REVlite midsole, the superior traction of a Vibram outsole and an antimicrobial treatment to reduce odour.

Features:

Synthetic/mesh upper
REVlite midsole foam
Antimicrobial treatment to reduce odour
Vibram outsoleMaterialRubber Synthetic Material 						",8000,9360,NEW BALANCE WR00v2 Ladies Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,NEW BALANCE,http://products.activinstinct.com/y2013/m12/400401/51774831-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
397453-J1GD146017,"
							Unique forefoot Wave technology for those who want to run with a mid/forefoot strike. It is flat, light and flexible, with a cushioned and responsive forefoot with EVO wave. There is also a minimal upper, with additional midfoot support.

U4ic is a new type of midsole. It runs and rides the same comfort and performance as ap+ and other premium midsoles, but is considerably lighter, leaving you to run easier.

Mizuno Wave technology provides cushioning and stability that can be adapted for different types of runners. A removable ortholite insock provides even more premium comfort, cushioning and durability.

AIRmesh allows the shoe to maintain a high standard of breathability providing a cool.MaterialRubber Synthetic Material 						",8275,9681.75,MIZUNO Wave EVO Cursoris 2 Ladies Trail Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,MIZUNO,http://products.activinstinct.com/y2013/m12/397453/63696814-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
430774-T470N-0191,"
							A shoe designed to deliver structured cushioning to recreational runners.

The Guidance Trusstic integrates Guidance Line construction for enhanced gait efficiency while providing midfoot structural integrity.

With rearfoot and forefoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle.

DuoMax is an ASICS proprietary system consisting of two or more different density midsole materials, designed to help correct the degree and velocity of pronation. The SpEVA midsole material improves bounce-back characteristics and decreases midsole breakdown.

AHAR high abrasion rubber, placed in critical areas of the outsole, offers brilliant durability.MaterialRubber Synthetic Material 						",9149,10704.33,ASICS Gel-Phoenix 6 Ladies Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,ASICS,http://products.activinstinct.com/y2014/m05/430774/62615118-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
431043-T4A8N-0121,"
							The Gel-Pulse 6, relatively new to Asics Running range, is designed with comfort as the main priority. There is an emphasis on cushioning so that your feet are kept in the best condition possible.

The ComforDry Sockliner provides cushioning performance and anti-microbial properties for a cooler, drier and healthier environment.

With rearfoot and forefoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle.

The use of a SpEVA Midsole material improves bounce back characteristics and decreases midsole breakdown giving you a comfortable ride.

The Trusstic system is employed to reduce the weight of the sole unit while retaining the structural integrity of the shoe so you get excellent support combined with lightweight durability. This works in hand with the shoe's Guidance Line; a vertical flex groove that decouples the tooling along the line of progression for enhanced gait efficiency.

Durable AHAR Plus sole ensure that your foot stays protected, without adding any unnecessary weight to the shoe.MaterialRubber Synthetic Material 						",9149,10704.33,ASICS Gel-Pulse 6 Ladies Running Shoe,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,ASICS,http://products.activinstinct.com/y2014/m05/431043/57644967-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
423289-491290,"
							A super lightweight shoe with a minimalistic design for the serious trail runner in search of challenges off the beaten path.

AHAR+, Asics High Abrasion Resistance Rubber for enhanced cushioning and durability. Solyte midsole material with improved cushioning, lower weight and decreased breakdowns and Trusstic chassis for stability and torsion control.

Rock Protection plate, protects the foot against rocks and branches, GEL rearfoot cushioning for good shock absorption and Strobel construction for a lightweight and comfortable feel. Non absorbing fabrics to maintain a low weight in wet conditions.

Reflective 3M on heel, TPU reinforced toe and heel for increased protection and comfort and minimal stitching to reduce the possibility of irritation during longer runs and Anti Gravel tongue to prevent stones from entering the shoe.

Materials:

Upper: Water repellent structured Polyester
Lining: Non water absorbing Polyester mesh
Footbed: Asics EVA sockliner
Outsole: Asics Fell RacerMaterialRubber 						",10049,11757.33,HAGLOFS Gram Comp Ladies Trail Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,HAGLOFS,http://products.activinstinct.com/y2014/m04/423289/24188208-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
423267-491290,"
							A super lightweight shoe with a minimalistic design for the serious trail runner in search of challenges off the beaten path.

AHAR+, Asics High Abrasion Resistance Rubber for enhanced cushioning and durability. Solyte midsole material with improved cushioning, lower weight and decreased breakdowns and Trusstic chassis for stability and torsion control.

Rock Protection plate, protects the foot against rocks and branches, GEL rearfoot cushioning for good shock absorption and Strobel construction for a lightweight and comfortable feel. Non absorbing fabrics to maintain a low weight in wet conditions.

Reflective 3M on heel, TPU reinforced toe and heel for increased protection and comfort and minimal stitching to reduce the possibility of irritation during longer runs and Anti Gravel tongue to prevent stones from entering the shoe.

Materials:

Upper: Water repellent structured Polyester
Lining: Non water absorbing Polyester mesh
Footbed: Asics EVA sockliner
Outsole: Asics Fell RacerMaterialRubber 						",10049,11757.33,HAGLOFS Gram Comp Ladies Trail Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,HAGLOFS,http://products.activinstinct.com/y2014/m04/423267/35503873-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
361729-T359N-7135,"
							A running shoe that offers the maximum in support.

It features a Biomorphic Fit Upper, made with strategically placed stretch material to reduce buckling and the chance of potential irritation.

The Impact Guidance System (IGS) is an ASICS design philosophy. It aims to make shoe components from rear to midfoot and forefoot to work together effectively to allow the body to perform in a natural manner. ASICS designers strive to compliment, not correct, how the legs and feet move.

The Trusstic system is employed to reduce the weight of the sole unit while retaining the structural integrity of the shoe so you get excellent support combined with lightweight durability.

With rearfoot and forefoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle.

DuoMax is an ASICS proprietary system consisting of two or more different density midsole materials, designed to help correct the degree and velocity of pronation.

The ComforDry Sockliner provides cushioning performance and anti-microbial properties for a cooler, drier and healthier environment.

Solyte is a proprietary cushioning material that provides an exceptionally lightweight midsole with excellent bounce-back and durability.MaterialRubber Synthetic Material 						",10099,11815.83,ASICS Ladies Gel-Forte Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,ASICS,http://products.activinstinct.com/y2013/m05/361729/61168551-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
431325-T465N-2556,"
							A durable and comfortable trial running shoe, this features a gusseted tongue and lace pocket to ensure the fit is as comfortable as possible.

Rearfoot GEL provides cushioning in all directions absorbs impact forces and helps to stabilise the foot during heel contact.

The Solyte midsole is a proprietary cushioning material that provides an exceptionally lightweight midsole with excellent bounce-back and durability. The Trusstic System reduces the weight of the sole unit while retaining the structural integrity of the sole.

There is a Rock Protection Plate to provide protection against stone bruises and the Trail Specific Outsole uses reversed lugs to provide uphill and downhill traction, specifically on mud and grass lands.

The Magic Sole is a vented midsole and outsole that minimises weight and allows for water release.MaterialRubber Synthetic Material 						",10499,12283.83,ASICS Gel-Fuji Racer 3 Ladies Trail Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,ASICS,http://products.activinstinct.com/y2014/m05/431325/56155673-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
379237-W004213,"
							The Newton Energy NR Running Shoe is designed to meet the needs of runners who want to experience the unique technology platform and ride found only in Newton Running shoes. The Energy NR facilitates a seamless transition from more conventional running shoe brands into the Newton line. Runners who are new to the brand as well as loyal Newtonites will truly enjoy the lightweight and responsive ride that the Energy NR offers.

With Action/Reaction technology, you will immediately experience a highly responsive and engaging cushioning that protects and loses less energy with every step you take. You'll revel in the extra spring in your step! With a level to the ground profile and a unique biomechanical sensor plate, the foot can sense the ground quicker, allowing for a higher cadence making for a faster and more efficient running style.

Upper:
Comfortable/breathable air mesh with minimal support strapping overlays
3D reflective back tab

Midsole:
Action/Reaction technology in the midfoot
High-rebound EVA
Biomechanical metatarsal sensor plate
Accommodates most orthotics

OUTERSOLE
High-traction 5-lug forefoot pattern
High-density rubber in heel and toe area
Highly cushioned blown rubber midfoot podMaterialRubber Synthetic Material 						",10499,12283.83,NEWTON Energy NR Ladies Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,NEWTON,http://products.activinstinct.com/y2013/m08/379237/79644988-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
431297-T4E8N-9097,"
							The Gel-Fuji Trabuco Trail Running Shoes allow you to take control of the surface beneath. Slippery, unstable or rugged ground underfoot is of little significance as these shoes allow you to continue to perform at an exceptionally high standard throughout.

The Trusstic system in the midsole allows you to take on any trail whilst the oiled Nubuck leather construction ensures both comfort and durability.

The Solyte midsole is a proprietary cushioning material that provides an exceptionally lightweight midsole with excellent bounce-back and durability. DuoMax is an ASICS proprietary system consisting of two or more different density midsole materials, designed to help correct the degree and velocity of pronation.

The Rock Protection Plate provides protection against stone bruises, while the Trail Specific Outsole uses reversed lugs to provide uphill and downhill traction on all types off terrain.

The Clutch Counter is an exoskelatal heel counter that provides improved support and creates an improved heel fitting environment.

Rearfoot GEL provides cushioning in all directions absorbs impact forces and helps to stabilise the foot during heel contact. Forefoot GEL reduces the loading forces as the foot moves into propulsion, improving performance and minimising the risk of injury.

The Trail Specific Outsole, consisting of reversed lugs provides uphill and downhill traction on all types of terrain.

The GORE-TEX upper provides waterproof and breathable protection during extreme weather conditions.MaterialRubber Synthetic Material 						",11399,13336.83,ASICS Gel-Fuji Trabuco 3 G-TX Ladies Trail Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,ASICS,http://products.activinstinct.com/y2014/m05/431297/32635872-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
423311-491650,"
							In designing Gram Gravel, Haglofs have teamed up with ASICS to produce an ideal door-to-trail shoe. It features an anti-gravel tongue and extra cushioning, delivering the comfort and additional support for a range of activities.

AHAR+, Asics High Abrasion Resistance Rubber for enhanced cushioning and durability. Solyte midsole material with improved cushioning, lower weight and decreased breakdowns and Trusstic chassis for stability and torsion control.

Rock Protection plate, protects the foot against rocks and branches, GEL rearfoot cushioning for good shock absorption and Strobel construction for a lightweight and comfortable feel. Non absorbing fabrics to maintain a low weight in wet conditions.

Reflective 3M on heel, TPU reinforced toe and heel for increased protection and comfort and minimal stitching to reduce the possibility of irritation during longer runs and Anti Gravel tongue to prevent stones from entering the shoe.

Materials:

Upper: Water repellent Polyester mesh
Lining: Non water absorbing Polyester mesh
Footbed: Asics EVA sockliner
Outsole: Asics TrabucoMaterialRubber 						",11399,13336.83,HAGLOFS Gram Gravel Ladies Trail Running Shoes,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,HAGLOFS,http://products.activinstinct.com/y2014/m04/423311/61693811-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
