SKU,Description,CP,SP,productname,Brand,Size,imgurl,Stock
427511-PRG140,"
							New this year, this range of gloves have classic, understated style and have been designed with professional performance in mind. They feature impact cushioning, support and better grip.

The very popular Rollfinger cut has a snugger fit than the conventional flat palm glove. It also has the best ball contact as the cut ensures the latex is always in contact with the ball when catching and throwing, thus providing a better feel when catching.

Features:

3mm super low German latex plus 3mm foam rollfinger palm
EVA backhand
Elasticated wristband and conventional strapMaterialLatex 						",3999,4678.83,PRECISION GK Brasileirao Rollfinger Basic Goalkeeping Gloves,PRECISION,UK8;UK9;UK10;UK11,"http://products.activinstinct.com/y2014/m05/427511/78409010-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
433460-M19856,"
							Part of the Battle Pack series of limited edition boots, designed by adidas for the Brazil 2014.

Making it to the World Cup takes speed, smarts and sweat. Light, fast and responsive, with a DRIBBLETEX textured upper that grips and controls the ball from every angle. The high-speed outsole is designed specifically for quick turns and blazing speed on firm natural pitches.

Features:

HYBRIDTOUCH synthetic leather material for premium softness, light weight and performance
Lightweight, durable SPEEDFOIL upper for flexibility and superb heel fit
DRIBBLETEX raised 3D grip texture for high-speed dribbling under wet and dry conditions
SPEEDTRAXION high-speed stud alignment for maximum acceleration and quick turns
TRAXION FG outsole for grip and comfort on firm natural surfacesMaterialSynthetic 						",14299,16729.83,ADIDAS World Cup F50 adizero FG Men's Football Boots,ADIDAS,UK8;UK9;UK11;UK12,"http://products.activinstinct.com/y2014/m06/433460/75904320-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
392155-F32783,"
							A soft ground football boot from the new Adidas collection in the Nitrocharge range, with pre-moulded protection pads and protection mesh, ENERGYSLING and hybridtouch to the front for a great touch. Synthetic leather upper and comfortable textile lining for prefect fit and feel.

Features:

Leather and synthetic hybrid upper for super-soft feel; Highly elastic ENERGYSLING element in upper for stability and energy return
Highly elastic ENERGYPULSE outsole element for increased energy output
Embedded pads in toe for added protection
SPRINTFRAME construction for the perfect balance between light weight and stability; Pre-moulded EVA sockliner with nubuck finish for high comfort
Durable mesh layer in rearfoot area for added protection; Synthetic leather heel lining for super-soft comfort; miCoach-compatible
Hybrid TRAXION 2.0 SG stud configuration has a mix of exchangeable screw-in studs and moulded TPU studs for maximum acceleration and grip on soft groundsMaterialSynthetic Leather 						",15899,18601.83,ADIDAS Nitrocharge 1.0 XTRX Men's Football Boots,ADIDAS,UK9;UK10,"http://products.activinstinct.com/y2013/m11/392155/75873340-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
413922-F32826,"
							Speed rules the pitch, and these men's football boots are made to be the fastest in the game. They have a lightweight HYBRIDTOUCH upper and feature DRIBBLETEX for control in tight situations, SPRINTFRAME support and exchangeable soft-ground studs.


HYBRIDTOUCH synthetic leather material for premium softness, light weight and performance
Synthetic upper with exclusive premium-design Messi graphics
DRIBBLETEX raised 3D grip texture for high-speed dribbling under wet and dry conditions
The SPRINTFRAME construction uses geometrical research and a new stud configuration to offer the perfect balance between light weight and stability
miCoach compatible
Hybrid TRAXION 2.0 SG stud configuration has a mix of exchangeable screw-in studs and moulded TPU studs for maximum acceleration and grip on soft groundsMaterialSynthetic Material 						",14499,16963.83,ADIDAS adizero F50 X-TRX SG Messi Men's Football Boots,ADIDAS,UK9;UK10;UK11,"http://products.activinstinct.com/y2014/m02/413922/59476942-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
399792-F33089,"
							Excellent football boots built with a lightweight HYBRIDTOUCH upper and raised 3D grip texture for fast dribbling. With SPRINTFRAME stability and the Hybrid TRAXION 2.0 SG stud configuration these are for speed on soft ground.

Features:

Semi-transparent SPEEDFOIL upper material for light weight, soft feel, high durability and great heel fit
HYBRIDTOUCH synthetic leather material for premium softness, light weight and performance
DRIBBLETEX raised 3D grip texture for high-speed dribbling under wet and dry conditions
The SPRINTFRAME construction uses geometrical research and TRAXION 2.0 stud configuration to offer the perfect balance between light weight and stability
miCoach compatible
Hybrid TRAXION 2.0 SG stud configuration has a mix of exchangeable screw-in studs and moulded TPU studs for maximum acceleration and grip on soft groundsMaterialRubber Synthetic 						",11299,13219.83,ADIDAS F50 adizero XTRX SG Adult Football Boots,ADIDAS,UK9;UK11;UK12,"http://products.activinstinct.com/y2013/m12/399792/89586253-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
427672-PRG132 / PRG134,"
							New this year, this range of gloves have classic, understated style and have been designed with professional performance in mind. They feature impact cushioning, support and better grip.

The very popular Rollfinger cut has a snugger fit than the conventional flat palm glove. It also has the best ball contact as the cut ensures the latex is always in contact with the ball when catching and throwing, thus providing a better feel when catching.

Features:

4mm contact latex plus 3mm rollfinger palm
EVA backhand
Elasticated wrist band and conventional strapNew this year, this range of gloves have classic, understated style and have been designed with professional performance in mind. They feature impact cushioning, support and better grip.

The very popular Rollfinger cut has a snugger fit than the conventional flat palm glove. It also has the best ball contact as the cut ensures the latex is always in contact with the ball when catching and throwing, thus providing a better feel when catching.

Features:

4mm contact latex plus 3mm rollfinger palm
EVA backhand
Elasticated wrist band and conventional strapMaterialLatex 						",5499,6433.83,PRECISION GK Brasileirao Contact Rollfinger Goalkeeping Junior Gloves,PRECISION,White/Pink/Black;White/Silver/Black;5;6;7,"http://products.activinstinct.com/y2014/m05/427672/95454073-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
427465-PRG131,"
							New this year, this range of gloves have classic, understated style and have been designed with professional performance in mind. They feature impact cushioning, support and better grip.

The very popular Rollfinger cut has a snugger fit than the conventional flat palm glove. It also has the best ball contact as the cut ensures the latex is always in contact with the ball when catching and throwing, thus providing a better feel when catching.

Features:

4mm contact latex plus 3mm rollfinger palm
EVA backhand
Elasticated wrist band and conventional strapMaterialLatex 						",5999,7018.83,PRECISION GK Brasileirao Contact Rollfinger Goalkeeping Gloves,PRECISION,White/Silver/Black;White/Pink/Black;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2014/m05/427465/52224993-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
433281-340.GEL4MBL.100,"
							CNP Hydro Gel Max is a caffeinated version of our groundbreaking gel developed with Team Sky and British Cycling to provide easy to use energy for athletes who struggle to consume traditional gels. Containing natural energy sources from pineapple juice and delivering natural electrolytes from coconut water, this great tasting product is already a favourite in the peloton. CNP Hydro Gel will help boost your carbohydrate and energy levels to help you achieve your goals either on race day or during training.

Features:

Caffeinated (Guarana) concentrated fruit juice gel with coconut water
Extra hydration
Naturally high in electrolytes
Time released energy
Gentle on the stomach
Suitable for Vegetarians and Vegans
Additional vitamin and electrolyte mineral mix
No allergens
65g serving
22g of carbs
Available in Blackcurrent
Box Of 24

Official supplier to Team SKY, British Cycling Teams, NFTO, Tracy Moseley &amp; Helen Wyman						",6249,7311.33,CNP Hydro Gel Max Sachets (Box of 24),CNP,,"http://products.activinstinct.com/y2014/m06/433281/34792621-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
329137-10509,"
							A brilliant piece of training equipment to improve your reaction and hand-eye coordination.

Used by the Ashes winning England Cricket team, as well as India, South Africa, Australia and Bangladesh, this is the only rebound net on the market with both a 'sane' and 'insane' side to improve your coordination, peripheral vision and reaction speeds.

The Crazy Catch is also used by other international sports including GB Hockey, GB Badminton and Scottish Rugby. Now you can enjoy the same benefits at your training sessions, or even in your own back garden, on the beach or in the park. It can be fun for the whole family, learning the basics of catching and throwing, while improving coordination and enjoying it along the way.

Whereas the standard version of this net features a ?sane? side and an ?insane? side, the Double Trouble has two ?insane? sides. Both insane sides give unconventional rebounds and bounces to improve reactions. One with a small mesh for the likes of cricket, tennis and rounders. The other side features a larger mesh, better suited to football, rugby and basketball.


Excellent for practicing in groups or on your own
Suitable for all ball sports from cricket, hockey, tennis, rugby and football
Ideal for developing throwing and catching skills
Can be used across the board by all ages
New and affordable to everyone
Strong and robust
Small size 750mm x 750mm
Weight: 5kg

With free Vision Ball to improve catching and reflexes.						",10499,12283.83,CRAZY CATCH Upstart Double Trouble Rebound Net (75cm x 75cm),CRAZY,,"http://products.activinstinct.com/y2012/m12/329137/83583801-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
251349-10518,"
							A brilliant piece of training equipment to improve your reaction and hand-eye coordination.

Used by the Ashes winning England Cricket team, as well as India, South Africa, Australia and Bangladesh, this is the only rebound net on the market with both two 'insane' sides to improve your coordination, peripheral vision and reaction speeds.
The Crazy Catch is also used by other international sports including GB Hockey, GB Badminton and Scottish Rugby. Now you can enjoy the same benefits at your training sessions, or even in your own back garden, on the beach or in the park. It can be fun for the whole family, learning the basics of catching and throwing, while improving coordination and enjoying it along the way.

Whereas the standard version of this net features a ""sane"" side and an ""insane"" side, the Double Trouble has two ""insane"" sides. Both insane sides give unconventional rebounds and bounces to improve reactions. One with a small mesh for the likes of cricket, tennis and rounders. The other side features a larger mesh, better suited to football, rugby and basketball.


Excellent for practicing in groups or on your own
Suitable for all ball sports from cricket, hockey, tennis, rugby and football
Ideal for developing throwing and catching skills
Can be used across the board by all ages
New and affordable to everyone
Strong and robust
Medium size 930mm x 930mm
Weight: 8kg

With free Vision Ball to improve catching and reflexes						",12199,14272.83,CRAZY CATCH Wildchild Double Trouble Rebound Net (93cm x 93cm),CRAZY,,"http://products.activinstinct.com/y2011/m10/251349/19001024-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
251347-10528,"
							A brilliant piece of training equipment to improve your reaction and hand-eye coordination.

Used by the Ashes winning England Cricket team, as well as India, South Africa, Australia and Bangladesh, this is the only rebound net on the market with two 'insane' sides to improve your coordination, peripheral vision and reaction speeds.
The Crazy Catch is also used by other international sports including GB Hockey, GB Badminton and Scottish Rugby. Now you can enjoy the same benefits at your training sessions, or even in your own back garden, on the beach or in the park. It can be fun for the whole family, learning the basics of catching and throwing, while improving coordination and enjoying it along the way.

Whereas the standard version of this net features a 'sane' side and an 'insane' side, the Double Trouble has two 'insane' sides. Both insane sides give unconventional rebounds and bounces to improve reactions. One with a small mesh for the likes of cricket, tennis and rounders. The other side features a larger mesh, better suited to football, rugby and basketball.

This particular model, although adaptable, is more suited to schools, sports clubs and teams, as well as professional athletes.


Excellent for practicing in groups or on your own
Suitable for all ball sports from cricket, hockey, tennis, rugby and football
Ideal for developing throwing and catching skills
Can be used across the board by all ages
New and affordable to everyone
Strong and robust
Large size 148mm x 910mm
Weight: 11kg

With free Vision Ball to improve catching and reflexes.						",18499,21643.83,CRAZY CATCH Professional Double Trouble Rebound Net (148cm x 91cm),CRAZY,,"http://products.activinstinct.com/y2011/m10/251347/81964774-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
405186--,"
							Designed for footballers to fine tune their touch and improve their skills. With the Football flick, you can up your game and skills, perfect your aiming, develop your passing and master any skill. Upload your own videos and join the Football Flick Community.

Use the ramp, board or net for drills, exercises and games where you can improve your touch, practice your aim or compete against friends in challenges of precision and skill.

Features:

Set up in under 60 seconds
Ingenious X-Frame design
Detachable target net
Lightweight carry bag
Collapsible for portability and easy storageMaterialMetal 						",11499,13453.83,FOOTBALL FLICK Urban,FOOTBALL,,"http://products.activinstinct.com/y2014/m01/405186/34510361-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
283177-FG180 / FG181,"
							Designed for training and race conditions, these Ultimate Race Fuel sachets can easily be taken with for that extra pep while you compete. Refreshingly light in flavour, these are designed to taste as your body wants during training and racing.

Scientifically formulated, Nectar delivers a DUAL CARB source: two parts glucose, one part Fructose, providing up to 55% more energy to muscles than standard energy formulations made from Glucose only.

The limiting factor in how fast the body can transport energy into the bloodstream and therefore how quickly it reaches the muscles is how quickly it can be absorbed. Glucose and Fructose, both energy molecules, use different transporters and therefore can be absorbed at the same time increasing the amount of energy entering the bloodstream by up to 55%.

Dehydration over 2% can lead to impaired performance, and if it reaches more than 5% performance can be reduced by up to 30%. The body removes heat by sweating to regulate the body's core temperature, but the more you sweat, the more you dehydrate. And it isn't just fluids that are lost in sweat-critical salts, electrolytes are lost too. Replacing these is vital to ensure your body maintains optimum hydration levels.

Each 50ml sachet should be mixed with 1000ml of water or fluid.

Nutritional info per 100ml:

Energy (Kj): 1004
Energy (Kcal): 240
Protein (g): 0
Carbohydrate (g): 60
of which sugars (g): 48
Fat (g): 0
of which saturates (g): 0
Fibre (g): 0
Sodium (g): 0.5
Potassium (mg): 120
Magnesium (mg): 40
Calcium (mg): 80
Chloride (mg): 529.4
Vitamin C (mg): 24
Thiamin Vit B1 (ug): 330
Riboflavin Vit B2 (ug): 420
Niacin Vit B3 (mg): 4.8
Pantothenic Acid Vit B5 (mg): 1.8
Vitamin B6 (ug): 420
Biotin Vit B7 (ug): 15
Folic Acid Vit B9 (ug): 60
Vitamin B12 (ug): 0.75MaterialWater Citric Acid Fructose Glucose Syrup Trisodium 						",5699,6667.83,FOR GOODNESS SHAKES Nectar Fuel Sachet x 30,FOR,,"http://products.activinstinct.com/y2012/m04/283177/40181049-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12595-FBL-003,"
							The Harrod FP14 White Goal Nets are designed with durability and quality in mind. These nets will stop the most venemous of shots and stay in tiop top condition throughout any season.

Construction

3mm Polyethylene
1. 0m to 3. 0m at base						",16499,19303.83,HARROD FP14 White Goal Nets (Full Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12595/12595-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12586-FBL-081,,17499,20473.83,HARROD Club Net Supports (Full Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12586/12586-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12597-FBL-160,"
							This new and improved freestanding goal is lightweight and can be easily assembled and dismantled.


Size 3. 66m wide x 1. 83m high x 1. 22m runback
Manufactured from 68mm diameter heavy duty white PVC
Complete with a 2. 5mm net, three ‘U’ peg anchors, net retaining clips and carry bag with zip
Joins together using PVC button clips to ensure stability
Bag is complete with central carry straps, when packed, bag measures 133cm x 32cm x 32cm
Sold as a single goal

NET INCLUDED

General Delivery Instructions:

All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",19499,22813.83,HARROD Polygoal Mini Goal ,HARROD,,"http://products.activinstinct.com/y2008/m12/12597/12597-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12599-FBL-037,"
							
3. 66m x 1. 22m
36kg per set

NET NOT INCLUDED

General Delivery Instructions:

All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",23499,27493.83,HARROD 5 A Side Goal (Half Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12599/12599-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12582-FBL-308,,23999,28078.83,HARROD Stadium Euro Goal Net ,HARROD,,"http://products.activinstinct.com/y2008/m12/12582/12582-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12642-FBL-017,,25499,29833.83,HARROD Portagoal Nets (Full Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12642/12642-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12596-FBL-165,"
							Ideal for teams who need to transport goals to and from the pitch. Each goal can be assembled in under 15 minutes.


Size 3. 66m wide x 1. 83m high x 1. 5m runback
Uprights and crossbars are manufactured from 50mm diameter x 1. 5mm thick galvanised steel and polyester powder coated white
Side frames are manufactured from 32mm diameter x 1. 5mm thick galvanised steel
Complete with a 2. 5mm net, two 'U' peg anchors, net retaining pegs and carry bag
Joins together using heavy duty button clips
Bag is complete with both central and end carry straps, when packed bag measures 230cm x 21cm x 21cm
Sold as a single goal

NET NOT INCLUDED

General Delivery Instructions:

All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",37499,43873.83,HARROD Supa 7 Mini Goal (Single Goal),HARROD,,"http://products.activinstinct.com/y2008/m12/12596/12596-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12578-FBL-539,"
							
UEFA/FIFA regulation net supports, designed to suspend the net and eliminate rebounds
80mm diameter x 2. 5mm thick aluminium, powder coated green Other colours are available - price on application
Complete with ratchet winch, net tensioner webbing straps and 350mm ground sockets						",38999,45628.83,HARROD Stadium Net Support (Half Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12578/12578-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12581-FBL-308,,41499,48553.83,HARROD Stadium Euro Goal Net (Full Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12581/12581-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12598-FBL-037,"
							
3. 66m x 1. 22m
36kg per set

NET NOT INCLUDED

General Delivery Instructions:

All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",41499,48553.83,HARROD 5 A Side Goal (Full Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12598/12598-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12585-FBL-047,"
							
Uprights and crossbars are manufactured from 60mm diameter x 4mm thick steel
Polyester powder coated white
Complete with four 460mm deep sockets with 65mm diameter internal measurement
Sockets are designed to allow uprights to sit 308mm deep into socket
All external bolts are stainless steel
Complete with 24 synthetic arrow net hooks

NET NOT INCLUDED

General Delivery Instructions:

All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",49000,57330,HARROD Senior School/Club Goal Posts (Half Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12585/12585-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12593-FBL-054,"
							Designed as a freestanding goal, the goal is only portable when used with the flip-over wheels. This goal can be moved in one piece by four adults.


The uprights and crossbars are manufactured from 60mm diameter x 4mm steel
The uprights have round steel plates on the bottom to prevent posts marking artificial surfaces
The side rails and backbar are made from 50mm square steel providing stability and distributing the weight more evenly
Polyester powder coated white
Net supports are manufactured from zinc plated 32mm diameter steel
Complete with four ‘U’ Peg PEG-021 anchors, for pegging on grass (risk assessment required prior to use)

NET NOT INCLUDED

General Delivery Instructions:

All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",64499,75463.83,HARROD Freestanding Senior Posts (Half Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12593/12593-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12579-FBL-539,"
							
UEFA/FIFA regulation net supports, designed to suspend the net and eliminate rebounds
80mm diameter x 2. 5mm thick aluminium, powder coated green Other colours are available - price on application
Complete with ratchet winch, net tensioner webbing straps and 350mm ground sockets						",76400,89388,HARROD Stadium Net Support (Full Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12579/12579-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12575-FBL-548,"
							Harrod UK’s uniquely designed 3G Stadium Goal is used at top level venues including Wembley, The Emirates Stadium, Millennium Stadium, Crooke Park, and a host of Premier League, Championship and League clubs. Manufactured from aluminium and features fully welded corner joints for greatly improved strength and aesthetic appearance. Each upright features an adjustable foot allowing exact goal height to be achieved even after a pitch has been top dressed or re-laid. Lock-on net hooks make net attachment easy whilst the socket wedges ensure the goal stays firmly in place.


Uprights and crossbars manufactured from 102mm x 112mm x 2. 2mm thick elliptical reinforced aluminium
Welded crossbar/upright corner joints provide added strength and aesthetic appearance
Zinc plated steel fixing plate incorporating corner net clamp
Polyester powder coated white
Micro adjustable foot on each upright allows exact upright height
460mm deep elliptical sockets complete with drop-in socket lids and wedges for holding posts firmly in the socket
Stainless steel corner net clamp
100 lock-on synthetic net hooks and stainless steel bolts throughout

NET NOT INCLUDED

General Delivery Instructions:

All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",76499,89503.83,HARROD 3G Stadium Goal Posts (Half Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12575/12575-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12584-FBL-047,"
							
Uprights and crossbars are manufactured from 60mm diameter x 4mm thick steel
Polyester powder coated white
Complete with four 460mm deep sockets with 65mm diameter internal measurement
Sockets are designed to allow uprights to sit 308mm deep into socket
All external bolts are stainless steel
Complete with 24 synthetic arrow net hooks

NET NOT INCLUDED

General Delivery Instructions:

All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",91499,107053.83,HARROD Senior School/Club Goal Posts (Full Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12584/12584-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12592-FBL-054,"
							Designed as a freestanding goal, the goal is only portable when used with the flip-over wheels. This goal can be moved in one piece by four adults.


The uprights and crossbars are manufactured from 60mm diameter x 4mm steel
The uprights have round steel plates on the bottom to prevent posts marking artificial surfaces
The side rails and backbar are made from 50mm square steel providing stability and distributing the weight more evenly
Polyester powder coated white
Net supports are manufactured from zinc plated 32mm diameter steel
Complete with four ‘U’ Peg PEG-021 anchors, for pegging on grass (risk assessment required prior to use)

NET NOT INCLUDED

General Delivery Instructions:

All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",121400,142038,HARROD Freestanding Senior Posts (Full Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12592/12592-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12591-FBL-600,"
							
102mm x 112mm x 2. 2mm thick reinforced aluminium
International net supports &amp; horizontal crossbar braces manufactured from 31. 8mm dia. x 1. 5mm thick galvanised steel
Welded crossbar/upright corner joints provide added strength and aesthetic appearance
Complete with 200 unique lock-on synthetic net hooks, stainless steel bolts and four U peg grass anchors

NET NOT INCLUDED

WHEELS NOT INCLUDED

General Delivery Instructions:


All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",126000,147420,HARROD 3G Aluminium Portagoals (Half Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12591/12591-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12574-FBL-548,"
							Harrod UK's uniquely designed 3G Stadium Goal is used at top level venues including Wembley, The Emirates Stadium, Millennium Stadium, Crooke Park, and a host of Premier League, Championship and League clubs. Manufactured from aluminium and features fully welded corner joints for greatly improved strength and aesthetic appearance. Each upright features an adjustable foot allowing exact goal height to be achieved even after a pitch has been top dressed or re-laid. Lock-on net hooks make net attachment easy whilst the socket wedges ensure the goal stays firmly in place.


Uprights and crossbars manufactured from 102mm x 112mm x 2. 2mm thick elliptical reinforced aluminium
Welded crossbar/upright corner joints provide added strength and aesthetic appearance
Zinc plated steel fixing plate incorporating corner net clamp
Polyester powder coated white
Micro adjustable foot on each upright allows exact upright height
460mm deep elliptical sockets complete with drop-in socket lids and wedges for holding posts firmly in the socket
Stainless steel corner net clamp
100 lock-on synthetic net hooks and stainless steel bolts throughout

NET NOT INCLUDED

General Delivery Instructions:

All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",141400,165438,HARROD 3G Stadium Goal Posts (Full Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12574/12574-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12590-FBL-600,"
							
102mm x 112mm x 2. 2mm thick reinforced aluminium
International net supports &amp; horizontal crossbar braces manufactured from 31. 8mm dia. x 1. 5mm thick galvanised steel
Welded crossbar/upright corner joints provide added strength and aesthetic appearance
Complete with 200 unique lock-on synthetic net hooks, stainless steel bolts and four 'U' peg grass anchors

NET NOT INCLUDED

WHEELS NOT INCLUDED

General Delivery Instructions:

All deliveries are to UK Mainland Only.
Deliveries to Northern Ireland, Channel Islands, other British Islands and Scottish Highlands will incur additional charges.
Please call 08452 702 011 for carriage quotes						",251400,294138,HARROD 3G Aluminium Portagoals (Full Set),HARROD,,"http://products.activinstinct.com/y2008/m12/12590/12590-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
357725--,"
							ZERO Neutral electrolyte tabs let you take control of your sports drink. With no flavour or sweetness, simply drop a tab into water, Supermarket cordial or diluted juice to create a low calorie sports drink of your own design with a wide variety of favourite flavours. Zero Neutral tabs can also be used to increase the electrolyte content of an existing sports drink, which is especially useful when the conditions are hot and sweaty. ZERO Neutral contains Vitamin C and 5 electrolytes, including sodium, magnesium and potassium.

Vitamin C in ZERO Neutral supports a healthy immune system, protects the cells from oxidative stress and contributes to the reduction of tiredness and fatigue. Magnesium in ZERO Neutral contributes to electrolyte balance, reduces tiredness and fatigue, whilst supporting muscle protein synthesis.

The 20 tab tube can be added to 15 litres of drink, so it's great value for money. With minimal packaging, Zero is environmentally friendly and easy to keep with you.

This has a neutral flavour.

Nutritional Information (Per 100g / Per 4g tablet):

Energy: 175Kj / 42Kcal / 7Kj / 1.7kcal
Protein: 0g / 0g
Carbohydate: 2g / 0g
of which sugars: 0g / 0g
Fat: 0g / 0g
Fibre: 0g / 0g
Sodium: 6.5g / 0.25g
Magnesium: 800mg / 32mgMaterialMaltodextrin Sodium Chloride Ascorbic Acid Magnesium Carbonate Carbohydrate Magnesium Sodium Calcium Carbonate Tri Sodium Citrate Potassium Citrate Sodium Bicarbonate 						",5599,6550.83,HIGH5 Zero Neutral 8 x 20 Tablet Tube (1 Box),HIGH5,,"http://products.activinstinct.com/y2013/m05/357725/13553628-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
223982-TRI003,"
							igoal products are inflatable goalposts that can be erected and brought down again in a matter of seconds. This means that they are most easily portable goals available and can be folded up and put back in their bag with incredible ease.

The igoal comes with its own net pre-attached. It comes with its own pump that will inflate the goal in seconds and everything can be folded away and stored in its own carry bag.

For a portable goal, this is an incredibly efficient and simple design, and yet one that makes for fantastic results.

This goal is FA Futsal regulation size.

PLEASE NOTE: This is for one goal only.						",22499,26323.83,IGOAL Futsal Inflatable Goalposts (3m x 2m),IGOAL,,"http://products.activinstinct.com/y2011/m04/223982/63855538-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
