SKU,Description,SP,MRP,productname,Brand,Size,Stock,imgurl,imgurl,imgurl,imgurl
375507-F32933,"
							The adidas BT Feather Team Badminton Shoe has the right amount of stability in the rounded heel and launch in the forefoot that helps you cover the court from any direction with speed and precision. A badminton specific construction delivers comfort and stability during all playing conditions while the non-marking rubber compound allows for the best grip on all badminton surfaces.

Adiprene insert for ideal cushioning during badminton specific movements.

Adiprene+ insert for a powerful acceleration during all badminton specific movements.

Adituff abrasion resistant material placed at the medial forefoot to combat abrasion zones.

Rearfoot Stabiliser construction for stability during badminton specific multidirectional movements.

Torsion System stabilises your midfoot in badminton specific movements and enhances control, support and fit.MaterialRubber Synthetic Material 						",8305.83,9883.9377,ADIDAS BT Feather Team Men's Badminton Shoe,ADIDAS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12,,http://products.activinstinct.com/y2013/m08/375507/83367696-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
288464-7Q335000,"
							Explosive power on contact and exceptional durability in one great string.

Spring loaded polyester Powerfoil releases explosive energy on impact for greater power while providing a broadband wear barrier for increased durability.

Gauge: 1.25mm						",13453.83,16010.0577,PRINCE Lightning XX Indoor Squash Reel Clear/Silver (200m),PRINCE,,,http://products.activinstinct.com/y2012/m05/288464/47783371-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
328642-817165,"
							The new biomimetic Tour luggage range has been designed with serious tennis players in mind, constructed with premium, durable materials for even the most demanding of players on the tour.


Versatile large holdall capable of carrying a large amount of sports equipment
Durable 1680 Ballistic polyester and 420D polyester construction
Two end pockets, one of which has large shoe/wet pocket
Internal soft wall pockets
Side panel pocket with internal phone/iPod pocket, key lip and valuables pocket
Adjustable padded handles for over the shoulder or hand carryingMaterialPolyester 						",9124.83,10858.5477,DUNLOP Biomimetic Tour Large Holdall,DUNLOP,,,http://products.activinstinct.com/y2012/m12/328642/65698726-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
401590-D67038,"
							Light, strong and flexible, these women's handball shoes help you play to win. The shoes feature a breezy air mesh upper with power and support from the trio of ADIPRENE+ forefoot, the TORSION midfoot and the high-impact ADIPRENE heel cushioning.


Air mesh upper for maximum ventilation
ADITUFF for best abrasion resistance in the toe area
ADIPRENE+ in the forefoot maintains propulsion and efficiency
TORSION SYSTEM for midfoot integrity; EVA sockliner for comfort and support
ADIPRENE under the heel for superior cushioning at impact
NON MARKING gum rubber outsole for excellent grip on all indoor surfacesMaterialRubber Synthetic Material 						",8073,9606.87,ADIDAS Court Stabil 10.1 Ladies Indoor Shoes,ADIDAS,UK5.5;UK6;UK6.5,,http://products.activinstinct.com/y2014/m01/401590/99909091-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
198013-6P737021,"
							The Prince Tour Team Pro Duffle is a premium tour quality bag filled with features to make your play and travel fit seamlessly together whilst protecting your equipment so you can enjoy your tennis.

Features footwear pockets, accessory pocket, clip system and a carry handle for easy carry.

28""L x 13""H x 14""WMaterialPolyester 						",8656.83,10301.6277,PRINCE Tour Team Pro Duffle,PRINCE,,,http://products.activinstinct.com/y2010/m11/198013/34093277-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
420072-F82008,"
							This is how you play it cool and pretty for the win. Made from innovative climalite knit fabric with strategically placed climacool vents, this ladies tennis dress sweeps heat and sweat out of your game and breezes in cool, dry determination with every move and swing. And in celebration of Brazil 2014, it flashes hot streaks of Bahia-inspired bands worked into the mesh back design. Comes with bra and shorts, plus a pack of three Bahia bands for added style points.


83 cm back length (size 36)
Ventilated climacool keeps you cool and dry
Asymmetric neckline; Contrast binding and right shoulder strap
Racer back; Mesh back with colourful elastic tape
Separate bra and tights included; Roland Garros badge on left shoulder; Slim fit
100% polyester interlockMaterialPolyester Fabric 100%						",8071.83,9605.4777,ADIDAS Roland Garros Ladies Dress,ADIDAS,10;12,,http://products.activinstinct.com/y2014/m03/420072/14744049-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
375661-09KV39109,"
							A shoe for ultimate multi- court performance. This shoe features Wave technology, and specifically, a Parallel Wave plate. Parallel Wave technology uniformly disperses shock throughout the sole, providing excellent cushioning and enhanced stability.

AIRmesh provides the utmost in breathability and comfort in the upper, while a high-grade removable insock ensures premium comfort, cushioning and durability.

CMEVA midsole provides cushioning and support. Dynamotion Groove outsole enhances stability for the foot during lateral movements on court and increases flexibility. Intercool system to help regulate humidity and temperature in the shoe to maintain comfort.MaterialSynthetic Leather Rubber 						",8071.83,9605.4777,MIZUNO Wave Rally 4 Men's Indoor Shoe,MIZUNO,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9.5;UK10;UK10.5;UK11;UK12,,http://products.activinstinct.com/y2013/m08/375661/95691365-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
375681-09KV39023,"
							A shoe for ultimate multi- court performance. This shoe features Wave technology, and specifically, a Parallel Wave plate. Parallel Wave technology uniformly disperses shock throughout the sole, providing excellent cushioning and enhanced stability.

AIRmesh provides the utmost in breathability and comfort in the upper, while a high-grade removable insock ensures premium comfort, cushioning and durability.

CMEVA midsole provides cushioning and support. Dynamotion Groove outsole enhances stability for the foot during lateral movements on court and increases flexibility. Intercool system to help regulate humidity and temperature in the shoe to maintain comfort.MaterialSynthetic Leather Rubber 						",8071.83,9605.4777,MIZUNO Wave Rally 4 Ladies Indoor Shoe,MIZUNO,UK5.5;UK7;UK7.5;UK8,,http://products.activinstinct.com/y2013/m08/375681/93597269-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358274-WRT905300,"
							Part of the 2013 Carbon Series, the CS Command is a great all round racket for the social to comp player.

Specification:

Headsize: 471cm2
Weight (unstrung): 150g
Balance (unstrung): 33.5cm
String pattern: 14 x 18						",8071.83,9605.4777,WILSON CS Command Squash Racket,WILSON,,,http://products.activinstinct.com/y2013/m05/358274/62942828-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405739-WRZ833492,"
							Designed for the everyday player. This bag features a main compartment, with additional compartments for shoes, accessories and valuables. Perfect for taking kit while travelling.


Side racket compartment
One large main compartment for clothing or equipment
Built in shoe tunnel ideal to keep shoes and dirty clothes separate from other equipment
Front small accessory pocket
Small side accessory pocket
Padded shoulder strap with clips that allow easy removal of the straps
Oversized two piece centre handle for easy pick up and carry
PVC free

Dimensions: 77 x 31 x 36cm						",8071.83,9605.4777,WILSON Federer Duffle Bag,WILSON,,,http://products.activinstinct.com/y2014/m01/405739/34074257-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
374652-Q21634,"
							The Adidas Court Stabil 10.1 W Indoor shoes provide both optimal motion control through a special rubber compound for excellent grip on all indoor surfaces.

Features:

Provides for optimal motion control.
AdiPRENE under the heel for comfort and cushioning.
Great abrasion resistance in the toe area for optimum comfort and stability.
Special rubber compound for excellent grip on all indoor surfaces.
TPU mesh for abrasion resistance, stabilization and protection of the forefoot.MaterialMesh Rubber Synthetic 						",7839,9328.41,ADIDAS Court Stabil 10.1 W Men's Indoor Court Shoes,ADIDAS,UK7;UK9.5;UK10;UK11,,http://products.activinstinct.com/y2013/m07/374652/75210295-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
393060-KZ991,"
							Made from new Superlight polyester material, which is 40% lighter than previous models, this does not sacrifice strength or durability. All the new Superlight bags have soft foam inner linings and carry straps to increase support and comfort when carrying.

Features:

2 Racket Pockets hold a minimum of 8 Rackets
2 Central Zipped Kit Pocket
Zipped Side Pocket For Accessories / Valuables
Backpack Carrying System for easy carrying
75cm x 40cm x 30cm
75 Litre Capacity						",7896.33,9396.6327,KARAKAL RB-75 Superlight Racket Bag,KARAKAL,,,http://products.activinstinct.com/y2013/m11/393060/36256735-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
317215-C002088-51,"
							As good as it gets. The new V-Lite Infinity Flare is worn by double world champion and world number one Nick Matthew, who also helped with its development. Packed full of game changing technologies, the shoe is lightweight, fast, cushioned and supportive. One of the best squash shoes on the market.

V-Lite is a revolutionary vertical build concept that strips away as much weight as possible without sacrificing performance or durability. No one specific technology can be credited for the light weight of this collection, but rather the creative combination of innovative materials and construction.

The biomechanical pressure map is translated into two eight-density midsole configurations, which correspond with the various pressure zones.

The Ortholite footbed is made with open-cell foam, allowing air to circulate around the foot, keeping your foot cooler inside the shoe.MaterialMesh Rubber Synthetic 						",7603.83,9048.5577,HI-TEC Ladies Infinity Flare Squash Shoe,HI-TEC,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK8,,http://products.activinstinct.com/y2012/m10/317215/90109180-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
375465-F32928,"
							The adidas BT Feather Badminton Shoe is designed to provide a combination of solid support and agile ability. This shoe pairs a flexible and powerful forefoot for high speed agility in all directions. The open mesh and a ventilation grip provide enhanced breathability whilst a badminton specific construction delivers comfort and stability in all playing conditions. The non-marking rubber compound allows for unmatched grip on all badminton surfaces.

Adiprene insert for ideal cushioning during badminton specific movements.

Adiprene+ insert for a powerful acceleration during all badminton specific movements.

Air Mesh for maximum ventilation.

Adituff abrasion resistant material placed at the medial forefoot to combat abrasion zones.

Rearfoot Stabiliser construction for stability during badminton specific multidirectional movements.

Torsion System stabilises your midfoot in badminton specific movements and enhances control, support and fit.MaterialRubber Synthetic Material 						",7603.83,9048.5577,ADIDAS BT Feather Men's Indoor Shoe,ADIDAS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12,,http://products.activinstinct.com/y2013/m08/375465/48640516-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
383527-ATB860T,"
							This Ashaway Triple thermo bag consists of three zipped, large main compartments and a side pocket. Of these compartments, the main one is equipped with thermal foil lining, which protects rackets and strings from the effects of extreme changes in temperature, thus ensuring greater performance and durability for the rackets. The bag is suitable for up to nine rackets and kit. It features twin carry straps and handles for easy and comfortable transportation.MaterialRipstop 						",7603.83,9048.5577,ASHAWAY Triple ATB860T Bag,ASHAWAY,,,http://products.activinstinct.com/y2013/m09/383527/38399817-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
191778--,,7603.83,9048.5577,BLACK KNIGHT Stealth Squash Racket,BLACK KNIGHT,,,http://products.activinstinct.com/y2010/m10/191778/78606839-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
315580-BG637,"
							This racket length bag has two zippered, racket shaped sections suitable for nine squash rackets.

The bag features two wet-lined, vented pouches for shoes or wet clothing, wide openings of the main sections that allow for easy access to equipment and additional pockets built into the main sections for smaller valuables and accessories.

There are full backpack style shoulder straps with extra cushioning included with quick release clips. This bag is perfect for people who are looking for a medium sized bag that can organize a lot of rackets and other gear, and who appreciate the hands-free ease of a comfortable backpack.


Dimensions: 76 x 30 x 27cmMaterialEsdura 450D Ardura 210D RS 						",7603.83,9048.5577,BLACK KNIGHT Triple Thermo Squash Racket Bag,BLACK KNIGHT,,,http://products.activinstinct.com/y2012/m10/315580/88495473-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
428462-WRZ842495,"
							This series of clothing and equipment celebrates 100 years of Wilson, paying homage a name that has shared in more winning moments than any other company in sports. 61 Majors. 48 Super Bowls. 20 Final Fours. 93 World Series Championships. And over 500 Grand Slams.

A brilliant bag for players of all abilities and ages; great for practice sessions and games alike. It also has a sleeve to carry two rackets.

Features:

Large compartment to hold shoes and apparel
Large accessory pockets to hold equipment
Small accessory pocket to hold valuables
Interior pocket to hold laptop or tablet						",7603.83,9048.5577,WILSON 100 Years Tour Small Backpack,WILSON,,,http://products.activinstinct.com/y2014/m05/428462/98092582-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
230088-WRT967800,"
							The Wilson Hyper Hammer 145 Squash Racket features a Hyper Carbon construction that creates ultra stiffness in an ultra light frame for maximum manoeuvrability and power.

The Wilson Hammer system contributes to the ultra light construction creating a head heavy balance that is perfect for creating increased power to compliment the manoeuvrability.

Power Holes, uniquely designed oversized string holes allow for greater compression in the string bed, resulting in a significantly larger sweet spot which increases power even further and results in a much more forgiving frame.

Hyper Hammer technology, combined with the Hyper Carbon frame, produces a very stiff racket, contributing toward power with the added benefits of superb stability.

Features a 497 cm sq headsize, lightweight 145g frame and a head heavy balance.						",7603.83,9048.5577,WILSON Hyper Hammer 145 Squash Racket,WILSON,,,http://products.activinstinct.com/y2011/m06/230088/15973985-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358276-WRT905400,"
							Part of the 2013 Carbon Series, the CS Muscle is a great all round racket for the social to comp player.

Specification:

Headsize: 490cm2
Weight (unstrung): 170g
Balance (unstrung): 35cm
String pattern: 12 x 18						",7599.15,9042.9885,WILSON CS Muscle Squash Racket,WILSON,,,http://products.activinstinct.com/y2013/m05/358276/71317418-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
363089-B207N-0191,"
							Indoor court shoes require tremendous amounts of grip. They have to be able to deal with sharp changes of direction, explosive bursts of movement, and supply support and comfort throughout. These are a fantastic example of this required performance.

Forefoot GEL reduces the loading forces as the foot moves into propulsion, improving performance and minimising the risk of injury.

The Compression Molded EVA Sockliner can be removed to accommodate a medical orthotic, while the Trusstic System reduces the weight of the sole unit while retaining the structural integrity of the shoe.

This shoe also uses California Slip Lasting to enhance its stability and comfort. This is achieved through the upper being stitched around a canvas or EVA board and directly attached to the midsole.

The NC Rubber outsole contains more rubber content than traditional solid rubber, this results in incredible traction on indoor court systems.MaterialRubber Synthetic 						",7545.33,8978.9427,ASICS Gel-Rocket 6 Men's Indoor Court Shoes,ASICS,UK11;UK12,,http://products.activinstinct.com/y2013/m06/363089/80000431-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
375451-Q23636,"
							The adidas BT Feather Badminton Shoe is designed to provide a combination of solid support and agile ability. This shoe pairs a flexible and powerful forefoot for high speed agility in all directions. The open mesh and a ventilation grip provide enhanced breathability whilst a badminton specific construction delivers comfort and stability in all playing conditions. The non-marking rubber compound allows for unmatched grip on all badminton surfaces.

Adiprene insert for ideal cushioning during badminton specific movements.

Adiprene+ insert for a powerful acceleration during all badminton specific movements.

Air Mesh for maximum ventilation.

Adituff abrasion resistant material placed at the medial forefoot to combat abrasion zones.

Rearfoot Stabiliser construction for stability during badminton specific multidirectional movements.

Torsion System stabilises your midfoot in badminton specific movements and enhances control, support and fit.MaterialRubber Synthetic Material 						",7488,8910.72,ADIDAS BT Feather Men's Indoor Shoe,ADIDAS,UK6;UK6.5;UK7;UK7.5;UK8;UK9;UK9.5;UK10;UK10.5;UK11.5;UK12,,http://products.activinstinct.com/y2013/m08/375451/42305541-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
315572--,"
							Designed to suit intermediate players, and up to professional use, this racket offers a fantastic option for mid-level rackets. The medium stiff bridged frame is light in weight and provides the racket with medium balance.

Specification:

Frame: HMG, Carbon 4
String: Kevfibre Black
String Tension: 25-29 lbs
Rigidity (RF): 88 medium
Actual Frame Weight: 135g
Dynamic Weight: 135g
Balance: even
Area: 490 sq. cm						",7369.83,8770.0977,BLACK KNIGHT Omega Squash Racket,BLACK KNIGHT,,,http://products.activinstinct.com/y2012/m09/315572/67485250-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
427416-29161,"
							This is an excellent quality Thermo Racket bag that has two accessory pockets and two compartments for rackets and clothing. Holds up to 12 rackets.

Features:

Designed for the serious squash player
Holds up to 12 rackets
Inner thermo compartment
Spacious main compartment
Combined ventilated shoe and wet compartment
Two accessory pockets
Backpack function						",7135.83,8491.6377,UNSQUASHABLE Thermo Bag,UNSQUASHABLE,,,http://products.activinstinct.com/y2014/m05/427416/77940536-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
380464-G96430,"
							Part of the Stabil family that has produced balanced and high performing court shoes for a number of years, this indoor shoe is lighter, stronger and more flexible than it has ever been. With an excellent fit and brilliant strength it has top on-court performance.

There is a Tech-Net TPU grid for abrasion resistance, stabilisation and protection of the forefoot. The gum rubber compound ensures excellent grip on all indoor surfaces.

The Torsion System provides midfoot integrity and motion guidance, while highly responsive Adiprene EVA maintains forefoot propulsion to accelerate your game.MaterialRubber Synthetic 						",7020,8353.8,ADIDAS Court Stabil 10.1 Unisex Indoor Shoes,ADIDAS,UK7;UK7.5;UK8.5;UK9.5;UK10;UK12,,http://products.activinstinct.com/y2013/m09/380464/79133669-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
375709-09KV39568,"
							A shoe for court performance and entry-level price. This shoe features Wave technology, and specifically, a Parallel Wave plate. Parallel Wave technology uniformly disperses shock throughout the sole, providing excellent cushioning and enhanced stability.

AIRmesh provides the utmost in breathability and comfort in the upper and a CMEVA midsole provides cushioning and support.

Dynamotion Groove outsole enhances stability for the foot during lateral movements on court and increases flexibility.MaterialSynthetic Leather Rubber 						",7018.83,8352.4077,MIZUNO Wave Twister 2 Ladies Indoor Shoe,MIZUNO,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9,,http://products.activinstinct.com/y2013/m08/375709/57899774-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
375693-09KV39624,"
							A shoe for court performance and entry-level price. This shoe features Wave technology, and specifically, a Parallel Wave plate. Parallel Wave technology uniformly disperses shock throughout the sole, providing excellent cushioning and enhanced stability.

AIRmesh provides the utmost in breathability and comfort in the upper and a CMEVA midsole provides cushioning and support.

Dynamotion Groove outsole enhances stability for the foot during lateral movements on court and increases flexibility.MaterialRubber Synthetic 						",7018.83,8352.4077,MIZUNO Wave Twister 2 Men's Indoor Shoe,MIZUNO,UK6.5;UK9.5;UK10.5;UK11,,http://products.activinstinct.com/y2013/m08/375693/61967694-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
397705-09KV39609,"
							A shoe for court performance and entry-level price. This shoe features Wave technology, and specifically, a Parallel Wave plate. Parallel Wave technology uniformly disperses shock throughout the sole, providing excellent cushioning and enhanced stability.

AIRmesh provides the utmost in breathability and comfort in the upper and a CMEVA midsole provides cushioning and support.

Dynamotion Groove outsole enhances stability for the foot during lateral movements on court and increases flexibility.MaterialRubber Synthetic Material 						",7018.83,8352.4077,MIZUNO Wave Twister 2 Men's Indoor Court Shoe,MIZUNO,UK7;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12;UK13,,http://products.activinstinct.com/y2013/m12/397705/20535079-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
418348-190080,"
							A wide-strapped, fitted knit dress with straps and mesh pleats in contrasting colour and a silicon shield logo at the left chest. This features a polyester and spandex construction; a brilliant garment for competing on the court, with plenty of freedom to move as you play in lightweight material.MaterialSpandex Polyester Fabric 						",7018.83,8352.4077,K-SWISS Bigshot II Ladies V-Dress,K-SWISS,XS;S;M;L;Purple/White;White/Red,,http://products.activinstinct.com/y2014/m03/418348/37098830-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405114-WR3064500 / WR3064950,"
							The Wilson Solana Ladies Strappy Tennis Dress is designed to ensure optimum performance and comfort on court. Features an athletic body conscious fit with strappy mid-thigh length dress. Liquid stretch two colour burn out pixel morph printed mesh on the skirt ensures a modern look along with contrast colour blocked straps. Built in support bra and strategically placed mesh ensures the utmost in support and comfort.

Features:

Nanowik technology that moves moisture away from the skin for superior comfort
Construction: 89% Polyester, 11% Spandex Jersey KnitMaterialSpandex 11%Polyester Fabric 89%						",7018.83,8352.4077,WILSON Solana Ladies Strappy Tennis Dress,WILSON,XS;S;M;L;XL;Red/Orange;Blue,,http://products.activinstinct.com/y2014/m01/405114/84639586-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
393338-6P877057,,7018.83,8352.4077,PRINCE Classic Circle Duffle,PRINCE,,,http://products.activinstinct.com/y2013/m11/393338/93121939-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
387967-2303,"
							A multifunctional racket bag that is suitable for Tennis, Squash, Badminton and Racketball.

This bag features three separate compartments for clothes, shoes and rackets, with an aluminium foil inner to protect rackets from heat and cold as well as straps with cushioning support for comfort while in use.


Holds up to 12 rackets
Designated Compartment for shoes
Designated Compartment for sportswear
Aluminium foil to protect rackets from heat and cold
Straps with cushioning support provides ultra comfort
Compartment for personal items
Size 29.7” x 12” x 9.44” (74cm x 30.5cm x 24cm)						",7018.83,8352.4077,RANSOME Racket Holdall,RANSOME,,,http://products.activinstinct.com/y2013/m10/387967/51709930-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
174292-20008,"
							100% Graphite Racket for a very attractive price! This racket allows highest ball acceleration and maximum power through the long vertical centre strings. The
Y Tec 490 has attractive bright cosmetics. The Y Tec 490 Racket offers control for the allround player


Made from Graphite
Mid Balance
Frame weight 130gms
Cosmetics Orange/White/Black

MaterialGraphite 100%						",7018.83,8352.4077,UNSQUASHABLE Y Tec 490 Squash Racket,UNSQUASHABLE,,,http://products.activinstinct.com/y2010/m06/174292/51873747-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
388787-WRZ843396,"
							A brilliant bag for players of all abilities and ages; great for practice sessions and games alike. It also has a sleeve to carry two rackets.

Features:

Large compartment to hold shoes and apparel
Large accessory pockets to hold equipment
Thermoguard protects equipment against extreme temperatures
Small accessory pocket to hold valuablesMaterialNylon 						",7018.83,8352.4077,WILSON Tour Large Backpack,WILSON,,,http://products.activinstinct.com/y2013/m10/388787/76110329-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405780-WRZ840496,"
							A brilliant bag for players of all abilities and ages; great for practice sessions and games alike. It also has a sleeve to carry two rackets.

Features:

Large compartment to hold shoes and apparel
Large accessory pockets to hold equipment
Thermoguard protects equipment against extreme temperatures
Small accessory pocket to hold valuables						",7018.83,8352.4077,WILSON Tour Large Backpack,WILSON,,,http://products.activinstinct.com/y2014/m01/405780/86380044-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
393062-KZ994,"
							Made from new Superlight polyester material, which is 40% lighter than previous models, this does not sacrifice strength or durability. All the new Superlight bags have soft foam inner linings and carry straps to increase support and comfort when carrying.

Features:

2 Racket Pockets hold a minimum of 8 Rackets
Central Zipped Kit Pocket
Zipped Side Pocket For Accessories / Valuables
Backpack Carrying System for easy carrying
75cm x 30cm x 30cm
55 Litre Capacity						",6843.33,8143.5627,KARAKAL RB-55 Superlight Racket Bag,KARAKAL,,,http://products.activinstinct.com/y2013/m11/393062/79825762-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
373949-Q35128,"
							A mid-level, high quality hockey shoe.

Features highly responsive Adiprene EVA to maintain forefoot propulsion and accelerate your game, as well as the same material as soft, shock absorbing EVA for excellent cushioning to help reduce impact on ankle and knee joints.

There is a non-marking rubber compound for ideal grip on all indoor surfaces and the Adituff high abrasion and tear resistant upper material ensures fantastic durability.MaterialRubber Synthetic Material 						",6704.1,7977.879,ADIDAS Essence 10.1 Unisex Indoor Shoes,ADIDAS,UK7.5;UK10.5,,http://products.activinstinct.com/y2013/m07/373949/54680705-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
4290-SX200,,6640.92,7902.6948,APOLLO Leisure XL Reel 220M Squash String ,APOLLO,,,http://products.activinstinct.com/y2008/m12/4290/25437366-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
419565-WR3124100 / WR3124500,"
							A high performance dress design with ultimate performance on court in mind, this is packed full of technological features to help ensure brilliant match play.

Features:

Scoop neck, cross back, mid-thigh length dress
Mesh straps for breathability
Polyester/spandex jersey knit body
nanoWIK moisture movement technology
Built-in support bra with strategically placed meshMaterialSpandex 7%Polyester Fabric 93%						",6492.33,7725.8727,WILSON Cardiff Wavy Ladies Dress,WILSON,XS;S;M;L;XL;Blue/White;White/Purple,,http://products.activinstinct.com/y2014/m03/419565/23133342-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405125-WR3087395 / WR3087550,"
							The Wilson Solana Ladies Ruffle Tennis Dress boasts classic styling with enhanced performance on court. Design features a classic fit scoop neck A Line mid-thigh length tank style with contrast front stripe and bottom ruffle. Constructed from performance polyester/spandex jersey knit for enhanced movement and comfort. Built in support bra and strategically placed mesh ensures the utmost in support and comfort.

Features:

Nanowik technology that moves moisture away from the skin for superior comfort
Construction: 89% Polyester, 11% Spandex Jersey KnitMaterialSpandex 11%Polyester Fabric 89%						",6492.33,7725.8727,WILSON Solana Ladies Ruffle Tennis Dress,WILSON,XS;S;M;L;XL;Blue;Orange,,http://products.activinstinct.com/y2014/m01/405125/64058177-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
418740-WR3076400 / WR3076800,"
							A high performance dress design with ultimate performance on court in mind, this is packed full of technological features to help ensure brilliant match play.

Features:

Athletic fit, racer back design
Engineered mesh stripe back panel insert for breathability
nanoWIK moisture movement technology
Built-in support bra with mesh for ventilationMaterialSpandex 11%Polyester Fabric 89%						",6492.33,7725.8727,WILSON Specialist Heather Ladies Dress,WILSON,XS;S;M;L;XL;Navy;Yellow,,http://products.activinstinct.com/y2014/m03/418740/39162986-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
373973-Q33806,,6433.83,7656.2577,ADIDAS Court Stabil Elite Junior Indoor Shoes,ADIDAS,UK1;UK2;UK2.5;UK3;UK3.5;UK5,,http://products.activinstinct.com/y2013/m07/373973/41283455-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
315608--,"
							The lightest shoe that Ashaway make, thanks to it advanced construction, this is built for speed on the court.

The Cushion Technology increases comfort and reduces the chance of foot fatigue. The high quality synthetic and mesh upper ensures the shoe is lightweight and breathable.

There is a high quality PVC heel counter to provide as much ankle support as possible. The Wet Grip rubber outsole provides unrivalled grip on surfaces, even if they get wet and dusty.MaterialRubber Synthetic Material 						",6433.83,7656.2577,ASHAWAY Unisex ABS506 Indoor Court Shoe,ASHAWAY,UK10;UK12,,http://products.activinstinct.com/y2012/m10/315608/39889651-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
317241-C002083-13,"
							A quality multi-court shoe that provides instant comfort, support and cushioning. The Viper Court is ideally suited to casual and occasional players.

The shoe features a lightweight performance mesh with PU support overlays and a removable, full length moulded EVA sockliner.

Abrazone toecap provides drag protection in addition while there is a soft, padded collar for additional comfort.MaterialMesh Rubber Synthetic 						",6433.83,7656.2577,HI-TEC Ladies Viper Court Squash Shoe,HI-TEC,UK4;UK4.5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,,http://products.activinstinct.com/y2012/m10/317241/85836672-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
