SKU,Description,SP,CP,SP,productname,Brand,Size,imgurl,Stock
408638-93169-164-M,"
							A simplified version of the Ultra-Express, this shoe is constructed with a leather upper and is perfect for the recreational player.

Durawrap provides an extra line of defence against excessive toe-dragging. K-EVA is a special formula EVA to provide maximised cushioning and enhance the durability of the midsole.

The Aosta 7.0 Rubber Compound is a high-density outsole provides unsurpassed durability from heel to toe. DragGuard is located in high wear areas of the toe and heel, offering increased resistance to abrasion and hard wear.

A 180 PSC Plantar acts as a support chassis made from thermal plastic to enhance mid-foot stability.MaterialRubber Synthetic 						",53.99,6899,8071.83,K-SWISS Express 100 Outdoor Ladies Tennis Shoes,K-SWISS,UK4.5;UK5;UK5.5;UK6;UK7,"http://products.activinstinct.com/y2014/m02/408638/73670892-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
423829-599364-059,"
							The Nike Air Vapor Advantage Women's Tennis Shoe offers enhanced comfort and long-lasting stability on the court with lightweight impact protection and a durable rubber outsole.

Benefits

Lightweight combination upper for a comfortable fit
Full-length Phylon midsole with encapsulated Air-Sole unit in the heel for lightweight cushioning and impact protection
XDR rubber compound outsole with midfoot shank for durability and stabilityMaterialRubber Synthetic 						",58.49,7349,8598.33,NIKE Air Vapor Advantage Ladies Tennis Shoe,NIKE,UK4.5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,"http://products.activinstinct.com/y2014/m04/423829/79987013-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
310332-92948-155-M,"
							This is an entry level tennis shoe, suitable for beginners and those just starting out in the game that require high levels of cushioning and support.

There is moulded Dura-Wrap protection around the toe and on the medial side.

The outsole features non marking durable Aosta II high density rubber outsole with forefoot flexibility provided by flex grooves for ease of movement and a carpet friendly tread design.

The shoe also utilises K-EVA; a special formula EVA that provides high levels of cushioning, while enhancing durability in the midsole.MaterialSynthetic Leather Rubber 						",53.99,6899,8071.83,K-SWISS Ultrascendor II Ladies Carpet Shoes,K-SWISS,UK4.5;UK6,"http://products.activinstinct.com/y2012/m09/310332/67482834-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
378779-93096-193-M,"
							The K-Swiss Bigshot Light is the lightest performance tennis shoe from K-Swiss and features a 180 degree thermal plastic Plantar Support Chassis that enhances mid foot stability.

The K-Swiss Flow Cool system ensures your feet stay cool and dry from heel- to toe in even the most testing of hot conditions out on the court.

Fitted with K-Swiss Draguard technology, located in high wear areas of the toe and heel offer increased abrasion-resistance whilst Durawrap technology provides an extra line of defence against excessive toe-dragging.

The Midsole is fitted with a superb arsenal of technologies. K-EVA specialized EVA provides maximized cushioning and enhanced durability. Y-beam technology, a mid-foot support structure, anchors the arch area with a TPU injection component.

Aosta 7.0 rubber compound outsole features lateral support outrigger providing further comfort and support.MaterialRubber Synthetic Material 						",58.49,7349,8598.33,K-SWISS Bigshot Light Ladies Indoor Carpet Tennis Shoe,K-SWISS,UK4.5;UK6;UK6.5;UK7,"http://products.activinstinct.com/y2013/m08/378779/61373952-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
421540-M22456,"
							The perfect blend of durability cushioning and support, with synthetic leather and mesh combination for more breathability and high performance synthetic on the sides.

ADITUFF sport-specifically positioned highly abrasion and tear-resistant upper material and a moulded EVA for anatomical comfort.

ADIPRENE shock-absorbing soft EVA providing excellent cushioning and helps by reducing impact to ankle joints and knees and highly responsive EVA maintaining forefoot propulsion to accelerate your game.

Extended TORSION SYSTEM for stability, with ADIWEAR 6-month warranty out-sole for best durability in high-wear areas.MaterialRubber Synthetic Material 						",59.99,7499,8773.83,ADIDAS Barricade V Classic Ladies Tennis Shoe,ADIDAS,UK5;UK5.5;UK6,"http://products.activinstinct.com/y2014/m04/421540/13441020-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
400526-WC696WS,"
							Serving up a performance tennis shoe with a sportier silhouette and more athletic fit, the 696 features Abzorb midfoot cushioning for exceptional shock absorption and an Ndurance rubber outsole for maximum durability.

Features:

12mm drop
Leather upper
IMEVA
Herringbone outsole
Non-marking outsoleMaterialRubber Leather 						",44.99,5999,7018.83,NEW BALANCE WC696 Ladies Tennis Shoes,NEW,UK5;UK5.5;UK6;UK6.5;UK7,"http://products.activinstinct.com/y2013/m12/400526/69154547-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
400532-WC996WS,"
							Bring your best game to the court with the 996, an evolution of the 851, with lightweight performance. The shoe features Probank stability technology, a responsive REVlite midsole and a reliable Ndure forefoot cage.

Features:

12mm drop
Ndure cage
Synthetic/mesh upper
Herringbone outsole
Non-marking outsoleMaterialRubber Synthetic Material 						",62.99,7799,9124.83,NEW BALANCE WC996 Ladies Tennis Shoes,NEW,UK5;UK5.5;UK6;UK6.5;UK7,"http://products.activinstinct.com/y2013/m12/400532/20464802-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
428438-WRS318850E,"
							This series of clothing and equipment celebrates 100 years of Wilson, paying homage a name that has shared in more winning moments than any other company in sports. 61 Majors. 48 Super Bowls. 20 Final Fours. 93 World Series Championships. And over 500 Grand Slams.

Designed for the competitive player, this offers advanced performance, fit and court feel. The technologies in the shoe provide explosive acceleration, low to the ground court feel and innovative forefoot stability that supports controlled deceleration, improving movement and responsiveness on the court.

2D-F.S provides superior support, enhanced responsiveness, lateral stability and control. Endofit ensures enhanced comfort, stability and an overall intuitive fit experience.

A Duralast outsole improves court traction and grip for maximum wear and durability.MaterialRubber Synthetic Material 						",99.99,11499,13453.83,WILSON Rush Pro HC 100 Years Ladies Tennis Shoe,WILSON,UK5;UK5.5;UK6;UK6.5;UK7,"http://products.activinstinct.com/y2014/m05/428438/20748586-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
408608-93168-631-M,"
							A new ultra lightweight and breathable high-end tennis shoe, offering superior cushioning. Seamfree technology ensures a high level of comfort and Durawrap reinforcement guarantees lightweight durability in high wear areas.

Durawrap provides an extra line of defence against excessive toe-dragging. K-EVA is a special formula EVA to provide maximised cushioning and enhance the durability of the midsole.

The Aosta 7.0 Rubber Compound is a high-density outsole provides unsurpassed durability from heel to toe. DragGuard is located in high wear areas of the toe and heel, offering increased resistance to abrasion and hard wear.

The Heel Grip Lining is made from interlocking fibres that grip the sock to minimise heel slippage. Moisture management is provided by Ortholite, with anti-microbial properties to keep feet cool and minimise the effects of perspiration.

A 180 PSC Plantar acts as a support chassis made from thermal plastic to enhance mid-foot stability. A state-of-the-art heat welded seamless upper construction bonds the layers of synthetic suede and TPU onto tech mesh without stitching.MaterialRubber Synthetic 						",76.49,9149,10704.33,K-SWISS Ultra-Express Ladies Tennis Shoes,K-SWISS,UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,"http://products.activinstinct.com/y2014/m02/408608/34604307-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
404394-Q22142,"
							A modern mesh with grid like overlay upper puts the adidas by Stella McCartney signature on these lightweight, high-performing Barricade tennis shoes. Set after set and point after point a shaped EVA core cushions your step, and ADIPRENE+ in the forefoot helps launch you to the ball. Featuring a durable ADIWEAR 6 outsole.


Layered synthetic mesh upper for maximum breathability and light weight
Shaped EVA core for a comfortable and snug fit
ADIPRENE+ in the forefoot maintains propulsion and efficiency
TORSION SYSTEM for midfoot integrity; Moulded EVA insole for anatomical comfort
ADIPRENE under the heel for superior cushioning at impact; miCoach compatible
ADIWEAR 6 outsole offers the ultimate in high-wear durabilityMaterialRubber Synthetic Material 						",89.99,10499,12283.83,ADIDAS By Stella Mccartney Ladies Barricade Tennis Shoes,ADIDAS,UK5.5;UK6.5;UK7.5,"http://products.activinstinct.com/y2014/m01/404394/63428694-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
396777-E309Y-0199,"
							Upper constructed from nylon and synthetic leather for comfort, support and durability.

The forefoot GEL cushioning system consists of a silicone-based material placed in critical areas of the sole which dampens shock when the foot hits the ground, allowing for smoother movement through the gait cycle.

There is California Lasting supplies stability and comfort. The upper is stitched around a canvas or EVA board and directly attached to the midsole.MaterialRubber Synthetic Material 						",45,6000,7020,ASICS Gel-Dedicate 3 OC Men's Tennis Shoes,ASICS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12;UK13,"http://products.activinstinct.com/y2013/m12/396777/75836032-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
395264-E306Y-9993,"
							The Asics Gel-Game 4 Tennis Shoe incorporates a mix of technology that provides comfort, support and durability so you can focus on elevating your game and outshining your adversary.

Upper constructed from nylon and synthetic leather for comfort, support and durability.

The forefoot GEL cushioning system consists of a silicone-based material placed in critical areas of the sole which dampens shock when the foot hits the ground, allowing for smoother movement through the gait cycle.

The Trusstic System reduces the weight of the sole unit while retaining the structural integrity of the shoe.

There is California Lasting supplies stability and comfort. The upper is stitched around a canvas or EVA board and directly attached to the midsole.MaterialRubber Synthetic Material 						",54.99,6999,8188.83,ASICS Gel-Game 4 Men's Tennis Shoes,ASICS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12;UK13,"http://products.activinstinct.com/y2013/m12/395264/44050986-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
395215-E300Y-0123,"
							The Asics Gel-Resolution 5 is amongst the tennis shoe elite. Packed full of technology, they combine to create a shoe that performs at an exceptionally high standard on all surfaces giving your game the flexibility and consistency to perform at your best.

The Impact Guidance System enhances the foot's natural gait from heel strike to toe-off improving the efficiency and comfort of your foot-strike and movement. The featured heal clutching system offers an extra skeletal heel counter providing improved support and creating an improved heel fitting environment.

Biomorphic Fit technology allows the upper of the shoe to move in harmony with the foot, giving more comfort while in motion. This fit means the shoe material does not bunch, reducing the risk of blisters or irritation.

The Solyte midsole is a proprietary cushioning material that provides an exceptionally lightweight midsole with excellent bounce-back and durability. With rearfoot and forefoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle.

The Trusstic system is employed to reduce the weight of the sole unit while retaining the structural integrity of the shoe so you get excellent support combined with lightweight durability. There are also discrete, independently placed eyelets where the laces pass through the upper and disperse lace tension which leads to an improved fit and reduces possible irritation.

The discreet Eyeletstay lacing uses independently placed eyelets to disperse lace tension, creating a customised fit and enhanced upper comfort.MaterialRubber Synthetic Material 						",89.99,10499,12283.83,ASICS Gel-Resolution 5 Men's Tennis Shoes,ASICS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12;UK13,"http://products.activinstinct.com/y2013/m12/395215/16848527-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
395234-E300Y-9001,"
							The Asics Gel-Resolution 5 is amongst the tennis shoe elite. Packed full of technology, they combine to create a shoe that performs at an exceptionally high standard on all surfaces giving your game the flexibility and consistency to perform at your best.

The Impact Guidance System enhances the foot's natural gait from heel strike to toe-off improving the efficiency and comfort of your foot-strike and movement. The featured heal clutching system offers an extra skeletal heel counter providing improved support and creating an improved heel fitting environment.

Biomorphic Fit technology allows the upper of the shoe to move in harmony with the foot, giving more comfort while in motion. This fit means the shoe material does not bunch, reducing the risk of blisters or irritation.

The Solyte midsole is a proprietary cushioning material that provides an exceptionally lightweight midsole with excellent bounce-back and durability. With rearfoot and forefoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle.

The Trusstic system is employed to reduce the weight of the sole unit while retaining the structural integrity of the shoe so you get excellent support combined with lightweight durability. There are also discrete, independently placed eyelets where the laces pass through the upper and disperse lace tension which leads to an improved fit and reduces possible irritation.

The discreet Eyeletstay lacing uses independently placed eyelets to disperse lace tension, creating a customised fit and enhanced upper comfort.MaterialRubber Synthetic Material 						",89.99,10499,12283.83,ASICS Gel-Resolution 5 Men's Tennis Shoes,ASICS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12;UK13,"http://products.activinstinct.com/y2013/m12/395234/67122013-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
410473-03053-137-M,"
							The K-Swiss Calabasas Men's Tennis Shoe is an entry level shoe that features considered design and technology to provide you with the perfect mixture of comfort and durability on the court. The aesthetics of the shoe will appeal equally with modern design that'll have you looking the part at the club.

The outsole features durable Aosta II high density rubber for enhanced durability whilst the K-EVA specialised EVA provides maximized cushioning and enhanced durability.MaterialRubber Synthetic Material 						",49.49,6449,7545.33,K-SWISS Calabasas Men's Omni Tennis Shoe,K-SWISS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2014/m02/410473/36179816-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
263369-02648-153-M,"
							The K-Swiss Grancourt II Tennis Shoe provides affordable performance on the court and is a great entry level shoe. This shoe features a design and construction that pays homage to classic tennis design whilst ensuring durability comfort and performance.

The Upper is constructed from leather and features a reinforced toe area ensuring both comfort and durability.

K-EVA in the midsole provides excellent cushioning and durability whilst the Shock spring ensures superior cushioning in the heel and forefoot.

Solid rubber outsole provides for enhanced traction and durability.MaterialLeather 100%						",44.99,5999,7018.83,K-SWISS Grancourt II Men's Tennis Shoes,K-SWISS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12;UK13,"http://products.activinstinct.com/y2011/m12/263369/65358766-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
410422-03027-449,"
							The K-Swiss Bigshot Light is the lightest performance tennis shoe from K-Swiss and features a 180 degree thermal plastic Plantar Support Chassis that enhances mid foot stability.

The K-Swiss Flow Cool system ensures your feet stay cool and dry from heel- to toe in even the most testing of hot conditions out on the court.

Fitted with K-Swiss Draguard technology, located in high wear areas of the toe and heel offer increased abrasion-resistance whilst Durawrap technology provides an extra line of defence against excessive toe-dragging.

The Midsole is fitted with a superb arsenal of technologies. K-EVA specialized EVA provides maximized cushioning and enhanced durability. Y-beam technology, a mid-foot support structure, anchors the arch area with a TPU injection component.

Aosta 7.0 rubber compound outsole features lateral support outrigger providing further comfort and support.MaterialRubber Synthetic Material 						",58.49,7349,8598.33,K-SWISS Bigshot Light Men's Tennis Shoe,K-SWISS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12;UK13,"http://products.activinstinct.com/y2014/m02/410422/56282778-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
263313-01033-103-M,"
							The K-Swiss Men's Defier boasts superb all round performance. Defy your opponent's best shots with the complete combination of comfort, support, durability and response.

The stellar levels of durability in this shoe are afforded by the Aosta 7.0 high density rubber outsole, DragGuard abrasion resistant material placed in the hard wearing toe and heel of the outsole and moulded Dura-Wrap protection around the toe and on the medial side.

Traction comes courtesy of the tennis specific herring bone tread pattern, suitable for multiple court surfaces. The tread itself wraps around the toe and sidewalls for added grip in these crucial areas of the shoe.

Support is so crucial to success on the court and the Defier won't leave you wanting with an external TPU heel chassis and an extra high lateral sidewall at the forefoot.

Comfort is enhanced with vented medial cut-outs and an open mesh tongue that allows for a greater degree of breathability keeping you cool and calm on court.MaterialLeather 						",59.99,7499,8773.83,K-SWISS Defier RS Men's Tennis Shoes,K-SWISS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12;UK13,"http://products.activinstinct.com/y2011/m12/263313/81009609-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
310214-01806-109-M,"
							The K-Swiss Accomplish Tennis Shoe is designed to provide you with all the support, stability, lightweight and durability needed for success on the court. With this combination you'll be well equipped to take on any opponent.

The outsole features non marking durable Aosta II high density rubber outsole with forefoot flexibility provided by flex grooves for ease of movement. Traction comes courtesy of the raised pimple grip, suitable for use on artificial grass and clay.

The midsole features compression moulded EVA Shock Spring cushioning technology for unmatched comfort. Cushion Board construction further enhances comfort making for a shoe that allows you to focus on being accurate and powerful in your matches.

The upper is constructed from a combination of leather/synthetic and mesh for lightweight and durability whilst the lateral support wrap provides extra lateral stability so crucial to performing at your best on the court.MaterialSynthetic Leather Rubber 						",63,7800,9126,K-SWISS Accomplish LS Omni Men's Tennis Shoes,K-SWISS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12;UK13;UK14,"http://products.activinstinct.com/y2012/m09/310214/41209143-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
1613-01121-109,"
							The K-Swiss Oushine EU Shoe is designed to get you moving round the court in total comfort whilst remaining durable and sturdy for those who get around the court quickly and play an all encompassing game.

Durability is provided by the leather/synthetic leather upper giving real longevity to the shoe no matter how many hours you put in on the court. The high-abrasion toe-wrap provides extra lateral stability, so crucial to performing at your best on the court.

The one piece rubber outsole features durable Aösta II high density rubber outsole for durability. The featured herringbone tread pattern is clay friendly.

The compression moulded EVA midsole features Shock Spring cushioning technology located in the heel and forefoot for game enhancing response and cushioning.MaterialLeather 						",53.99,6899,8071.83,K-SWISS Outshine EU Omni Men's Tennis Shoes ,K-SWISS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK11;UK12,"http://products.activinstinct.com/y2008/m12/1613/37593589-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
209695-01120-109-M,"
							The K-Swiss Outshine EU Shoe is designed to get you moving round the court in total comfort whilst remaining durable and sturdy for those who get around the court quickly and play an all encompassing game.

Durability is provided by the leather/synthetic leather upper giving real longevity to the shoe no matter how many hours you put in on the court. The high-abrasion toe-wrap provides extra lateral stability, so crucial to performing at your best on the court.

The one piece rubber outsole features durable Aosta II high density rubber outsole for durability. The featured herringbone tread pattern is clay friendly.

The compression moulded EVA midsole features Shock Spring cushioning technology located in the heel and forefoot for game enhancing response and cushioning.MaterialLeather 						",53.99,6899,8071.83,K-SWISS Outshine EU Men's Tennis Shoes,K-SWISS,UK6;UK6.5;UK7;UK7.5;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2011/m01/209695/26263839-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
209570-0564-195-M,"
							The K-Swiss Stabilor Men's Tennis Shoe is predominantly designed to provide tennis players with unsurpassed lateral stability, crucial for the multidirectional movement required in a tough tennis match. Featuring a raised pimple profile to be used on clay and artificial grass surfaces.

The outsole features non marking durable Aosta 7.0 high density rubber outsole and DragGuard abrasion resistant material placed in the hard wearing toe and heel areas.

Traction comes courtesy of the tennis specific, multi-surface wavebone tread pattern, suitable for multiple court surfaces. The tread itself wraps around the toe and sidewalls for added grip in these crucial areas of the shoe.

The midsole features Shock Spring cushioning technology located in the heel and forefoot for game enhancing response and cushioning. The Y-beam mid-foot support structure anchors the arch area of the foot with a TPU injection component. The featured K-EVA is a special formula EVA, included to provide maximized cushioning and enhanced durability of the midsole.

The upper is constructed from full grain leather with Dura-wrap to provide an extra line of defence against excessive toe-dragging. Stay tied laces ensure your laces stay tied at all times and Ortholite insole keeps feet cool with moisture management and anti-microbial properties. Heel-Grip minimises heel slippage contributing to comfort and stability.

Lateral stability is achieved by a skeletal support cage and a sturdy mid foot shank.MaterialLeather 100%						",76.49,9149,10704.33,K-SWISS Stabilor Omni Men's Tennis Shoes,K-SWISS,UK6;UK6.5;UK7;UK7.5;UK8.5;UK9.5;UK10;UK10.5,"http://products.activinstinct.com/y2011/m01/209570/56972870-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
8772-91184177,"
							The Glaciator SCD is designed to keep tennis player's feet cool and dry in the heat of a match.

Outsole: Non-marking, durable Aosta 7. 0 rubber with DragGuard in the toe and heel for extra durability. Clay-friendly herringbone tread pattern.

Midsole: Shock Spring cushioning technology in the heel and forefoot. HDC-Heat Deflection Core: a heat-deflecting material that is placed from heel to toe in the midole to deflect surface heat away from the foot. The unique Fautex technology in the collar lining wicks away moisture from the foot.

Upper: Perforated mesh upper with screen vents and portholes that allow for total ventilation. DuraWrap XD high-abrasion toe guard. Stay-Tied laces to keep laces tied and Ortholite
insole. Heel-Grip lining to minimize heel slippage.						",71.99,8699,10177.83,K SWISS Glaciator SCD Ladies Tennis Shoes ,K,UK6;UK6.5;UK7.5,"http://products.activinstinct.com/y2008/m12/8772/8772-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
331613-03024-130-M,"
							The K-Swiss Bigshot Leather Men's Tennis Shoe is an extremely durable shoe designed to provide the recreational player with enhanced comfort and performance on court. This shoe features Guide Glide and a Propulsion plate ensuring you're never far away from victory on court.

The shoe is designed to offer unrivalled durability and comfort, featuring superb metatarsal rigidity and spring via the head propulsion plate. Designed with the K-Swiss 70 system a combination of technologies designed to deliver the highest levels of performance tennis products.

The featured SuperFoam technology is a space aged energy return foam that resists compression and lasts longer providing cushioning and comfort. The Aosta 70 rubber compound outsole features lateral support outrigger providing further comfort and support. Guideglide technology, a unique midsole construction that centres the foot from heel-to-toe, ensures a more comfortable and stable ride.

Fitted with K-Swiss Draguard technology, located in high wear areas of the toe and heel offer increased abrasion-resistance. Durawrap technology provides an extra line of defence against excessive toe-dragging. The Midsole is fitted with a superb arsenal of technologies. K-EVA specialized EVA provides maximized cushioning and enhanced durability.Y-beam technology, a mid-foot support structure, anchors the arch area with a TPU injection component.

The Featured heel grip lining, manufactured from interlocking fibres, grip the sock to help prevent slippage. Fitted with K-Swiss Stay-tied lacing system; this technology acts as a catch to ensure the laces remain tied, even during the toughest of games.

Ortholite utilises moisture management with anti-microbial properties to keep feet cool and minimise the effects of perspiration.MaterialRubber Synthetic Material 						",76.49,9149,10704.33,K-SWISS Bigshot Leather Men's Tennis Shoe,K-SWISS,UK6;UK7;UK7.5;UK8;UK8.5;UK9;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2012/m12/331613/83519182-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
401102-488144-109,"
							Designed to take on heated matches, the Nike Air Courtballistec 4.1 Men's Tennis Shoe is ultra-durable without sacrificing comfort. Perforations throughout help increase airflow, while wrapped synthetic leather keeps the foot protected. Nike Air cushioning provides a comfortable fit that helps absorb impact.

Benefits

Synthetic leather upper for lightweight durability and comfort
Molded overlay at the vamp for durability
Nike Air unit in the heel for cushioning
Midfoot shank for support and stability during quick movement and directional changes
Flex grooves at the outsole for flexibility and enhanced range of motion

Additional Details

Outsole wraps the upper for durability
Phylon midsole for lightweight cushioning
Multi-surface traction pattern for versatile tractionMaterialRubber Synthetic Material 						",58.49,7349,8598.33,NIKE Air Courtballistec 4.1 Men's Tennis Shoes,NIKE,UK6;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2014/m01/401102/76452280-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
395249-E303Y-0143,"
							The Asics Gel-Challenger 9 is a superb tennis shoe that benefits from a number of tennis specific technologies to give your feet the protection, support and comfort they need to endure a long match or intense training session.

Features and Benefits:

The Trusstic system is employed to reduce the weight of the sole unit while retaining the structural integrity of the shoe so you get excellent support combined with lightweight durability. It benefits from P-Guard, an abrasion and tear resistant synthetic material for increased upper durability.

With rearfoot and forefoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle. The perforated synthetic leather upper is both lightweight and comfortable enhancing performance and fit.

The Solyte midsole is a proprietary cushioning material that provides an exceptionally lightweight midsole with excellent bounce-back and durability.MaterialRubber Synthetic Material 						",69.99,8499,9943.83,ASICS Gel-Challenger 9 Men's Tennis Shoes,ASICS,UK6;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2013/m12/395249/39908358-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
395197-E400Y-4293,"
							This is the second version of the lightest tennis shoe on the market. Elite players will revel in the new lightweight upper, the GEL Cushioning System in heel and forefoot and the grip of the AHAR outsole.

Attenuates shock during impact and toe-off phases, and allows movement in multiple planes as the foot transitions through the gait cycle.

The shoe uses rearfoot and forefoot GEL Cushioning Systems to attenuate shock during impact and toe-off phases, and allow movement in multiple planes as the foot transitions through the gait cycle.

A Solyte Midsole, a spongy layer between the sole and upper absorbs shock and cushions the foot.

The Trusstic System reduces the weight of the sole unit while retaining the structural integrity of the shoe.

The sockliner can be removed to accommodate a medical orthotic.MaterialRubber Synthetic Material 						",103.99,11899,13921.83,ASICS Gel-Solution Speed 2 Men's Tennis Shoes,ASICS,UK6;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK11,"http://products.activinstinct.com/y2013/m12/395197/76072485-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
355651-E304Y-0142,"
							The Asics Gel-Challenger 9 is a superb tennis shoe that benefits from a number of tennis specific technologies to give your feet the protection, support and comfort they need to endure a long match or intense training session.

This OC shoe is suitable for all surfaces but in particular, grass courts.

Features and Benefits: The Trusstic system is employed to reduce the weight of the sole unit while retaining the structural integrity of the shoe so you get excellent support combined with lightweight durability. It benefits from P-Guard, an abrasion and tear resistant synthetic material for increased upper durability.

With rearfoot and forefoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle. The perforated synthetic leather upper is both lightweight and comfortable enhancing performance and fit.

The Solyte midsole is a proprietary cushioning material that provides an exceptionally lightweight midsole with excellent bounce-back and durability.MaterialRubber Synthetic Material 						",54.99,6999,8188.83,ASICS Gel-Challenger 9 OC Men's Tennis Shoes,ASICS,UK6;UK7;UK7.5;UK8;UK9;UK10;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2013/m04/355651/50537870-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
