Category,SKU,Variant,MRP,productname,stock,imgurl,Description
Park Tool,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Park Tool Team Issue Repair Stand"",""price"":""22000.0"",""sku"":""86421370"",""categories"":[""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""brand/park-tool""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 22,000.00",Park Tool Team Issue Repair Stand,Delivered in 15 to 20 business days,"/spree/products/680/product/TIR_4.jpg?1361686686,/spree/products/679/product/TIR_3.jpg?1361686671,/spree/products/677/product/TIR_1.jpg?1361686645,/spree/products/678/product/TIR_2.jpg?1361686658","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Designed from the ground up….literally…to create what we believe is the finest folding stand available. Lightweight, stable and packed with features:</p>
<ul>
<li>Quickly and easily folds to 47”</li>
<li>Clamping height adjusts up to 60”</li>
<li>Proprietary Hexatude hex-shaped aluminum tubing ensures low flex and no rotation</li>
<li>Aluminum leg straps ensure all parts slide, fold and unfold together</li>
<li>Weighs just 13 pounds (6 kg)</li>
</ul>
                
              </div>"
Park Tool,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Park Tool Threadless Saw Guide"",""price"":""2400.0"",""sku"":""86421353"",""categories"":[""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""brand/park-tool""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 2,400.00",Park Tool Threadless Saw Guide,Delivered in 15 to 20 business days,"/spree/products/648/product/SG_4.jpg?1361679736,/spree/products/649/product/SG_5.jpg?1361679752","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>The SG-6 Threadless Saw Guide ensures a straight, clean cut on 1"", 1-1/8"", and 1-1 4"" threadless forks. Simply clamp the SG-6 onto the fork and cut, letting the SG-6 guide the hacksaw blade. The SG-6’s non scratching composite body incorporates steel threads and a steel reinforcing plate to withstand the rigors of heavy shop use.</p>
<p>NOTE: SG-6 is intended for use with a steel hacksaw blade. For use of the ""diamond"" type blade use the SG-8 Threadless Saw Guide</p>
<div id=""right_column"" class=""column""> </div>
                
              </div>"
Park Tool,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Park Tool Tool Roll"",""price"":""3300.0"",""sku"":""86421587"",""categories"":[""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""brand/park-tool""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 3,300.00",Park Tool Tool Roll,Delivered in 15 to 20 business days,"/spree/products/868/product/toolroll.jpg?1367049429,/spree/products/869/product/toolroll2.jpg?1367049486,/spree/products/870/product/toolroll3.jpg?1367049507","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>The BTR-1 features the essential tools needed to fix a flat and make trail or roadside adjustments - all wrapped in a well-organized, protective tool roll. Just the right size to slide into most medium to large sized saddle bags and wedge packs. The BTR-1 includes the following:</p>
<ul>
<li>Nylon tool roll with cinch strap</li>
<li>PMP-3 Pocket Protector Micro Pump</li>
<li>IB-1 I-Beam Fold-up tool set</li>
<li>GP-2 Pre-Glued Patch Kit</li>
<li>TL-4 Tire Lever Set</li>
<li>TB-2 Emergency Tire Boot</li>
<li>High pressure inflation gauge</li>
</ul>
                
              </div>"
Park Tool,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Park Tool Valve Core Tool"",""price"":""600.0"",""sku"":""86421249"",""categories"":[""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""brand/park-tool""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 600.00,Park Tool Valve Core Tool,Delivered in 15 to 20 business days,"/spree/products/459/product/ValveCore_Tool_1.jpg?1360417303,/spree/products/460/product/ValveCore_Tool_2.jpg?1360417366,/spree/products/461/product/ValveCore_Tool_3.jpg?1360417419","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><div id=""center_column"">
<div id=""more_info_block"" class=""clear"">
<div id=""more_info_sheets"" class=""sheets align_justify"">
<div id=""idTab1"" class=""rte"">
<p>A<strong> </strong>small, handy tool designed to remove and install Schrader and Presta valve cores and to remove and install Presta valve extenders with 5mm wrench flats.</p>
<p><strong>Note:</strong> Not all Presta valve cores are removable.</p>
</div>
</div>
</div>
</div>
<div id=""right_column"" class=""column""> </div>
                
              </div>"
Accessories,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Park Tool Vulcanizing Patch Kit "",""price"":""100.0"",""sku"":""86421050"",""categories"":[""product/accessories"",""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""product/accessories""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 100.00,Park Tool Vulcanizing Patch Kit ,Delivered in 15 to 20 business days,"/spree/products/24/product/Patch_Kit.jpg?1349870394,/spree/products/170/product/park_vulcanizing_patch_kit.jpg?1350283313","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-family: 'trebuchet ms', geneva; font-size: small;"">The VP-1 Patch Kit includes six thin and flexible patches with tapered edges to blend with the tube’s profile.</span></p>
<p><span style=""font-family: 'trebuchet ms', geneva; font-size: small;"">Each kit is packaged in a small plastic box with sandpaper for cleaning the tube and instructions. Four round patches, 25 mm in diameter, for smaller holes Two oval patches, 25 mm x 35 mm, for wider cuts Self-vulcanizing fluid bonds the patch to the tube at the molecular level.</span></p>
                
              </div>"
�Head Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Paul Gino Light Mount"",""price"":""1800.0"",""sku"":""86421283"",""categories"":[""category/lights/head-lights"",""category/lights"",""category/lights/tail-lights""]},""category"":{""name"":""category/lights/head-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,800.00",Paul Gino Light Mount,Delivered in 15 to 20 business days,"/spree/products/531/product/Paul_1.jpg?1361041340,/spree/products/532/product/Paul_2.jpg?1361041356,/spree/products/533/product/Paul_3.jpg?1361041370","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Some of the best ideas are the simplest, and the Gino Light Mount is a clever part with a simple design.<br>The Gino Light Mount can be used to mount lights to any M5 threaded eyelet, rackmount, or braze on.<br>By mounting a light at mid-fork or dropout eyelets, it casts light on the ground at a much shallower angle, better revealing contours and bumps in the road.</p>
                
              </div>"
Accessories,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""PDW Takeout Basket w/Roll-Top Bag"",""price"":""9499.0"",""sku"":""86421207"",""categories"":[""product/accessories"",""category/touring"",""brand/pdw""]},""category"":{""name"":""product/accessories""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 9,499.00",PDW Takeout Basket w/Roll-Top Bag,Delivered in 15 to 20 business days,"/spree/products/382/product/PDW_Takeout_1.jpg?1359872798,/spree/products/383/product/PDW_Takeout_2.jpg?1359872839","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Take a trip to the corner store and secure a six pack of bottles in the roll top bag, or keep a food stash and extra layer of clothing handy for a day long gravel road ramble or a night on the town. The Takeout™ also features an eyelet for attaching light brackets and a spot to drop your u-lock.</p>
<ul>
<li>Fits 25.4-31.8mm handlebars (even fits between drop bars)</li>
<li>Waterproof roll top bag clips securely into basket</li>
<li>Eyelet for attaching light mount</li>
<li>Integrated u-lock carrying slot</li>
<li>Rugged light weight 10 mm alloy tubes</li>
<li>Rack weight without bag: 500g</li>
<li>Inside of basket: 155mm x 255mm x 105mm</li>
</ul>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros 13mm Cone Wrench"",""price"":""720.0"",""sku"":""86421842"",""categories"":[""product/accessories"",""category/bike-care"",""brand/pedros"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 720.00,Pedros 13mm Cone Wrench,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h3>Shop Quality Cone Wrench</h3>
<ul>
<li>Designed to stand up to the harsh conditions of professional use</li>
<li>Superior material and heat treatment outlast the competition</li>
<li>Precision laser cut design with ergonomic cushioned grip</li>
</ul>
<p><span>The cone wrench is an essential tool in bicycle mechanics simply being the only tool available for adjusting many hubs on the market. Pedro's cone wrenches provide professional quality, precision fit wrenches required to properly install, remove, and adjust hubs. Pedro's cone wrenches are made from 2mm thick, precision laser cut, heat-treated tool steel for the ultimate in strength and long-lasting performance and are commonly revered for outlasting many other ""shop"" quality cones wrenches. Pedro's designed each cone wrench to fit perfectly protecting the hub and ensuring simple and safe usage for the mechanic. Each ergonomically designed flat wrench also features a single-ended design with cushioned grip to provide maximum leverage &amp; comfort. Pedro's cone wrenches are available in 13, 14, 15, 16, 17, 18, 19, and 20mm sizes. </span></p>
<p> </p>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros 15mm Cone Wrench"",""price"":""720.0"",""sku"":""86421843"",""categories"":[""product/accessories"",""category/bike-care"",""brand/pedros"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 720.00,Pedros 15mm Cone Wrench,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><ul>
<li>Designed to stand up to the harsh conditions of professional use</li>
<li>Superior material and heat treatment outlast the competition</li>
<li>Precision laser cut design with ergonomic cushioned grip</li>
</ul>
<p><span>The cone wrench is an essential tool in bicycle mechanics simply being the only tool available for adjusting many hubs on the market. Pedro's cone wrenches provide professional quality, precision fit wrenches required to properly install, remove, and adjust hubs. Pedro's cone wrenches are made from 2mm thick, precision laser cut, heat-treated tool steel for the ultimate in strength and long-lasting performance and are commonly revered for outlasting many other ""shop"" quality cones wrenches. Pedro's designed each cone wrench to fit perfectly protecting the hub and ensuring simple and safe usage for the mechanic. Each ergonomically designed flat wrench also features a single-ended design with cushioned grip to provide maximum leverage &amp; comfort. Pedro's cone wrenches are available in 13, 14, 15, 16, 17, 18, 19, and 20mm sizes. </span></p>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros 17mm Cone Wrench"",""price"":""720.0"",""sku"":""86421844"",""categories"":[""product/accessories"",""category/bike-care"",""brand/pedros"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 720.00,Pedros 17mm Cone Wrench,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h3>Shop Quality Cone Wrench</h3>
<ul>
<li>Designed to stand up to the harsh conditions of professional use</li>
<li>Superior material and heat treatment outlast the competition</li>
<li>Precision laser cut design with ergonomic cushioned grip</li>
</ul>
<p><span>The cone wrench is an essential tool in bicycle mechanics simply being the only tool available for adjusting many hubs on the market. Pedro's cone wrenches provide professional quality, precision fit wrenches required to properly install, remove, and adjust hubs. Pedro's cone wrenches are made from 2mm thick, precision laser cut, heat-treated tool steel for the ultimate in strength and long-lasting performance and are commonly revered for outlasting many other ""shop"" quality cones wrenches. Pedro's designed each cone wrench to fit perfectly protecting the hub and ensuring simple and safe usage for the mechanic. Each ergonomically designed flat wrench also features a single-ended design with cushioned grip to provide maximum leverage &amp; comfort. Pedro's cone wrenches are available in 13, 14, 15, 16, 17, 18, 19, and 20mm sizes. </span></p>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros 5mm Hex Driver"",""price"":""650.0"",""sku"":""86421821"",""categories"":[""product/accessories"",""category/bike-care"",""brand/pedros"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 650.00,Pedros 5mm Hex Driver,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h3>Hex Wrench with Handle</h3>
<ul>
<li>Perfect for the common 5mm hex hardware found on every modern bicycle</li>
<li>Ergonomic dual-density screw driver handle</li>
<li>Features extra long hex key and second ball-end</li>
<li>Designed to stand up to the harsh conditions of professional use</li>
</ul>
<p><span>The 5mm hex is by far, the most common size hex found on modern bicycles. Inspired by our other hex driver sizes, which are some of the most comfortable and ergonomic hex wrenches we've ever used, we decided to bring you these features in the common 5mm size. Features include an ergonomic dual-density screw driver handle for comfort and control, an extra long hex key for exceptional leverage, a second ball end for quick and easy installation or removal, and heat-treated S2 tool steel construction for the ultimate in strength and long-lasting performance. </span></p>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros 6mm Hex Pedal Driver"",""price"":""700.0"",""sku"":""86421835"",""categories"":[""product/accessories"",""category/bike-care"",""brand/pedros"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 700.00,Pedros 6mm Hex Pedal Driver,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h3>Hex Pedal Wrench with Handle</h3>
<ul>
<li>Specifically designed for quick and easy installation and removal of pedals</li>
<li>Ergonomic dual-density screw driver handle</li>
<li>Features extra long hex key and second ball-end</li>
<li>Designed to stand up to the harsh conditions of professional use</li>
</ul>
<p><span>Pedals featuring a back-side hexagon broach are now standard on many modern bicycles in 6mm and 8mm sizes. Pedro's led the way with our 6mm hex pedal driver specifically designed for quick-and-easy pedal installation and removal. Features include an ergonomic dual-density screw driver handle for comfort and control, an extra long hex key for exceptional leverage, a second ball end for quick and easy installation or removal, and heat-treated S2 tool steel construction for the ultimate in strength and long-lasting performance.</span></p>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros Apprentice tool box"",""price"":""14800.0"",""sku"":""86421819"",""categories"":[""product/accessories"",""category/bike-care"",""brand/pedros"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 14,800.00",Pedros Apprentice tool box,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><div class=""individualProduct"">
<h3>Portable Tool Kit</h3>
<ul>
<li>Heavy-duty blow-molded plastic case</li>
<li>Durable EVA foam inserts custom designed for each tool</li>
<li>Perfect for the car, traveling to an event, or a minimalist home shop setup</li>
<li>Includes 22 tools offering 32 functions</li>
</ul>
<p><span>Inspired by Pedro's unrivaled MTK, the new Apprentice Tool Kit offers 22 handpicked professional tools enclosed in a high quality, blow-molded hard case. This ultra-portable tool kit leverages the versatility of Pedro's hand tools to provide 32 functions covering an impressive range of installations and repairs making it perfect for the professional or enthusiast. Each tool has its own custom designed location cut into durable EVA foam keeping the kit organized and your tools easy to find. Designed for easy transport and efficient storage, the Apprentice Tool Kit is perfect for the car, taking to events, or a minimalist home shop setup. </span></p>
<p><br><span>Tool List</span><br><span>• 7pc L Hex Set w/ Holder: 1.5, 2, 2.5, 3, 4, 5, and 6mm hex sizes</span><br><span>• 8mm L Hex</span><br><span>• Y-Torx, T10,T25,T30</span><br><span>• Tire Lever Pair - Yellow</span><br><span>• Splined Bottom Bracket Socket</span><br><span>• Cassette Lockring Socket</span><br><span>• Bottom Bracket Wrench</span><br><span>• Phillips #2 Screwdriver</span><br><span>• Flat 5.5mm Screwdriver</span><br><span>• Universal Crank Puller</span><br><span>• Equalizer Pedal Wrench w/ 24mm Socket</span><br><span>• Six-Pack Chain Tool with Spoke Wrenches (3.2, 3.3 and 3.5mm)</span><br><span>• Cable Cutter</span><br><span>• Cog Wrench</span><br><span>• Toothbrush</span></p>
</div>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros BB Socket - ISIS compatible"",""price"":""990.0"",""sku"":""86421837"",""categories"":[""product/accessories"",""category/bike-care"",""brand/pedros"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 990.00,Pedros BB Socket - ISIS compatible,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h3>Holder Tool for Splined BB Socket</h3>
<ul>
<li>Holds socket tool to BB axle to eliminate slippage during removal and installation</li>
<li>Works with square taper and splined axles with M8 or M15 internal spindle thread</li>
<li>Made from heat-treated tool steel for the ultimate in strength and long-lasting performance</li>
<li>Use with Pedro's Splined Bottom Bracket Socket. Compatible with Pedro's Pro Socket Handle.</li>
</ul>
<p><span>If you have even battled with an over-tightened Shimano® and ISIS Drive® splined bottom bracket cup, you know why Pedro's created the BB Socket Holder. Though these types of bottom brackets proved themselves as the standard for many years and continue to be found on many bikes, the tendency for these shallow splines to slip during removal or installation has resulted in more than a few expletives, high frustration levels, and worst of all, injuries. The Pedro's BB Socket Holder provides a simple, shop quality tool that solves this problem. </span></p>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros BB Socket Holder"",""price"":""720.0"",""sku"":""86421839"",""categories"":[""product/accessories"",""category/bike-care"",""brand/pedros"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 720.00,Pedros BB Socket Holder,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span>Pedros Bottom Bracket Socket Holder securely holds the socket to the bottom bracket axle for easier removal and installation.  Works with both tapered and splined axles, and compatible with Pedros Pro Socket Wrench.</span></p>
                
              </div>"
Accessories,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros Beverage Wrench"",""price"":""600.0"",""sku"":""86421846"",""categories"":[""product/accessories"",""brand/pedros""]},""category"":{""name"":""product/accessories""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 600.00,Pedros Beverage Wrench,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h3>Shop Quality Bottle Opener</h3>
<ul>
<li>Precision laser-cut, heat-treated tool steel construction</li>
<li>Ergonomically designed for maximum leverage and comfort</li>
<li>Compatible with domestic and imported beers</li>
</ul>
<p><span>We dug deep to design this essential shop tool. Pulling inspiration for across our innovative tool lineup, you will find this to be the best shop quality bottle opener available. After all, sometimes you need a little inspiration to fix that derailleur that just won't shift right no matter what you try! A must for every tool box or gear bag. Compatible with both domestic and imported beers and the more you use it, the better it works...or at least it seems that way! </span></p>
<p> </p>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros Bike Lust 16 Oz"",""price"":""1130.0"",""sku"":""86421800"",""categories"":[""product/accessories"",""category/bike-care"",""brand/pedros"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,130.00",Pedros Bike Lust 16 Oz,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><div class=""individualProduct"">
<h3>Silicone Bike Polish and Cleaner</h3>
<ul>
<li>Provides superior shine and protection against UV damage, dirt, and water</li>
<li>Biodegradable cleaner removes dirt and grime as you polish</li>
<li>Makes future cleaning quicker and easier!</li>
<li>Also great on inner rim surfaces for seating tubeless tires</li>
</ul>
<p> </p>
<p><span>Is your bike starting to lose its shine? Bike Lust polish uses a proprietary silicone formula to make any bike shine like new and makes future cleaning quicker and easier! Bike Lust goes on wet and dries into a beautiful coating that protects against UV damage, dirt, and water. Bike Lust also includes a biodegradable cleaner to remove light dirt and grime as it polishes. It is great for all materials and finishes including matte finishes, carbon fiber, and even on tires to help shed mud! </span><br><br><span>A lesser known but fantastic use for Bike Lust is for mounting of tubeless tires on UST rims. These UST rims require the tire bead to properly seat and can often require frighteningly high pressure to do so. Polishing the inner surface of rim with Bike Lust before mounting your tire provides a super slippery surface to help the tire seat more easily and with less pressure! Make sure NOT to hit braking surfaces if you are running rim brakes!</span></p>
</div>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros Bio-Grease 3 Oz"",""price"":""450.0"",""sku"":""86421801"",""categories"":[""product/accessories"",""category/bike-care"",""brand/pedros"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 450.00,Pedros Bio-Grease 3 Oz,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h3>Biodegradable Bicycle Grease</h3>
<ul>
<li>Multi-purpose, NLGI #2, extreme pressure, biodegradable, lithium bicycle grease</li>
<li>Formulated to provide excellent oxidative stability, corrosion protection, and extreme pressure/anti-wear protection</li>
<li>Recommended for assembly applications including threads and component interfaces</li>
<li>Biodegradable formula safe for you and the environment</li>
</ul>
<p>Used everywhere from the threads of hardware to the interface between mating components, grease has a tough job when it comes to bicycles. Choosing the correct grease is essential to protect key parts from corrosion and wear, provide high efficiency, and ensure it lasts between servicing in the extreme conditions bicycles encounter. Since cycling occurs outside, it is also important to consider the environmental impact of the grease you choose. Bio Grease is up to the challenge. Bio Grease is new and improved for 2013. The improved formula is a multi-purpose, NLGI #2, extreme pressure, biodegradable lithium bicycle grease formulated to have excellent dropping point, water resistance, and stability over a wide range of temperatures. Bio Grease is also formulated to provide excellent oxidative stability, corrosion protection, and extreme pressure/anti-wear protection. Bio Grease is excellent for assembly tasks, great for threads, ensuring accurate torque and protecting against corrosion, and great for component interfaces, ensuring easy adjustment and removal and again preventing corrosion. As a bonus, the biodegradable formula will not harm the environment, naturally biodegrading, if any ever makes its way off your bike during riding, washing, or overhauls.</p>
<p> </p>
<div class=""jwts_clearfix""> </div>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Pedros Cable Cutter"",""price"":""1940.0"",""sku"":""86421822"",""categories"":[""product/accessories"",""category/bike-care"",""brand/pedros"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,940.00",Pedros Cable Cutter,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h3>Bicycle Cable and Housing Cutter</h3>
<ul>
<li>Made from heat-treated tool steel to ensure the ultimate in strength and long-lasting performance</li>
<li>Ergonomic, cushioned grip, and high leverage design for comfort and ease of use</li>
<li>Quickly and cleanly cuts brake and derailleur cables, housing, and other wires</li>
</ul>
<p><span>Cable cutters are an essential tool used for some of the most fundemental elements on the bicycle. What seems like a simple tool can often be the root of frustation when poor cut quality ruins a brand new cable, crimps housing shut, or leaves strands uncut. The Pedro's Cable Cutter is an industry favorite and when put to the test against the competition and you will quickly see why. Our cable is designed for years of service, for comfortable and easy usage, and with extra jaw overlap ensuring a clean cut every time. </span></p>
                
              </div>"
