Description,MRP,SP,Variant,,productname,imgurl,,
"Spacious wells are designed with a modern set configuration in mind, with larger tops and bottoms to accommodate more hybrids and wedges. The bag top is made of high-impact polypropylene and its anti-flex walls ensure long-lasting durability for extended use and enjoyment. A reinforced bracket with a leg stop utilizes a glass-reinforced polymer for extra strength, and ensures the legs won't splay. At around 4 pounds, the 4 Series offers six convenient pockets, including a velour-lined valuables pocket. Dual sliding, adjustable straps make the bag easy to take on and off, and to carry it backpack style or with a single strap. A leg-retention strap keeps the legs tight to the bag to prevent leg droop while walking.Four-way top with anti-flex wallsSix pockets, including water-bottle pocketCarries easily with a single strap or backpack styleVelour-lined valuables pocketApproximately 4 lbs. Leg bracket reinforced with glass polymer for strengthUmbrella holder, towel loop, rain hoodDual sliding shoulder pads with adjustable strapsDesigned for optimal balanceLeg retention strapStrap slider for a backpack-style fitPremium YKK zippers",,12500,Black/Red ;,,Ping 4 Series Stand Bag,golfessentials.in/images/ping/bags/4series_black_red/1.jpg,golfessentials.in/images/ping/bags/4series_black_red/2.jpg,
"Designed to satisfy the convenience and organizational needs of the player, while also maintainig a lightweight and classic silhouette, the San Clemente cart bag enables exceptional performance.14-way stadium Design TopFull length dividers10 Total pockets invluding dual Velour Lined valuables pockets with internal key/ring clipintegrated putter tubeAccordion expandable side pocketsSoft touch front handlesIntegrated trunk handle5.5 lbs. 1 FAS-TEK receivers",12000,11975,Black/Red/White ;,,TaylorMade San Clemente Cart Bag,golfessentials.in/images/taylormade/bags/san_clemente_white/1.jpg,golfessentials.in/images/taylormade/bags/san_clemente_white/2.jpg,golfessentials.in/images/taylormade/bags/san_clemente_white/3.jpg
"Spacious wells are designed with a modern set configuration in mind, with larger tops and bottoms to accommodate more hybrids and wedges. The bag top is made of high-impact polypropylene and its anti-flex walls ensure long-lasting durability for extended use and enjoyment. A reinforced bracket with a leg stop utilizes a glass-reinforced polymer for extra strength, and ensures the legs won't splay. At around 4 pounds, the 4 Series offers six convenient pockets, including a velour-lined valuables pocket. Dual sliding, adjustable straps make the bag easy to take on and off, and to carry it backpack style or with a single strap. A leg-retention strap keeps the legs tight to the bag to prevent leg droop while walking.Four-way top with anti-flex wallsSix pockets, including water-bottle pocketCarries easily with a single strap or backpack styleVelour-lined valuables pocketApproximately 4 lbs. Leg bracket reinforced with glass polymer for strengthUmbrella holder, towel loop, rain hoodDual sliding shoulder pads with adjustable strapsDesigned for optimal balanceLeg retention strapStrap slider for a backpack-style fitPremium YKK zippers",,12500,Black/White ;,,Ping 4 Series Stand Bag,golfessentials.in/images/ping/bags/4series_black_white/1.jpg,golfessentials.in/images/ping/bags/4series_black_white/2.jpg,
"Spacious wells are designed with a modern set configuration in mind, with larger tops and bottoms to accommodate more hybrids and wedges. The bag top is made of high-impact polypropylene and its anti-flex walls ensure long-lasting durability for extended use and enjoyment. A reinforced bracket with a leg stop utilizes a glass-reinforced polymer for extra strength, and ensures the legs won't splay. At around 4 pounds, the 4 Series offers six convenient pockets, including a velour-lined valuables pocket. Dual sliding, adjustable straps make the bag easy to take on and off, and to carry it backpack style or with a single strap. A leg-retention strap keeps the legs tight to the bag to prevent leg droop while walking.Four-way top with anti-flex wallsSix pockets, including water-bottle pocketCarries easily with a single strap or backpack styleVelour-lined valuables pocketApproximately 4 lbs. Leg bracket reinforced with glass polymer for strengthUmbrella holder, towel loop, rain hoodDual sliding shoulder pads with adjustable strapsDesigned for optimal balanceLeg retention strapStrap slider for a backpack-style fitPremium YKK zippers",,12500,Black ;,,Ping 4 Series Stand Bag,golfessentials.in/images/ping/bags/4series_black/1.jpg,golfessentials.in/images/ping/bags/4series_black/2.jpg,
"9.5 Inch Graphite Friendly Top, with Moulded Grab Handle, 14-Way Divider system with 3 Full Length Dividers9 Pockets -Twin Full Length Apparel Pockets, Soft Lined Valuables Pocket with Waterproof Zipper, Scorecard Pocket, Wet Pocket, Upper Dry Pocket with Waterproof Zipper. Insulated Drinks Pocket, Ball Pocket and Accessory Pocket. Carry Handle with Base Grab Handle and Trolley Friendly BaseWeight - 3.63 kgDurable 95% Nylon &amp; 5% PU Material",12990,12490,Black/Red/White ;,,Callaway 2013 Euro Chev Luxury Cart Bag,golfessentials.in/images/callaway/bags/euro_chev/1.jpg,,
"The versatile Latitude combines the convenience of a carry bag with the functionality of a cart bag. The six-way mesh-covered top is made of high-impact polypropylene and features anti-flex walls that support two full-length dividers and a molded putter well. A water-bottle pocket and valuables pocket are among 10 pockets. Enhanced Ergonomics (E2) includes dual sliding shoulder pads with adjustable straps optimize balance and comfort. A reinforced bracket with leg stop keeps the bag solidly deployed, and a leg-retention system keeps the legs snug to the bag. A strap slider provides a convenient backpack-style fit and makes the bag easy to take on and off during a round.Six-way top with anti-flex wallsHigh-impact polypropylene bag top10 conveniently located pocketsWater-resistant, velour-lined valuables pocketRange-finder, water-bottle pocketsApproximately 5.5 lbs. Leg bracket reinforced with glass polymer for strengthMolded putter wellDual sliding shoulder pads with adjustable strapsDesigned for optimal balanceLeg-retention strapStrap slider for a backpack-style fitUmbrella holder, towel loop, rain hoodPremium YKK zippersDurable nylon/polyester fabrics",,15500,Black/Red ;,,Ping Latitude Stand Bag,golfessentials.in/images/ping/bags/latitude_black_red/1.jpg,golfessentials.in/images/ping/bags/latitude_black_red/2.jpg,
"9 pockets, including a velour-lined valuables pocket and a water bottle pocketRedesigned lightweight molded baseBall alignment zipper pull and elastic towel cordScorecard and pen holderHook &amp; loop glove patchRain hood and umbrella cord",10990,10875,Blue/Silver ;,,Callaway Virginia Cart Bag,golfessentials.in/images/callaway/bags/virginia_blue/1.jpg,golfessentials.in/images/callaway/bags/virginia_blue/2.jpg,golfessentials.in/images/callaway/bags/virginia_blue/3.jpg
"The versatile Latitude combines the convenience of a carry bag with the functionality of a cart bag. The six-way mesh-covered top is made of high-impact polypropylene and features anti-flex walls that support two full-length dividers and a molded putter well. A water-bottle pocket and valuables pocket are among 10 pockets. Enhanced Ergonomics (E2) includes dual sliding shoulder pads with adjustable straps optimize balance and comfort. A reinforced bracket with leg stop keeps the bag solidly deployed, and a leg-retention system keeps the legs snug to the bag. A strap slider provides a convenient backpack-style fit and makes the bag easy to take on and off during a round.Six-way top with anti-flex wallsHigh-impact polypropylene bag top10 conveniently located pocketsWater-resistant, velour-lined valuables pocketRange-finder, water-bottle pocketsApproximately 5.5 lbs. Leg bracket reinforced with glass polymer for strengthMolded putter wellDual sliding shoulder pads with adjustable strapsDesigned for optimal balanceLeg-retention strapStrap slider for a backpack-style fitUmbrella holder, towel loop, rain hoodPremium YKK zippersDurable nylon/polyester fabrics",,15500,Black ;,,Ping Latitude Stand Bag,golfessentials.in/images/ping/bags/latitude_black/1.jpg,golfessentials.in/images/ping/bags/latitude_black/2.jpg,
"Spacious wells are designed with a modern set configuration in mind, with larger tops and bottoms to accommodate more hybrids and wedges. The bag top is made of high-impact polypropylene and its anti-flex walls ensure long-lasting durability for extended use and enjoyment. A reinforced bracket with a leg stop utilizes a glass-reinforced polymer for extra strength, and ensures the legs won't splay. At around 4 pounds, the 4 Series offers six convenient pockets, including a velour-lined valuables pocket. Dual sliding, adjustable straps make the bag easy to take on and off, and to carry it backpack style or with a single strap. A leg-retention strap keeps the legs tight to the bag to prevent leg droop while walking.Four-way top with anti-flex wallsSix pockets, including water-bottle pocketCarries easily with a single strap or backpack styleVelour-lined valuables pocketApproximately 4 lbs. Leg bracket reinforced with glass polymer for strengthUmbrella holder, towel loop, rain hoodDual sliding shoulder pads with adjustable strapsDesigned for optimal balanceLeg retention strapStrap slider for a backpack-style fitPremium YKK zippers",,12500,Navy Blue ;,,Ping 4 Series Stand Bag,golfessentials.in/images/ping/bags/4series_navy/1.jpg,golfessentials.in/images/ping/bags/4series_navy/2.jpg,
"Titleist Sporty Classic Cart Bag

Cart Bag Features
 
9.5"" Top-cuff 
PU Leather Material 
Matching Zippered Rainhood

Pockets 

Velour-Lined, Zippered Accessory Pocket 
Wide Ball Pocket 
Large, Easy Entry Pocket 
Useful Small Article-in-Pocket
 
Top-Cuff 

5-Way Club Dividers, Boxed Full-Length 
Full-Wrap, Padded Mesh Top-Cuff and Dividers
",,19900,White ;,,Titleist Sporty Classic Cart Bag,golfessentials.in/images/titleist/bags/sporty_classic_cart/1.jpg,golfessentials.in/images/titleist/bags/sporty_classic_cart/2.jpg,
"The Nike Xtreme Sport IV Golf Bag: Convenient carry all

The Nike Xtreme Sport IV Golf Bag is a course essential. With spacious storage for clubs and gear, this bag has a place for everything. Designed to stand up to wear and tear on the course, this bag is easy to carry and lightweight.

Benefits

8-way, 3 full-length divider system for optimal club storage
Multiple pockets with 6 zip closures for secure storage
Water-resistent, fleece-lined valuables pocket for secure storage
Full-length apparel pocket and mesh water bottle pocket for specialised storage
Revolving double strap system for customized carrying comfort
Ventilated mesh back pad for comfortable carrying

Additional Details

9-inch oval top
Integrated tee and range finder with GPS loop
Matching rain hood included for protection",,12900,Black/Hyper Red/Tartan ;,,Nike Xtreme Sport IV - Black/Hyper Red,golfessentials.in/images/nike/bags/xtreme_sport_iv_hyperred/1.jpg,,
