Description,MRP,SP,Variant,,productname,imgurl
"The new Cleveland 7 Iron, is an all-ability golf club set, with patented Micro-cavities technology. With this new technology, the golf iron has a lighter top line and a lowered centre of gravity. Also with the shape of the Cleveland 7 Iron, the game gets improved because of a wider hitting area. With VAS in place for the last decade, the Cleveland 7 Iron has the ability to absorb and ride out the initial impact created by contact with the golf ball. All in all, the Cleveland TA7 Iron is mechanics meets beauty that raises the game a notch higher.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"35,000",Right Handed UniFlex ;,,Cleveland Tour Action TA7 Iron Set (4-D) Steel Shaft,"http://golfessentials.in/images/cleveland/irons/tour_action_ta7/1_thumb.jpg,http://golfessentials.in/images/cleveland/irons/tour_action_ta7/2_thumb.jpg"
"Advanced Material Placement enables customized distance and accuracy in each individual iron. Advanced Material Placement and E9 Face Technology combine to make this a versatile iron for players of all abilities.ESSENTIALSE9 Face TechnologyV Skid SoleAdvanced Material PlacementHEAD MATERIALIrons #4-7: 2-piece multi-alloy: 17-4 High Strength Steel face plasma welded to 431 Stainless Steel bodyIrons #8-SW: 1-piece 431 Stainless SteelNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"8,200",Right Handed Regular NS Pro 950 GH ; Right Handed Regular NS Pro 950 GH ; Right Handed Stiff NS Pro 950 GH ; Right Handed Stiff NS Pro 950 GH ;,,Cobra AMP Single Iron - Steel Shaft,"http://golfessentials.in/images/cobra/irons/amp/1_thumb.jpg,http://golfessentials.in/images/cobra/irons/amp/2_thumb.jpg,http://golfessentials.in/images/cobra/irons/amp/3_thumb.jpg"
"The new Cleveland 7 Iron, is an all-ability golf club set, with patented Micro-cavities technology. With this new technology, the golf iron has a lighter top line and a lowered centre of gravity. Also with the shape of the Cleveland 7 Iron, the game gets improved because of a wider hitting area. With VAS in place for the last decade, the Cleveland 7 Iron has the ability to absorb and ride out the initial impact created by contact with the golf ball. All in all, the Cleveland TA7 Iron is mechanics meets beauty that raises the game a notch higher.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"35,000",Right Handed UniFlex ;,,Cleveland Tour Action TA7 Iron Set (4-D) Graphite Shaft,"http://golfessentials.in/images/cleveland/irons/tour_action_ta7/1_thumb.jpg,http://golfessentials.in/images/cleveland/irons/tour_action_ta7/2_thumb.jpg"
"The Callaway X Hot Iron's renowned accuracy is just the beginning with an undercut cavity and Speed Frame Face Technology that make this Callaway's longest iron ever. The low, deep center of gravity creates long distance without sacrificing trajectory or stopping power while new feel management technology promotes crisp, dynamic feel at higher ball speeds.Crafted by Callaway Chief Designer Roger Cleveland with direct input from Callaway's players, these irons provide the ultimate in feel and performance that you can only get in a pure Forging. The Triple Net Forging process allows for more aggressive grooves and extreme precision to create the feel, ball flight and turf interaction that the very best players prefer.Speed Frame Face Technology: A combination of VFT and Hyperbolic Face Technology creates a larger sweet spot and increases ball speeds across the face for longer, more consistent distance. This technology is borrowed from the X Hot Driver and has been applied to the irons.Deep Undercut Cavity Design: The deep clubface/undercut cavity system enables engineers to precisely position the CG, increase face compliance and engineer the face of each individual iron to maximize ball speed. Feel Management Technology is produced through a dual material medallion that fine-tunes sound and promotes a crisp, dynamic feel at higher ball speeds. Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"54,990",Right Handed Regular X Hot Graphite ;,,Callaway X Hot Iron Set (4-S) Graphite ,"http://golfessentials.in/images/callaway/irons/xhot/1_thumb.jpg,http://golfessentials.in/images/callaway/irons/xhot/2_thumb.jpg"
"More distance in every club, from the 4-iron to the sand wedge, these new irons have earned their name. Engineered with metalwood construction and fast-flexing faces. Attack from anywhere with maximum ball speed and pinpoint accuracy.Individually engineered to promote more distance, improved accuracy and great feelTwo-piece metalwood-inspired construction in 4 and 5 irons for low CG and high CORUltra-thin face flexes freely to promote COR up to the USGA limit for high ball speedRe-engineered face with New Toe-Bar controls face-flexion to direct shots straighterNew vibration and sound control system promotes excellent feel and soundWedges incorporate new ATV sole for maximum versatility and playabilityNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"39,000",Right Handed Regular RBZ Steel 85 ; Left Handed Regular RBZ Steel 87 ; Right Handed Stiff RBZ Steel 86 ;,,TaylorMade RBZ HP Iron Set (4-S) Steel Shaft,"http://golfessentials.in/images/taylormade/irons/rbz/1_thumb.jpg,http://golfessentials.in/images/taylormade/irons/rbz/2_thumb.jpg,http://golfessentials.in/images/taylormade/irons/rbz/3_thumb.jpg"
"The Callaway X Hot Iron's renowned accuracy is just the beginning with an undercut cavity and Speed Frame Face Technology that make this Callaway's longest iron ever. The low, deep center of gravity creates long distance without sacrificing trajectory or stopping power while new feel management technology promotes crisp, dynamic feel at higher ball speeds.Crafted by Callaway Chief Designer Roger Cleveland with direct input from Callaway's players, these irons provide the ultimate in feel and performance that you can only get in a pure Forging. The Triple Net Forging process allows for more aggressive grooves and extreme precision to create the feel, ball flight and turf interaction that the very best players prefer.Speed Frame Face Technology: A combination of VFT and Hyperbolic Face Technology creates a larger sweet spot and increases ball speeds across the face for longer, more consistent distance. This technology is borrowed from the X Hot Driver and has been applied to the irons.Deep Undercut Cavity Design: The deep clubface/undercut cavity system enables engineers to precisely position the CG, increase face compliance and engineer the face of each individual iron to maximize ball speed. Feel Management Technology is produced through a dual material medallion that fine-tunes sound and promotes a crisp, dynamic feel at higher ball speeds. Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"47,990",Right Handed Regular Speed Step 85 ;,,Callaway X Hot Iron Set (3-P) Steel ,"http://golfessentials.in/images/callaway/irons/xhot/1_thumb.jpg,http://golfessentials.in/images/callaway/irons/xhot/2_thumb.jpg"
"Forged from soft 1025 carbon steel, the Cobra S3 Pro Irons are two sets in one. Long and mid-irons (3- through 6-iron) are cavity-back weighted for forgiveness. Short irons (7-PW) sport a muscle-back design for workability and trajectory control. All of the irons feature a glare-reducing, soft satin finish  the preferred look for many PGA Tour players.ESSENTIALSCavity-back Long and Mid-IronsMuscle-back Short IronsSoft Satin FinishPLAYER PROFILELow-handicap golfers seeking improved control and workability in a Tour-proven design.HEAD MATERIALForged 1025 Carbon SteelNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 49,500","47,520",Right Handed Stiff NS Pro 950 GH ; Right Handed Stiff Dynamic Gold S200 ;,,Cobra S3 Pro Iron Set (3-P) Steel Shaft,"http://golfessentials.in/images/cobra/irons/s3_pro/1_thumb.jpg,http://golfessentials.in/images/cobra/irons/s3_pro/2_thumb.jpg"
"Longer, Straighter ShotsThe high-speed cavity back design allows for longer and straighter shots. With this hidden technology, Nike Golf engineers have been able to move the weight of the club to the corners, raising Moment of Inertia (MOI) to increase forgiveness and add even more distance to off-center shots.Higher Ball SpeedsThe NexCOR Face design and a thin, no-weld sole deliver higher ball speeds. NexCOR Face Technology produces faster, longer shots across a wider area of the face. It creates more speed at impact with a variable face thickness that increases the ball speed off the clubface, especially on the bottom half where players are most likely to make contact.Maximum Flight ControlA new X3X groove pattern brings more grooves closer together for maximum flight control and shot-to-shot consistency.Superior Turf InteractionThe dual-bevel sole allows the club to sit low to the golf ball and prevent digging. The sole make a clean cut through the grass, so interaction with the turf is less disturbing to the shot.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 49,000","46,499",Right Handed Regular True Temper ; Left Handed Regular True Temper ;,,Nike VRS Covert Steel Irons (4-AW),"http://golfessentials.in/images/nike/covert_irons/1_thumb.jpg,http://golfessentials.in/images/nike/covert_irons/2_thumb.jpg"
"The custom tuning port (CTP) is integrated into the sole to lower the mass and position the CG for long, high-launching, forgiving results. The CTP aligns directly with the impact area, allowing for a lower CG and a high MOI. Face support bars and low-toe weighting stabilize the face to ensure a solid feel and exceptional distance control throughout the set.A multi-material cavity badge made of aluminum and a soft elastomer ensures a solid sound and feel. The progressive sole widths provide higher-launching, more forgiving long irons, and short irons with added playability and control. Thinner top lines and moderate offset offer a look that will appeal to a wide variety of golfers looking for a high-launching, extremely forgiving game-improvement model.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"75,000",Right Handed Regular TFC 189I ; Left Handed Regular TFC 189I ; Right Handed Stiff TFC 189I ; Left Handed Stiff TFC 189I ;,,Ping G25 Iron Set (4-S) Graphite Shaft,"http://golfessentials.in/images/ping/irons/g25/1_thumb.jpg,http://golfessentials.in/images/ping/irons/g25/2_thumb.jpg,http://golfessentials.in/images/ping/irons/g25/3_thumb.jpg"
"Longer, Straighter ShotsThe high-speed cavity back design allows for longer and straighter shots. With this hidden technology, Nike Golf engineers have been able to move the weight of the club to the corners, raising Moment of Inertia (MOI) to increase forgiveness and add even more distance to off-center shots.Higher Ball SpeedsThe NexCOR Face design and a thin, no-weld sole deliver higher ball speeds. NexCOR Face Technology produces faster, longer shots across a wider area of the face. It creates more speed at impact with a variable face thickness that increases the ball speed off the clubface, especially on the bottom half where players are most likely to make contact.Maximum Flight ControlA new X3X groove pattern brings more grooves closer together for maximum flight control and shot-to-shot consistency.Superior Turf InteractionThe dual-bevel sole allows the club to sit low to the golf ball and prevent digging. The sole make a clean cut through the grass, so interaction with the turf is less disturbing to the shot.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 56,000","52,999",Right Handed Regular Kuro Kage Black ; Left Handed Regular Kuro Kage Black ;,,Nike VRS Covert Graphite Irons (4-AW),"http://golfessentials.in/images/nike/covert_irons/1_thumb.jpg,http://golfessentials.in/images/nike/covert_irons/2_thumb.jpg"
"The custom tuning port (CTP) is integrated into the sole to lower the mass and position the CG for long, high-launching, forgiving results. The CTP aligns directly with the impact area, allowing for a lower CG and a high MOI. Face support bars and low-toe weighting stabilize the face to ensure a solid feel and exceptional distance control throughout the set.A multi-material cavity badge made of aluminum and a soft elastomer ensures a solid sound and feel. The progressive sole widths provide higher-launching, more forgiving long irons, and short irons with added playability and control. Thinner top lines and moderate offset offer a look that will appeal to a wide variety of golfers looking for a high-launching, extremely forgiving game-improvement model.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"63,000",Right Handed Regular CFS ; Left Handed Regular CFS ; Right Handed Stiff CFS ; Left Handed Stiff CFS ;,,Ping G25 Iron Set (4-S) Steel Shaft,"http://golfessentials.in/images/ping/irons/g25/1_thumb.jpg,http://golfessentials.in/images/ping/irons/g25/2_thumb.jpg,http://golfessentials.in/images/ping/irons/g25/3_thumb.jpg"
"The longest stainless steel irons Callaway ever created. The Diablo Edge irons provide increased distance without compromising feel or performance. The lower, deeper center of gravity (CG) makes the sweet spot more accessible and is in line with where amateurs most commonly hit the ball on the clubface, generating longer, consistent distance and improved accuracy. Maximized Distance: A lower, deeper CG is designed to make the sweet spot more accessible at lower impact locations. This generates longer, more consistent distance and improves accuracy for more greens in regulation.Solid Impact Sole: Delivering smooth turf interaction, the sole is designed to mitigate the effects of heavy and thin shots and improve the impact location on the face for greater distance.Enhanced Feel and Performance: Callaway Golf core technologies like VFT, S2H2, a 360-Degree Undercut Channel and Modified Tru-Bore work together to maximize distance, feel and playability.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"28,500",Right Handed ;,,Callaway Diablo Edge Irons,"http://golfessentials.in/images/callaway/irons/diablo/1_thumb.jpg,http://golfessentials.in/images/callaway/irons/diablo/3_thumb.jpg"
"Consistent ball flights are created by the Anser's progressive stabilizing bar technology. Stabilizing bars in the back cavity out wider and are thinner in the long irons to locate the CG low for higher ball speed and initial launch angle. These bars get more vertical and are thickest in the short irons for penetrating ball flights with optimal spin. The bars also support the streamlined face design to help increase ball velocity for greater distance especially in the longer irons. This progressive set design features larger headsand more offset in the longer irons and progressively smaller heads with less offset through the short irons. The multi-material design features a soft 8620 steel body with a dense tungsten sole weight and an internal cavity above the sole positioned close to the face to optimize the CG and elevate MOI.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"125,000",Men Right Handed Regular Project X ;,,Ping Anser Forged Irons (3-P) Steel Shaft,"http://golfessentials.in/images/ping/irons/anser/1_thumb.jpg,http://golfessentials.in/images/ping/irons/anser/2_thumb.jpg,http://golfessentials.in/images/ping/irons/anser/3_thumb.jpg"
"Serene irons are available in 5 through pitching wedge, plus a 52° sand wedge. In the irons, weight in the perimeter and the back flange drive the CG low and back to make them easy to hit with a high trajectory. A floating CTP weight creates precise distance control with improved energy transfer for faster ball speeds and more distance.The 22° hybrid offer easy-to-hit alternatives for the 4 iron. By blending hybrids with perimeter-weighted irons, you can launch the ball higher for longer results and better distance gapping. More surface area low in the clubface to ensure clean contact, and generous camber to allow for a smooth transition through the grass.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"75,000",Ladies Right Handed Regular Ping ULT 201i ;,,"Ping Serene Ladies Iron-Hybrid Set (4H,5H,6H / 6-S) Graphite","http://golfessentials.in/images/ping/irons/serene/1_thumb.jpg,http://golfessentials.in/images/ping/irons/serene/2_thumb.jpg,http://golfessentials.in/images/ping/irons/serene/3_thumb.jpg"
"Only RocketBladez are powered by the Speed Pocket, the little thing that promotes radical increased speed and distance. These irons are the true blend of the feel the pros demand and the explosive distance amateurs crave. The Speed Pocket. If you don't have it, then you don't have it.The Speed Pocket has changed the iron forever.Speed Pocket in the 3- through 7-irons works with an advanced, ultra-thin face design toPromote consistently high ball speed and distance. Consistent distance with every iron made possible by careful management of the Speed Pocket, improved Inverted Cone shape and high MOI. 17.5 grams of weight is strategically redistributed to lower and center the CG location, promoting a higher launch angle, higher peak trajectory and a steep, soft-landing, quick-stopping descent angle. Fantastic feel promoted by a specially formulated polyurethane developed by 3M that fills the RBZ Speed Pocket and quiets vibration.SW has a re-designed cavity to promote feel, feature our renowned ATV sole for maximum greenside versatility, and come equipped with heavier steel shafts to promote better rhythm and control. Grip:Mens RBladez Grip 47.5gShaft size .370 tipNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 47,900","42,900",Right Handed Regular Rocketfuel 85 Steel ; Right Handed Stiff Rocketfuel 85 Steel ;,,TaylorMade RocketBladez Irons (4-S) Steel Shaft,"http://golfessentials.in/images/taylormade/irons/rbladez/1_thumb.jpg,http://golfessentials.in/images/taylormade/irons/rbladez/2_thumb.jpg,http://golfessentials.in/images/taylormade/irons/rbladez/3_thumb.jpg"
"Precise iron play means controlling both trajectory and distance to stop your shot near the pin. Titleist AP irons are precision engineered for optimum flight and distance, with increased forgiveness to help you hit it close. AP1 irons are the longest, most forgiving irons Titleist has ever made, with a multi-material, dual cavity design for players that want maximum distance, forgiveness and solid feel in a great looking progressive game improvement chassis. AP1 irons are the longest, most forgiving irons Titleist has ever made, with a multi-material, dual cavity design for players that want maximum distance, forgiveness and solid feel in a great looking progressive game improvement chassis.Longer Flight with optimum launch. More Carry distance from higher launching, low CG long irons and compact, flatter launching short irons.Increased Forgiveness from the deep, undercut, dual cavity design with high density tungsten weighting. More Distance on miss-hits with maximum ball speeds across the face from the high MOI design.Solid Feel through the set from the progressive CG (lower in the long irons). Smooth Turf Release from the camber sole with pre-worn leading edge.Improved Profile with progressive blade length, topline and sole widths. Superior Appearance with a satin polish playing position with bright polish cavity highlights.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"51,900",Right Handed NS Pro 950 GH ; Left Handed NS Pro 950 GH ;,,Titleist AP1 714 (4 - P) Steel ,"http://golfessentials.in/images/titleist/irons/AP1-714/1_thumb.jpg,http://golfessentials.in/images/titleist/irons/AP1-714/2_thumb.jpg,http://golfessentials.in/images/titleist/irons/AP1-714/3_thumb.jpg"
"Only RocketBladez are powered by the Speed Pocket, the little thing that promotes radical increased speed and distance. These irons are the true blend of the feel the pros demand and the explosive distance amateurs crave. The Speed Pocket. If you don't have it, then you don't have it.The Speed Pocket has changed the iron forever.Speed Pocket in the 3- through 7-irons works with an advanced, ultra-thin face design toPromote consistently high ball speed and distance. Consistent distance with every iron made possible by careful management of the Speed Pocket, improved Inverted Cone shape and high MOI. 17.5 grams of weight is strategically redistributed to lower and center the CG location, promoting a higher launch angle, higher peak trajectory and a steep, soft-landing, quick-stopping descent angle. Fantastic feel promoted by a specially formulated polyurethane developed by 3M that fills the RBZ Speed Pocket and quiets vibration.SW has a re-designed cavity to promote feel, feature our renowned ATV sole for maximum greenside versatility, and come equipped with heavier steel shafts to promote better rhythm and control. Grip:Mens RBladez Grip 47.5gShaft size .370 tipNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 52,900","46,900",Right Handed Regular Rocketfuel 65 Graphite ; Right Handed Stiff Rocketfuel 65 Graphite ;,,TaylorMade RocketBladez Irons (4-S) Graphite Shaft,"http://golfessentials.in/images/taylormade/irons/rbladez/1_thumb.jpg,http://golfessentials.in/images/taylormade/irons/rbladez/2_thumb.jpg,http://golfessentials.in/images/taylormade/irons/rbladez/3_thumb.jpg"
" The Callaway RAZR XF Combo Iron Set is constructed from the most premium materials and is designed with Callaway's highest levels of forgiveness. It's the ideal choice for golfers seeking greater distance and accuracy along with super soft feel and impressive styling. Featuring Zero Roll designing, the RAZR XF iron's clubface produces a higher launch angle on shots hit low on the face, thus increasing distance with softer landings. Constructed of aluminum and injection-molded plastic, the Multi-Material Medallion fine-tunes sound and enhances feel off the clubface. Precision shaping of the face thickness in each club increases the size of the sweet spot, generating higher ball speeds for longer distances. The hybrid club's inertia-driven design sports an increased head size and added offset to provide for Callaway's most forgiving hybrid, producing shots that fly higher, longer, and straighter. The black PVD (Physical Vapor Deposition) finish comes from a high-tech process that produces a distinctive stealth look for reduced glare and a jewelry-like appearance.  Additional features: Multi-material constructionForged 1025 carbon steel body is perimeter weighted for a higher MOI (Moment Of Inertia) and increased forgiveness, while also providing soft, responsive feedback at impact455 carpenter steel face is stronger than traditional stainless steel, generating faster ball speeds for added distanceNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 84,990","79,500",Men Right Handed Regular Callaway Graphite ;,,Callaway RAZR XF Irons (4-S) Graphite,"http://golfessentials.in/images/callaway/irons/razr_xf/1_thumb.jpg,http://golfessentials.in/images/callaway/irons/razr_xf/2_thumb.jpg,http://golfessentials.in/images/callaway/irons/razr_xf/3_thumb.jpg"
"Fantastic Callaway Consistency

It's not easy to create an iron set that's easy to hit yet provides power and feel for golfers who don't make a consistent swing. But Callaway and their design team have done exactly that with their new X2 Hot irons 40 percent more consistent than last season's X Hot irons.

Features &amp; Benefits


Visible Deep Undercut Channel increases the rate that the face flexes and rebounds. More ball speed than X Hot. All the features add up to this iron being 5 yards longer.
Hottest spots are low on the face, where most high handicap players make contact.
The stabilising arch stiffens the upper part of the face for more distance. This also helps to optimise the sound and feel due to the ultra-thin face.
Perimeter Weighting increases the sweet spot, making these easier to hit and more forgiving. Perimeter weighting also produces higher launch angles for more distance and stopping power on the greens.
Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"53,990",Right Handed Regular  True Temper Speed Step ; Right Handed Stiff True Temper Speed Step ;,,Callaway X 2 Hot Irons (4-S) Steel,"http://golfessentials.in/images/callaway/irons/x2_hot_4s_iron/1_thumb.jpg,http://golfessentials.in/images/callaway/irons/x2_hot_4s_iron/2_thumb.jpg,http://golfessentials.in/images/callaway/irons/x2_hot_4s_iron/3_thumb.jpg"
